Cpd,Label,Area,Base Peak,Sample,End,Height,Ions,m/z,RT,Start,Width
1,Cpd 1: 1.383,589337,44,Balloons_Sample_1_USE_08_1,1.672,100579,3,44,1.383,1.319,0.354
2,Cpd 2: 1.517,104070,41,Balloons_Sample_1_USE_08_1,1.574,20894,7,41,1.517,1.488,0.086
3,Cpd 3: 1.714,127594,49.77,Balloons_Sample_1_USE_08_1,1.775,39543,6,49.77,1.714,1.672,0.103
4,Cpd 4: 1.803,144332,41,Balloons_Sample_1_USE_08_1,1.869,26981,9,41,1.803,1.764,0.105
5,Cpd 5: 1.906,338913,44,Balloons_Sample_1_USE_08_1,1.979,97701,5,44,1.906,1.869,0.11
6,Cpd 6: 2.049,111956,47,Balloons_Sample_1_USE_08_1,2.148,19502,5,47,2.049,2.015,0.133
7,Cpd 7: 2.634,367265,43.01,Balloons_Sample_1_USE_08_1,2.746,42873,10,43.01,2.634,2.593,0.152
8,Cpd 8: 2.924,55056,55.96,Balloons_Sample_1_USE_08_1,3.033,13273,3,55.96,2.924,2.881,0.152
9,Cpd 9: 3.075,157626,43.01,Balloons_Sample_1_USE_08_1,3.178,46127,3,43.01,3.075,3.037,0.141
10,Cpd 10: 3.328,400254,43.01,Balloons_Sample_1_USE_08_1,3.524,82511,2,43.01,3.328,3.28,0.244
11,Cpd 11: 3.370,95345,41,Balloons_Sample_1_USE_08_1,3.484,14007,5,41,3.37,3.33,0.154
12,Cpd 12: 4.501,316339,55.96,Balloons_Sample_1_USE_08_1,4.599,23151,12,55.96,4.501,4.418,0.181
13,Cpd 13: 5.668,72767,43.01,Balloons_Sample_1_USE_08_1,5.784,8654,7,43.01,5.668,5.405,0.379
14,Cpd 14: 5.939,99959,74.84,Balloons_Sample_1_USE_08_1,6.043,12889,6,74.84,5.939,5.833,0.209
15,Cpd 15: 6.100,158896,131.76,Balloons_Sample_1_USE_08_1,6.204,25261,7,131.76,6.1,6.02,0.185
16,Cpd 16: 8.343,151751,77.95,Balloons_Sample_1_USE_08_1,8.457,18468,8,77.95,8.343,8.228,0.228
17,Cpd 17: 10.866,46729,55.96,Balloons_Sample_1_USE_08_1,10.988,5056,6,55.96,10.866,10.796,0.192
18,Cpd 18: 11.347,121436,43.01,Balloons_Sample_1_USE_08_1,11.506,23051,8,43.01,11.347,11.283,0.223
19,Cpd 19: 11.833,47074,68.99,Balloons_Sample_1_USE_08_1,11.951,4577,6,68.99,11.833,11.66,0.291
