Cpd,Label,Area,Base Peak,File,End,Height,Ions,m/z,RT,Start,Width
1,Cpd 1: 2.880,46170859,67.1,Balloons_Sample_7_USSB_11_1,3.019,4952522,17,67.1,2.88,2.819,0.2
2,Cpd 2: 3.376,5717940,75.9,Balloons_Sample_7_USSB_11_1,3.49,2048507,5,75.9,3.376,3.327,0.164
3,Cpd 3: 13.323,1932264,79.04,Balloons_Sample_7_USSB_11_1,13.428,261855,18,79.04,13.323,13.266,0.162
4,Cpd 4: 13.428,4008865,98.09,Balloons_Sample_7_USSB_11_1,13.533,834772,12,98.09,13.428,13.377,0.156
5,Cpd 5: 17.129,4946537,86.1,Balloons_Sample_7_USSB_11_1,17.235,1024373,14,86.1,17.129,17.106,0.129
6,Cpd 6: 17.181,5162875,68.09,Balloons_Sample_7_USSB_11_1,17.273,453665,34,68.09,17.181,17.138,0.135
7,Cpd 7: 17.868,5631639,107.08,Balloons_Sample_7_USSB_11_1,17.96,421025,38,107.08,17.868,17.831,0.129
8,Cpd 8: 18.075,2491743,107.08,Balloons_Sample_7_USSB_11_1,18.116,196205,30,107.08,18.075,18.04,0.076
9,Cpd 9: 18.154,6000123,93.1,Balloons_Sample_7_USSB_11_1,18.189,2392155,11,93.1,18.154,18.116,0.072
10,Cpd 10: 18.190,21870073,68.09,Balloons_Sample_7_USSB_11_1,18.278,8385917,1,68.09,18.19,18.143,0.135
11,Cpd 11: 18.200,131474472,67.1,Balloons_Sample_7_USSB_11_1,18.273,8161720,33,67.1,18.2,18.126,0.147
12,Cpd 12: 21.631,2041254,107.08,Balloons_Sample_7_USSB_11_1,21.653,204823,43,107.08,21.631,21.592,0.061
13,Cpd 13: 21.671,1433199,107.08,Balloons_Sample_7_USSB_11_1,21.708,139148,45,107.08,21.671,21.651,0.057
14,Cpd 14: 21.823,5678333,107.08,Balloons_Sample_7_USSB_11_1,21.908,397353,55,107.08,21.823,21.785,0.124
15,Cpd 15: 22.139,1527730,107.08,Balloons_Sample_7_USSB_11_1,22.194,100638,43,107.08,22.139,22.093,0.101
16,Cpd 16: 22.246,5729575,107.08,Balloons_Sample_7_USSB_11_1,22.307,372054,39,107.08,22.246,22.194,0.112
17,Cpd 17: 22.389,1318999,68.99,Balloons_Sample_7_USSB_11_1,22.434,89633,32,68.99,22.389,22.356,0.078
18,Cpd 18: 22.552,1633006,93.1,Balloons_Sample_7_USSB_11_1,22.587,110237,49,93.1,22.552,22.499,0.088
19,Cpd 19: 22.677,5446333,121.09,Balloons_Sample_7_USSB_11_1,22.751,226437,63,121.09,22.677,22.619,0.132
20,Cpd 20: 22.806,3214199,119.1,Balloons_Sample_7_USSB_11_1,22.875,209727,52,119.1,22.806,22.749,0.126
21,Cpd 21: 22.924,10232202,119.1,Balloons_Sample_7_USSB_11_1,22.968,447027,58,119.1,22.924,22.869,0.099
22,Cpd 22: 23.006,2419094,119.1,Balloons_Sample_7_USSB_11_1,23.04,132844,52,119.1,23.006,22.96,0.08
23,Cpd 23: 23.054,2024221,93.1,Balloons_Sample_7_USSB_11_1,23.092,92217,63,93.1,23.054,23.029,0.063
24,Cpd 24: 23.215,1462754,39.95,Balloons_Sample_7_USSB_11_1,23.275,554432,2,39.95,23.215,23.178,0.097
25,Cpd 25: 23.506,3902750,81.06,Balloons_Sample_7_USSB_11_1,23.58,210542,55,81.06,23.506,23.445,0.135
26,Cpd 26: 26.546,1486823,93.1,Balloons_Sample_7_USSB_11_1,26.603,43703,51,93.1,26.546,26.483,0.12
27,Cpd 27: 26.637,1842694,119.1,Balloons_Sample_7_USSB_11_1,26.685,61286,65,119.1,26.637,26.59,0.095
28,Cpd 28: 27.381,25540180,121.09,Balloons_Sample_7_USSB_11_1,27.481,1027612,50,121.09,27.381,27.315,0.166
29,Cpd 29: 27.743,9913741,121.09,Balloons_Sample_7_USSB_11_1,27.803,290373,53,121.09,27.743,27.668,0.135
30,Cpd 30: 28.086,1968588,93.1,Balloons_Sample_7_USSB_11_1,28.175,44763,68,93.1,28.086,28.002,0.174
31,Cpd 31: 28.264,19834975,93.1,Balloons_Sample_7_USSB_11_1,28.446,423013,65,93.1,28.264,28.173,0.273
32,Cpd 32: 28.854,3311290,93.1,Balloons_Sample_7_USSB_11_1,28.982,78213,56,93.1,28.854,28.757,0.225
33,Cpd 33: 29.794,1748489,121.09,Balloons_Sample_7_USSB_11_1,29.943,49107,47,121.09,29.794,29.676,0.267
