Cpd,Label,Area,Base Peak,File,End,Height,Ions,m/z,RT,Start,Width
1,Cpd 1: 1.514,146236,41,Balloons_Sample_11_USSB_12_2,1.579,29222,7,41,1.514,1.486,0.093
2,Cpd 2: 1.806,124405,41,Balloons_Sample_11_USSB_12_2,1.863,18178,12,41,1.806,1.767,0.095
3,Cpd 3: 1.905,706122,44,Balloons_Sample_11_USSB_12_2,2.009,213277,5,44,1.905,1.868,0.141
4,Cpd 4: 2.634,101900,44.87,Balloons_Sample_11_USSB_12_2,2.745,20302,7,44.87,2.634,2.599,0.147
5,Cpd 5: 2.927,75940,55.96,Balloons_Sample_11_USSB_12_2,3.063,10178,4,55.96,2.927,2.806,0.257
6,Cpd 6: 2.999,60083,57.87,Balloons_Sample_11_USSB_12_2,3.044,20402,3,57.87,2.999,2.955,0.089
7,Cpd 7: 3.076,155626,43,Balloons_Sample_11_USSB_12_2,3.172,45401,3,43,3.076,3.038,0.133
8,Cpd 8: 3.256,242619,44.87,Balloons_Sample_11_USSB_12_2,3.912,21822,5,44.87,3.256,3.2,0.712
9,Cpd 9: 3.373,299679,41,Balloons_Sample_11_USSB_12_2,3.463,20748,7,41,3.373,3.318,0.145
10,Cpd 10: 4.532,43593,55.96,Balloons_Sample_11_USSB_12_2,4.591,3964,7,55.96,4.532,4.459,0.131
11,Cpd 11: 5.668,73589,43,Balloons_Sample_11_USSB_12_2,5.776,11080,8,43,5.668,5.416,0.36
12,Cpd 12: 6.107,94017,131.85,Balloons_Sample_11_USSB_12_2,6.194,11828,7,131.85,6.107,5.867,0.327
13,Cpd 13: 8.341,156348,77.78,Balloons_Sample_11_USSB_12_2,8.464,19183,9,77.78,8.341,8.234,0.23
14,Cpd 14: 10.182,348225,43,Balloons_Sample_11_USSB_12_2,10.446,20584,4,43,10.182,10.147,0.299
15,Cpd 15: 11.311,169412,43,Balloons_Sample_11_USSB_12_2,11.534,35270,4,43,11.311,11.273,0.261
16,Cpd 16: 13.437,4006265,98.08,Balloons_Sample_11_USSB_12_2,13.553,854412,11,98.08,13.437,13.385,0.167
17,Cpd 17: 13.545,548469,90.88,Balloons_Sample_11_USSB_12_2,13.613,122776,10,90.88,13.545,13.494,0.12
18,Cpd 18: 13.722,53820,43,Balloons_Sample_11_USSB_12_2,13.813,7524,7,43,13.722,13.701,0.112
19,Cpd 19: 13.975,55478,43,Balloons_Sample_11_USSB_12_2,14.091,7247,11,43,13.975,13.931,0.16
20,Cpd 20: 14.435,152599,207,Balloons_Sample_11_USSB_12_2,14.509,30793,15,207,14.435,14.376,0.133
21,Cpd 21: 14.501,87913,43,Balloons_Sample_11_USSB_12_2,14.656,10642,14,43,14.501,14.464,0.192
22,Cpd 22: 14.757,1026484,55,Balloons_Sample_11_USSB_12_2,14.85,198736,13,55,14.757,14.698,0.152
23,Cpd 23: 15.070,169008,84.03,Balloons_Sample_11_USSB_12_2,15.168,42557,7,84.03,15.07,15.029,0.139
24,Cpd 24: 15.137,144933,43,Balloons_Sample_11_USSB_12_2,15.211,52513,11,43,15.137,15.093,0.118
25,Cpd 25: 15.781,292162,95.98,Balloons_Sample_11_USSB_12_2,15.874,49685,16,95.98,15.781,15.74,0.133
26,Cpd 26: 15.876,41848,90.88,Balloons_Sample_11_USSB_12_2,15.923,7334,9,90.88,15.876,15.796,0.128
27,Cpd 27: 15.938,57877,43,Balloons_Sample_11_USSB_12_2,15.99,7054,13,43,15.938,15.893,0.097
28,Cpd 28: 16.030,42873,57,Balloons_Sample_11_USSB_12_2,16.087,6941,8,57,16.03,15.965,0.122
29,Cpd 29: 16.304,395507,98.08,Balloons_Sample_11_USSB_12_2,16.397,52009,24,98.08,16.304,16.271,0.126
30,Cpd 30: 17.334,253395,98.08,Balloons_Sample_11_USSB_12_2,17.404,52197,16,98.08,17.334,17.297,0.107
31,Cpd 31: 17.497,198052,118.92,Balloons_Sample_11_USSB_12_2,17.621,27344,22,118.92,17.497,17.464,0.156
32,Cpd 32: 17.557,50689,57,Balloons_Sample_11_USSB_12_2,17.64,8954,12,57,17.557,17.525,0.114
33,Cpd 33: 17.691,189064,55,Balloons_Sample_11_USSB_12_2,17.767,51876,9,55,17.691,17.655,0.112
34,Cpd 34: 17.791,72109,104.92,Balloons_Sample_11_USSB_12_2,17.841,11432,8,104.92,17.791,17.754,0.088
35,Cpd 35: 18.150,279348,92.88,Balloons_Sample_11_USSB_12_2,18.228,83721,16,92.88,18.15,18.112,0.116
36,Cpd 36: 18.187,341831,67.93,Balloons_Sample_11_USSB_12_2,18.272,26104,33,67.93,18.187,18.136,0.135
37,Cpd 37: 18.457,99248,57,Balloons_Sample_11_USSB_12_2,18.496,10728,11,57,18.457,18.365,0.131
38,Cpd 38: 18.635,118310,93.87,Balloons_Sample_11_USSB_12_2,18.721,28485,15,93.87,18.635,18.601,0.12
39,Cpd 39: 18.771,48956,70.03,Balloons_Sample_11_USSB_12_2,18.824,3571,14,70.03,18.771,18.721,0.103
40,Cpd 40: 19.194,49060,104.92,Balloons_Sample_11_USSB_12_2,19.246,11447,8,104.92,19.194,19.157,0.089
41,Cpd 41: 19.331,50180,57,Balloons_Sample_11_USSB_12_2,19.391,7225,15,57,19.331,19.282,0.109
42,Cpd 42: 19.794,71545,125.87,Balloons_Sample_11_USSB_12_2,19.88,10513,14,125.87,19.794,19.747,0.133
43,Cpd 43: 19.815,106901,125.87,Balloons_Sample_11_USSB_12_2,19.905,10513,16,125.87,19.815,19.747,0.158
44,Cpd 44: 19.911,200971,55,Balloons_Sample_11_USSB_12_2,19.991,12625,27,55,19.911,19.871,0.12
45,Cpd 45: 19.960,94624,57,Balloons_Sample_11_USSB_12_2,20.023,17692,14,57,19.96,19.932,0.091
46,Cpd 46: 20.058,83397,44,Balloons_Sample_11_USSB_12_2,20.097,17119,11,44,20.058,20.021,0.076
47,Cpd 47: 20.116,94916,98.08,Balloons_Sample_11_USSB_12_2,20.177,9882,14,98.08,20.116,20.078,0.099
48,Cpd 48: 20.574,57940,104.92,Balloons_Sample_11_USSB_12_2,20.667,6030,11,104.92,20.574,20.505,0.162
49,Cpd 49: 20.949,102693,41,Balloons_Sample_11_USSB_12_2,21.053,5078,22,41,20.949,20.899,0.154
50,Cpd 50: 21.004,108228,57,Balloons_Sample_11_USSB_12_2,21.07,8312,19,57,21.004,20.924,0.147
51,Cpd 51: 21.105,50706,130.85,Balloons_Sample_11_USSB_12_2,21.181,8332,9,130.85,21.105,21.07,0.11
52,Cpd 52: 21.215,135704,69,Balloons_Sample_11_USSB_12_2,21.265,21445,23,69,21.215,21.179,0.086
53,Cpd 53: 21.270,43229,72.99,Balloons_Sample_11_USSB_12_2,21.455,3240,12,72.99,21.27,21.238,0.217
54,Cpd 54: 21.746,91332,113.01,Balloons_Sample_11_USSB_12_2,21.804,10357,12,113.01,21.746,21.71,0.093
55,Cpd 55: 21.915,116023,82.99,Balloons_Sample_11_USSB_12_2,21.971,7036,23,82.99,21.915,21.851,0.12
56,Cpd 56: 21.951,132138,57,Balloons_Sample_11_USSB_12_2,22.009,21574,19,57,21.951,21.889,0.12
57,Cpd 57: 22.244,100375,87.77,Balloons_Sample_11_USSB_12_2,22.297,11235,20,87.77,22.244,22.2,0.097
58,Cpd 58: 22.817,45492,82.99,Balloons_Sample_11_USSB_12_2,22.886,3651,13,82.99,22.817,22.787,0.099
59,Cpd 59: 22.850,99464,57,Balloons_Sample_11_USSB_12_2,22.922,8697,20,57,22.85,22.794,0.128
60,Cpd 60: 22.956,41621,57.87,Balloons_Sample_11_USSB_12_2,23.019,18928,5,57.87,22.956,22.926,0.093
61,Cpd 61: 22.994,171765,55,Balloons_Sample_11_USSB_12_2,23.056,9996,25,55,22.994,22.937,0.118
62,Cpd 62: 23.089,77234,104.92,Balloons_Sample_11_USSB_12_2,23.136,12699,11,104.92,23.089,23.063,0.072
63,Cpd 63: 23.566,1109283,190.91,Balloons_Sample_11_USSB_12_2,23.628,324449,21,190.91,23.566,23.534,0.093
64,Cpd 64: 23.670,119792,82.99,Balloons_Sample_11_USSB_12_2,23.742,8293,16,82.99,23.67,23.629,0.113
65,Cpd 65: 23.693,194220,57,Balloons_Sample_11_USSB_12_2,23.751,23864,19,57,23.693,23.614,0.137
66,Cpd 66: 23.869,95684,98.98,Balloons_Sample_11_USSB_12_2,23.948,11853,18,98.98,23.869,23.832,0.116
67,Cpd 67: 24.117,57576,70.99,Balloons_Sample_11_USSB_12_2,24.162,10358,10,70.99,24.117,24.022,0.139
68,Cpd 68: 24.374,126633,85.04,Balloons_Sample_11_USSB_12_2,24.461,27169,10,85.04,24.374,24.343,0.118
69,Cpd 69: 24.521,72071,85.04,Balloons_Sample_11_USSB_12_2,24.551,5372,14,85.04,24.521,24.44,0.111
70,Cpd 70: 24.711,110216,55,Balloons_Sample_11_USSB_12_2,24.797,6075,19,55,24.711,24.656,0.141
71,Cpd 71: 25.102,1342722,173.09,Balloons_Sample_11_USSB_12_2,25.18,145626,42,173.09,25.102,25.058,0.122
72,Cpd 72: 25.201,52615,57,Balloons_Sample_11_USSB_12_2,25.245,3577,15,57,25.201,25.154,0.092
73,Cpd 73: 25.444,89464,97.02,Balloons_Sample_11_USSB_12_2,25.497,4831,13,97.02,25.444,25.396,0.101
74,Cpd 74: 26.192,55430,80.98,Balloons_Sample_11_USSB_12_2,26.251,10458,9,80.98,26.192,26.142,0.109
75,Cpd 75: 26.317,456492,97.02,Balloons_Sample_11_USSB_12_2,26.405,16504,38,97.02,26.317,26.262,0.143
76,Cpd 76: 26.530,70542,182.9,Balloons_Sample_11_USSB_12_2,26.586,8222,8,182.9,26.53,26.479,0.107
77,Cpd 77: 26.948,59121,100.09,Balloons_Sample_11_USSB_12_2,27.008,20982,3,100.09,26.948,26.893,0.114
78,Cpd 78: 27.276,99199,57.87,Balloons_Sample_11_USSB_12_2,27.336,8172,14,57.87,27.276,27.216,0.12
79,Cpd 79: 27.600,87172,58.86,Balloons_Sample_11_USSB_12_2,27.676,5702,14,58.86,27.6,27.552,0.124
80,Cpd 80: 27.604,99475,58.86,Balloons_Sample_11_USSB_12_2,27.676,5702,13,58.86,27.604,27.544,0.132
81,Cpd 81: 27.696,159909,109.95,Balloons_Sample_11_USSB_12_2,27.765,5116,26,109.95,27.696,27.647,0.118
82,Cpd 82: 27.987,161232,90.88,Balloons_Sample_11_USSB_12_2,28.078,11321,13,90.88,27.987,27.926,0.153
83,Cpd 83: 27.998,110250,70.99,Balloons_Sample_11_USSB_12_2,28.065,9701,11,70.99,27.998,27.933,0.132
84,Cpd 84: 28.463,1128386,72.99,Balloons_Sample_11_USSB_12_2,28.672,34988,44,72.99,28.463,28.389,0.282
85,Cpd 85: 28.571,42337,72.99,Balloons_Sample_11_USSB_12_2,28.595,6292,8,72.99,28.571,28.544,0.052
86,Cpd 86: 29.438,418674,97.02,Balloons_Sample_11_USSB_12_2,29.53,10250,40,97.02,29.438,29.368,0.162
