Cpd,Label,Area,Base Peak,File,End,Height,Ions,m/z,RT,Start,Width
1,Cpd 1: 1.151,64950,39.94,Balloons_Sample_2_USE_08_2,1.191,17964,3,39.94,1.151,1.117,0.074
2,Cpd 2: 1.372,293474,44,Balloons_Sample_2_USE_08_2,1.49,78339,1,44,1.372,1.332,0.158
3,Cpd 3: 1.505,72144,41,Balloons_Sample_2_USE_08_2,1.598,14725,7,41,1.505,1.473,0.126
4,Cpd 4: 1.652,100523,63.84,Balloons_Sample_2_USE_08_2,1.952,14277,4,63.84,1.652,1.608,0.345
5,Cpd 5: 1.704,60995,49.77,Balloons_Sample_2_USE_08_2,1.766,19763,6,49.77,1.704,1.661,0.105
6,Cpd 6: 1.795,136787,41,Balloons_Sample_2_USE_08_2,1.855,25421,9,41,1.795,1.754,0.101
7,Cpd 7: 1.895,192423,44,Balloons_Sample_2_USE_08_2,1.973,61634,6,44,1.895,1.861,0.112
8,Cpd 8: 2.040,63346,46.95,Balloons_Sample_2_USE_08_2,2.137,11137,4,46.95,2.04,2.005,0.131
9,Cpd 9: 2.627,280335,43.01,Balloons_Sample_2_USE_08_2,2.744,34258,11,43.01,2.627,2.58,0.164
10,Cpd 10: 2.918,43095,55.97,Balloons_Sample_2_USE_08_2,3.023,9940,2,55.97,2.918,2.866,0.158
11,Cpd 11: 3.067,94093,43.01,Balloons_Sample_2_USE_08_2,3.204,28465,3,43.01,3.067,3.031,0.173
12,Cpd 12: 3.320,424689,43.01,Balloons_Sample_2_USE_08_2,3.541,69402,6,43.01,3.32,3.275,0.266
13,Cpd 13: 4.494,216529,55.97,Balloons_Sample_2_USE_08_2,4.582,15496,10,55.97,4.494,4.418,0.164
14,Cpd 14: 5.565,43586,43.01,Balloons_Sample_2_USE_08_2,5.805,6619,6,43.01,5.565,5.501,0.304
15,Cpd 15: 5.931,89388,74.79,Balloons_Sample_2_USE_08_2,6.049,12854,4,74.79,5.931,5.83,0.219
16,Cpd 16: 6.104,76778,131.94,Balloons_Sample_2_USE_08_2,6.235,8552,8,131.94,6.104,5.862,0.373
17,Cpd 17: 8.342,108869,77.95,Balloons_Sample_2_USE_08_2,8.461,14108,6,77.95,8.342,8.225,0.236
18,Cpd 18: 10.305,189232,43.01,Balloons_Sample_2_USE_08_2,10.694,7989,4,43.01,10.305,10.234,0.46
19,Cpd 19: 10.870,49477,55.97,Balloons_Sample_2_USE_08_2,11,4619,4,55.97,10.87,10.597,0.403
20,Cpd 20: 13.061,142617,43.01,Balloons_Sample_2_USE_08_2,13.12,15334,10,43.01,13.061,13,0.12
21,Cpd 21: 13.434,3940202,98.08,Balloons_Sample_2_USE_08_2,13.536,846219,11,98.08,13.434,13.384,0.152
22,Cpd 22: 13.769,47382,70.03,Balloons_Sample_2_USE_08_2,13.852,6251,9,70.03,13.769,13.683,0.169
23,Cpd 23: 14.434,393762,207,Balloons_Sample_2_USE_08_2,14.497,89187,16,207,14.434,14.377,0.12
24,Cpd 24: 14.756,70125,55,Balloons_Sample_2_USE_08_2,14.828,10862,9,55,14.756,14.674,0.154
25,Cpd 25: 15.005,610389,43.01,Balloons_Sample_2_USE_08_2,15.091,56659,22,43.01,15.005,14.961,0.129
26,Cpd 26: 15.781,104309,96.01,Balloons_Sample_2_USE_08_2,15.852,17536,9,96.01,15.781,15.745,0.107
27,Cpd 27: 17.232,59609,281,Balloons_Sample_2_USE_08_2,17.311,13741,10,281,17.232,17.186,0.126
28,Cpd 28: 17.692,147043,55,Balloons_Sample_2_USE_08_2,17.749,23694,16,55,17.692,17.654,0.095
29,Cpd 29: 17.752,78886,71.06,Balloons_Sample_2_USE_08_2,17.833,12496,13,71.06,17.752,17.72,0.112
30,Cpd 30: 17.791,39653,106.03,Balloons_Sample_2_USE_08_2,17.848,6833,7,106.03,17.791,17.76,0.088
31,Cpd 31: 18.082,43581,57.06,Balloons_Sample_2_USE_08_2,18.198,4493,14,57.06,18.082,18.015,0.183
32,Cpd 32: 18.187,126398,67.88,Balloons_Sample_2_USE_08_2,18.236,12785,21,67.88,18.187,18.15,0.086
33,Cpd 33: 18.458,147679,57.06,Balloons_Sample_2_USE_08_2,18.522,30078,15,57.06,18.458,18.424,0.097
34,Cpd 34: 18.651,171665,69.02,Balloons_Sample_2_USE_08_2,18.735,13354,22,69.02,18.651,18.607,0.128
35,Cpd 35: 18.702,146564,69.02,Balloons_Sample_2_USE_08_2,18.744,13005,17,69.02,18.702,18.676,0.069
36,Cpd 36: 18.772,44085,55,Balloons_Sample_2_USE_08_2,18.851,3199,11,55,18.772,18.685,0.166
37,Cpd 37: 19.331,140857,57.06,Balloons_Sample_2_USE_08_2,19.384,12577,23,57.06,19.331,19.287,0.097
38,Cpd 38: 19.653,46167,81.96,Balloons_Sample_2_USE_08_2,19.746,3037,15,81.96,19.653,19.439,0.307
39,Cpd 39: 19.910,44351,55,Balloons_Sample_2_USE_08_2,19.972,3776,11,55,19.91,19.871,0.101
40,Cpd 40: 20.284,52022,59.86,Balloons_Sample_2_USE_08_2,20.345,7569,14,59.86,20.284,20.244,0.101
41,Cpd 41: 20.451,66470,71.06,Balloons_Sample_2_USE_08_2,20.532,4833,19,71.06,20.451,20.391,0.141
42,Cpd 42: 20.949,69137,55.97,Balloons_Sample_2_USE_08_2,21.029,4068,20,55.97,20.949,20.9,0.13
43,Cpd 43: 21.005,81993,87.85,Balloons_Sample_2_USE_08_2,21.071,5590,22,87.85,21.005,20.93,0.141
44,Cpd 44: 21.120,253439,69.02,Balloons_Sample_2_USE_08_2,21.166,20997,28,69.02,21.12,21.077,0.09
45,Cpd 45: 21.205,219748,69.02,Balloons_Sample_2_USE_08_2,21.252,17179,25,69.02,21.205,21.166,0.086
46,Cpd 46: 21.289,239464,69.02,Balloons_Sample_2_USE_08_2,21.355,18702,26,69.02,21.289,21.237,0.118
47,Cpd 47: 21.746,49679,55,Balloons_Sample_2_USE_08_2,21.793,6262,7,55,21.746,21.713,0.08
48,Cpd 48: 21.915,159571,82.99,Balloons_Sample_2_USE_08_2,21.997,9007,27,82.99,21.915,21.863,0.133
49,Cpd 49: 22.244,83136,87.85,Balloons_Sample_2_USE_08_2,22.302,13230,13,87.85,22.244,22.204,0.097
50,Cpd 50: 22.420,59931,103.85,Balloons_Sample_2_USE_08_2,22.492,9247,12,103.85,22.42,22.382,0.111
51,Cpd 51: 22.467,87377,57.06,Balloons_Sample_2_USE_08_2,22.521,7909,6,57.06,22.467,22.389,0.132
52,Cpd 52: 22.537,194487,57.06,Balloons_Sample_2_USE_08_2,22.688,9177,14,57.06,22.537,22.464,0.225
53,Cpd 53: 22.818,116647,57.06,Balloons_Sample_2_USE_08_2,22.89,12831,16,57.06,22.818,22.778,0.112
54,Cpd 54: 22.873,64271,90.94,Balloons_Sample_2_USE_08_2,22.925,9267,12,90.94,22.873,22.835,0.09
55,Cpd 55: 22.955,108153,57.94,Balloons_Sample_2_USE_08_2,23.026,62232,5,57.94,22.955,22.925,0.101
56,Cpd 56: 22.995,96995,69.02,Balloons_Sample_2_USE_08_2,23.045,6048,20,69.02,22.995,22.94,0.105
57,Cpd 57: 23.144,2105450,161.1,Balloons_Sample_2_USE_08_2,23.226,181132,68,161.1,23.144,23.104,0.122
58,Cpd 58: 23.213,110773,57.06,Balloons_Sample_2_USE_08_2,23.258,8780,23,57.06,23.213,23.18,0.078
59,Cpd 59: 23.281,43279,69.02,Balloons_Sample_2_USE_08_2,23.314,3468,11,69.02,23.281,23.247,0.067
60,Cpd 60: 23.359,70518,69.02,Balloons_Sample_2_USE_08_2,23.415,6515,14,69.02,23.359,23.31,0.105
61,Cpd 61: 23.441,51818,58.86,Balloons_Sample_2_USE_08_2,23.489,6381,15,58.86,23.441,23.411,0.078
62,Cpd 62: 23.566,2696931,191.09,Balloons_Sample_2_USE_08_2,23.623,891805,18,191.09,23.566,23.531,0.092
63,Cpd 63: 23.669,140305,96.99,Balloons_Sample_2_USE_08_2,23.722,9910,21,96.99,23.669,23.621,0.101
64,Cpd 64: 23.696,116000,57.06,Balloons_Sample_2_USE_08_2,23.75,13677,14,57.06,23.696,23.649,0.101
65,Cpd 65: 23.862,2230344,198.07,Balloons_Sample_2_USE_08_2,24.04,88648,47,198.07,23.862,23.745,0.296
66,Cpd 66: 23.897,50343,182.88,Balloons_Sample_2_USE_08_2,23.987,5932,14,182.88,23.897,23.825,0.162
67,Cpd 67: 24.114,113846,71.06,Balloons_Sample_2_USE_08_2,24.147,12857,15,71.06,24.114,24.08,0.067
68,Cpd 68: 24.521,70927,57.06,Balloons_Sample_2_USE_08_2,24.563,9444,11,57.06,24.521,24.475,0.088
69,Cpd 69: 24.636,56107,57.94,Balloons_Sample_2_USE_08_2,24.729,20013,5,57.94,24.636,24.592,0.137
70,Cpd 70: 24.659,324167,71.06,Balloons_Sample_2_USE_08_2,24.706,28130,28,71.06,24.659,24.611,0.095
71,Cpd 71: 24.710,114738,55,Balloons_Sample_2_USE_08_2,24.758,8872,22,55,24.71,24.672,0.086
72,Cpd 72: 24.975,184143,69.02,Balloons_Sample_2_USE_08_2,25.025,11697,24,69.02,24.975,24.88,0.145
73,Cpd 73: 25.046,269645,71.06,Balloons_Sample_2_USE_08_2,25.092,21112,24,71.06,25.046,25.008,0.084
74,Cpd 74: 25.232,268697,69.02,Balloons_Sample_2_USE_08_2,25.284,13358,26,69.02,25.232,25.162,0.122
75,Cpd 75: 25.313,67456,69.02,Balloons_Sample_2_USE_08_2,25.353,4191,16,69.02,25.313,25.275,0.078
76,Cpd 76: 25.452,118119,57.06,Balloons_Sample_2_USE_08_2,25.494,8792,16,57.06,25.452,25.387,0.107
77,Cpd 77: 25.558,87587,69.02,Balloons_Sample_2_USE_08_2,25.612,6285,14,69.02,25.558,25.519,0.093
78,Cpd 78: 26.023,271078,198.07,Balloons_Sample_2_USE_08_2,26.132,21136,16,198.07,26.023,25.931,0.2
