Cpd,Label,Area,Base Peak,File,End,Height,Ions,m/z,RT,Start,Width
1,Cpd 1: 1.154,54433,39.91,Blank_9,1.297,14381,2,39.91,1.154,1.11,0.186
2,Cpd 2: 1.376,150942,44,Blank_9,1.475,63553,1,44,1.376,1.331,0.144
3,Cpd 3: 3.083,38378,42.98,Blank_9,3.164,10066,2,42.98,3.083,3.029,0.135
4,Cpd 4: 6.098,99382,131.74,Blank_9,6.247,15994,7,131.74,6.098,6.019,0.228
5,Cpd 5: 12.380,101234,44,Blank_9,12.47,2528,1,44,12.38,12.335,0.135
6,Cpd 6: 13.430,3410805,98.1,Blank_9,13.544,684391,14,98.1,13.43,13.382,0.162
7,Cpd 7: 16.547,36871,39.91,Blank_9,16.658,4609,1,39.91,16.547,16.527,0.131
8,Cpd 8: 16.651,171275,44,Blank_9,16.791,13609,2,44,16.651,16.577,0.215
9,Cpd 9: 24.849,148862,70.95,Blank_9,24.873,5254,3,70.95,24.849,24.822,0.051
10,Cpd 10: 28.261,41833,56.95,Blank_9,28.3,4474,3,56.95,28.261,28.23,0.07
11,Cpd 11: 28.281,109861,56.95,Blank_9,28.361,4474,5,56.95,28.281,28.135,0.227
12,Cpd 12: 29.807,35002,124.85,Blank_9,29.878,4921,4,124.85,29.807,29.735,0.143
