Cpd,Label,Area,Base Peak,File,End,Height,Ions,m/z,RT,Start,Width
1,Cpd 1: 1.723,1923217,50.03,Cmat_Sample_1_USE_10_1,1.836,613228,5,50.03,1.723,1.676,0.16
2,Cpd 2: 1.916,980196,44,Cmat_Sample_1_USE_10_1,2.026,274637,5,44,1.916,1.883,0.143
3,Cpd 3: 3.005,4008362,57.99,Cmat_Sample_1_USE_10_1,3.05,1213087,7,57.99,3.005,2.956,0.093
4,Cpd 4: 3.076,2391588,43,Cmat_Sample_1_USE_10_1,3.192,646971,6,43,3.076,3.031,0.162
5,Cpd 5: 3.464,2320198,66.01,Cmat_Sample_1_USE_10_1,3.577,355205,11,66.01,3.464,3.402,0.175
6,Cpd 6: 11.673,4891742,88.1,Cmat_Sample_1_USE_10_1,11.84,684887,10,88.1,11.673,11.603,0.238
7,Cpd 7: 13.431,3881903,98.08,Cmat_Sample_1_USE_10_1,13.532,836764,10,98.08,13.431,13.379,0.152
8,Cpd 8: 14.641,2066529,44.98,Cmat_Sample_1_USE_10_1,14.723,794131,8,44.98,14.641,14.599,0.124
9,Cpd 9: 15.265,1258690,39.94,Cmat_Sample_1_USE_10_1,15.364,333906,2,39.94,15.265,15.217,0.147
10,Cpd 10: 16.346,24601449,104.1,Cmat_Sample_1_USE_10_1,16.439,5291050,15,104.1,16.346,16.304,0.135
11,Cpd 11: 17.387,758246,42.02,Cmat_Sample_1_USE_10_1,17.467,163571,15,42.02,17.387,17.356,0.11
12,Cpd 12: 18.016,1893901,93.01,Cmat_Sample_1_USE_10_1,18.097,278371,17,93.01,18.016,17.981,0.116
13,Cpd 13: 18.240,6860802,44.98,Cmat_Sample_1_USE_10_1,18.322,2083330,8,44.98,18.24,18.196,0.126
14,Cpd 14: 20.579,4465136,105,Cmat_Sample_1_USE_10_1,20.661,732592,16,105,20.579,20.541,0.12
15,Cpd 15: 22.443,62600855,104.1,Cmat_Sample_1_USE_10_1,22.534,8221022,15,104.1,22.443,22.38,0.154
16,Cpd 16: 23.167,2327234,117.98,Cmat_Sample_1_USE_10_1,23.228,398652,20,117.98,23.167,23.129,0.099
17,Cpd 17: 23.252,838373,105,Cmat_Sample_1_USE_10_1,23.3,213267,16,105,23.252,23.215,0.086
18,Cpd 18: 24.836,2349856,104.1,Cmat_Sample_1_USE_10_1,24.922,285708,28,104.1,24.836,24.792,0.13
19,Cpd 19: 25.485,1178957,91.02,Cmat_Sample_1_USE_10_1,25.54,202797,28,91.02,25.485,25.435,0.105
20,Cpd 20: 25.580,4102497,105,Cmat_Sample_1_USE_10_1,25.67,768962,18,105,25.58,25.532,0.137
21,Cpd 21: 25.675,990348,194.1,Cmat_Sample_1_USE_10_1,25.758,69743,40,194.1,25.675,25.628,0.13
22,Cpd 22: 25.822,6990287,104.1,Cmat_Sample_1_USE_10_1,25.95,514119,22,104.1,25.822,25.725,0.225
23,Cpd 23: 26.624,3194517,149.02,Cmat_Sample_1_USE_10_1,26.733,846573,12,149.02,26.624,26.569,0.164
24,Cpd 24: 28.559,73579549,193.09,Cmat_Sample_1_USE_10_1,28.742,5503100,20,193.09,28.559,28.464,0.278
