Cpd,Label,Area,Base Peak,File,End,Height,Ions,m/z,RT,Start,Width
1,Cpd 1: 1.160,61180,39.96,FPW_Sample_5_USE_13_1,1.283,21650,2,39.96,1.16,1.113,0.169
2,Cpd 2: 1.514,333441,41.01,FPW_Sample_5_USE_13_1,1.578,62665,9,41.01,1.514,1.481,0.097
3,Cpd 3: 1.711,45982,49.79,FPW_Sample_5_USE_13_1,1.764,9989,7,49.79,1.711,1.673,0.091
4,Cpd 4: 1.801,389197,41.01,FPW_Sample_5_USE_13_1,1.88,68276,11,41.01,1.801,1.76,0.12
5,Cpd 5: 1.902,306906,44,FPW_Sample_5_USE_13_1,1.987,101650,5,44,1.902,1.869,0.118
6,Cpd 6: 2.046,68292,46.95,FPW_Sample_5_USE_13_1,2.149,13379,4,46.95,2.046,2.012,0.137
7,Cpd 7: 2.636,1516430,43.03,FPW_Sample_5_USE_13_1,2.703,210313,12,43.03,2.636,2.581,0.122
8,Cpd 8: 3.068,1334909,43.03,FPW_Sample_5_USE_13_1,3.192,367974,6,43.03,3.068,3.024,0.167
9,Cpd 9: 3.327,186264,43.03,FPW_Sample_5_USE_13_1,3.464,30190,7,43.03,3.327,3.281,0.183
10,Cpd 10: 3.846,160088,43.03,FPW_Sample_5_USE_13_1,4.044,10956,11,43.03,3.846,3.763,0.282
11,Cpd 11: 4.500,1626177,56.04,FPW_Sample_5_USE_13_1,4.611,117743,19,56.04,4.5,4.421,0.19
12,Cpd 12: 4.697,140580,41.01,FPW_Sample_5_USE_13_1,4.773,13351,7,41.01,4.697,4.628,0.145
13,Cpd 13: 5.664,195766,43.03,FPW_Sample_5_USE_13_1,5.755,18480,9,43.03,5.664,5.502,0.253
14,Cpd 14: 6.106,62371,131.87,FPW_Sample_5_USE_13_1,6.198,9568,4,131.87,6.106,6.019,0.179
15,Cpd 15: 6.788,83229,79,FPW_Sample_5_USE_13_1,6.94,6997,6,79,6.788,6.649,0.291
16,Cpd 16: 8.333,97876,77.87,FPW_Sample_5_USE_13_1,8.466,12754,5,77.87,8.333,8.238,0.228
17,Cpd 17: 10.182,945346,43.03,FPW_Sample_5_USE_13_1,10.673,30851,7,43.03,10.182,10.131,0.542
18,Cpd 18: 10.873,108868,56.04,FPW_Sample_5_USE_13_1,10.972,11703,5,56.04,10.873,10.797,0.175
19,Cpd 19: 11.335,332854,43.03,FPW_Sample_5_USE_13_1,11.443,55546,10,43.03,11.335,11.276,0.167
20,Cpd 20: 11.618,301745,96.02,FPW_Sample_5_USE_13_1,11.714,27184,15,96.02,11.618,11.544,0.169
21,Cpd 21: 11.831,198434,69.07,FPW_Sample_5_USE_13_1,11.976,18056,11,69.07,11.831,11.771,0.205
22,Cpd 22: 12.809,52188,69.07,FPW_Sample_5_USE_13_1,12.893,6106,7,69.07,12.809,12.627,0.266
23,Cpd 23: 13.063,993467,43.03,FPW_Sample_5_USE_13_1,13.135,107691,15,43.03,13.063,13.004,0.131
24,Cpd 24: 13.276,88531,43.03,FPW_Sample_5_USE_13_1,13.388,11064,10,43.03,13.276,13.186,0.202
25,Cpd 25: 13.436,4041105,98.06,FPW_Sample_5_USE_13_1,13.542,859708,11,98.06,13.436,13.384,0.158
26,Cpd 26: 13.708,97238,73.86,FPW_Sample_5_USE_13_1,13.847,10757,7,73.86,13.708,13.672,0.175
27,Cpd 27: 13.975,91752,43.03,FPW_Sample_5_USE_13_1,14.113,6978,18,43.03,13.975,13.864,0.249
28,Cpd 28: 14.433,280616,43.03,FPW_Sample_5_USE_13_1,14.486,17888,13,43.03,14.433,14.385,0.101
29,Cpd 29: 14.565,130846,43.03,FPW_Sample_5_USE_13_1,14.68,14171,17,43.03,14.565,14.528,0.152
30,Cpd 30: 14.704,296418,83.08,FPW_Sample_5_USE_13_1,14.788,33918,19,83.08,14.704,14.657,0.131
31,Cpd 31: 14.758,68266,55.04,FPW_Sample_5_USE_13_1,14.878,11830,8,55.04,14.758,14.737,0.141
32,Cpd 32: 15.006,4408920,70.1,FPW_Sample_5_USE_13_1,15.093,458609,19,70.1,15.006,14.961,0.131
33,Cpd 33: 15.422,48023,59.95,FPW_Sample_5_USE_13_1,15.534,10630,7,59.95,15.422,15.393,0.141
34,Cpd 34: 15.782,214881,96.02,FPW_Sample_5_USE_13_1,15.873,32639,16,96.02,15.782,15.742,0.131
35,Cpd 35: 15.996,201208,43.03,FPW_Sample_5_USE_13_1,16.094,16151,19,43.03,15.996,15.961,0.133
36,Cpd 36: 16.305,159237,98.06,FPW_Sample_5_USE_13_1,16.372,19843,18,98.06,16.305,16.271,0.101
37,Cpd 37: 16.342,253206,103.88,FPW_Sample_5_USE_13_1,16.418,51090,16,103.88,16.342,16.303,0.114
38,Cpd 38: 16.475,92984,43.03,FPW_Sample_5_USE_13_1,16.515,14466,10,43.03,16.475,16.404,0.11
39,Cpd 39: 16.613,92821,123.06,FPW_Sample_5_USE_13_1,16.657,6339,19,123.06,16.613,16.513,0.145
40,Cpd 40: 16.877,51485,59.95,FPW_Sample_5_USE_13_1,16.97,9235,9,59.95,16.877,16.854,0.116
41,Cpd 41: 16.945,1130753,37.96,FPW_Sample_5_USE_13_1,19.677,19689,16,37.96,16.945,16.855,2.822
42,Cpd 42: 17.020,997072,37.96,FPW_Sample_5_USE_13_1,19.677,19689,18,37.96,17.02,16.855,2.822
43,Cpd 43: 17.202,320907,43.03,FPW_Sample_5_USE_13_1,17.252,58543,20,43.03,17.202,17.166,0.086
44,Cpd 44: 17.334,131585,98.06,FPW_Sample_5_USE_13_1,17.425,27447,12,98.06,17.334,17.303,0.122
45,Cpd 45: 17.460,306501,104.99,FPW_Sample_5_USE_13_1,17.509,66366,24,104.99,17.46,17.425,0.084
46,Cpd 46: 17.483,90444,57.09,FPW_Sample_5_USE_13_1,17.693,6313,23,57.09,17.483,17.394,0.299
47,Cpd 47: 17.694,680614,71.1,FPW_Sample_5_USE_13_1,17.728,73271,25,71.1,17.694,17.653,0.074
48,Cpd 48: 17.752,521763,71.1,FPW_Sample_5_USE_13_1,17.806,76624,21,71.1,17.752,17.722,0.084
49,Cpd 49: 17.790,215816,106.01,FPW_Sample_5_USE_13_1,17.846,38624,12,106.01,17.79,17.754,0.091
50,Cpd 50: 17.859,83879,109.99,FPW_Sample_5_USE_13_1,17.966,5654,16,109.99,17.859,17.804,0.162
51,Cpd 51: 17.920,168440,43.03,FPW_Sample_5_USE_13_1,18.04,10860,27,43.03,17.92,17.88,0.16
52,Cpd 52: 18.109,141293,67.01,FPW_Sample_5_USE_13_1,18.196,8977,19,67.01,18.109,18.061,0.135
53,Cpd 53: 18.151,103095,86.01,FPW_Sample_5_USE_13_1,18.263,13458,13,86.01,18.151,18.12,0.143
54,Cpd 54: 18.349,51536,127.07,FPW_Sample_5_USE_13_1,18.446,4810,15,127.07,18.349,18.292,0.154
