Cpd,Label,Area,Base Peak,File,End,Height,Ions,m/z,RT,Start,Width
1,Cpd 1: 1.155,71867,39.92,MPW_Sample_3_USE_19_1,1.202,24988,3,39.92,1.155,1.113,0.089
2,Cpd 2: 1.385,316424,44,MPW_Sample_3_USE_19_1,1.604,66252,2,44,1.385,1.339,0.264
3,Cpd 3: 1.524,96359,41,MPW_Sample_3_USE_19_1,1.596,18258,6,41,1.524,1.488,0.108
4,Cpd 4: 1.652,870851,64,MPW_Sample_3_USE_19_1,1.792,203570,3,64,1.652,1.604,0.188
5,Cpd 5: 1.917,190812,44,MPW_Sample_3_USE_19_1,2.02,44735,5,44,1.917,1.876,0.145
6,Cpd 6: 2.630,7051803,44.99,MPW_Sample_3_USE_19_1,2.757,1817644,5,44.99,2.63,2.589,0.167
7,Cpd 7: 3.077,397021,43.01,MPW_Sample_3_USE_19_1,3.189,108321,6,43.01,3.077,3.04,0.148
8,Cpd 8: 3.253,3725504,44.99,MPW_Sample_3_USE_19_1,3.366,998631,8,44.99,3.253,3.196,0.169
9,Cpd 9: 3.375,75952,43.01,MPW_Sample_3_USE_19_1,3.508,8399,8,43.01,3.375,3.328,0.181
10,Cpd 10: 5.564,82129,43.01,MPW_Sample_3_USE_19_1,5.784,6849,7,43.01,5.564,5.434,0.35
11,Cpd 11: 6.111,128078,131.95,MPW_Sample_3_USE_19_1,6.208,18543,8,131.95,6.111,6.021,0.186
12,Cpd 12: 8.353,132047,77.84,MPW_Sample_3_USE_19_1,8.469,17221,7,77.84,8.353,8.243,0.226
13,Cpd 13: 10.222,245408,43.01,MPW_Sample_3_USE_19_1,10.451,12330,4,43.01,10.222,10.177,0.274
14,Cpd 14: 13.274,1837578,43.01,MPW_Sample_3_USE_19_1,13.379,294357,11,43.01,13.274,13.219,0.16
15,Cpd 15: 13.437,3918674,98.1,MPW_Sample_3_USE_19_1,13.548,843689,11,98.1,13.437,13.388,0.16
16,Cpd 16: 15.780,409557,96.01,MPW_Sample_3_USE_19_1,15.874,70985,15,96.01,15.78,15.741,0.133
17,Cpd 17: 16.340,405078,103.95,MPW_Sample_3_USE_19_1,16.422,76063,16,103.95,16.34,16.302,0.12
18,Cpd 18: 16.471,76960,55.01,MPW_Sample_3_USE_19_1,16.51,13816,9,55.01,16.471,16.438,0.072
19,Cpd 19: 17.691,128351,55.01,MPW_Sample_3_USE_19_1,17.783,34679,9,55.01,17.691,17.654,0.129
20,Cpd 20: 18.457,222517,57.06,MPW_Sample_3_USE_19_1,18.537,40087,19,57.06,18.457,18.426,0.11
21,Cpd 21: 19.959,90340,57.06,MPW_Sample_3_USE_19_1,20.021,16422,14,57.06,19.959,19.93,0.091
22,Cpd 22: 20.115,217560,98.1,MPW_Sample_3_USE_19_1,20.183,19982,21,98.1,20.115,20.076,0.107
23,Cpd 23: 21.949,207597,57.06,MPW_Sample_3_USE_19_1,22.002,29228,24,57.06,21.949,21.891,0.11
24,Cpd 24: 22.420,274514,103.95,MPW_Sample_3_USE_19_1,22.495,12432,32,103.95,22.42,22.381,0.114
25,Cpd 25: 22.512,104910,57.06,MPW_Sample_3_USE_19_1,22.596,8824,7,57.06,22.512,22.495,0.101
