Cpd,Label,Area,Base Peak,File,End,Height,Ions,m/z,RT,Start,Width
1,Cpd 1: 1.167,65458,39.93,MPW_Sample_4_USE_20_1,1.248,13419,3,39.93,1.167,1.13,0.118
2,Cpd 2: 1.389,304920,44,MPW_Sample_4_USE_20_1,1.61,66606,2,44,1.389,1.347,0.262
3,Cpd 3: 1.523,68250,41,MPW_Sample_4_USE_20_1,1.572,12081,7,41,1.523,1.486,0.086
4,Cpd 4: 1.670,101819,63.96,MPW_Sample_4_USE_20_1,2.019,10970,5,63.96,1.67,1.623,0.396
5,Cpd 5: 1.810,227704,41,MPW_Sample_4_USE_20_1,1.882,44286,11,41,1.81,1.771,0.11
6,Cpd 6: 1.912,206993,44,MPW_Sample_4_USE_20_1,1.969,68898,5,44,1.912,1.884,0.086
7,Cpd 7: 2.056,42846,46.94,MPW_Sample_4_USE_20_1,2.167,7757,4,46.94,2.056,2.023,0.145
8,Cpd 8: 2.635,384638,44.94,MPW_Sample_4_USE_20_1,2.749,96109,6,44.94,2.635,2.597,0.152
9,Cpd 9: 3.082,315704,43.01,MPW_Sample_4_USE_20_1,3.202,84756,6,43.01,3.082,3.04,0.162
10,Cpd 10: 3.377,89478,43.01,MPW_Sample_4_USE_20_1,3.486,9669,7,43.01,3.377,3.326,0.16
11,Cpd 11: 4.535,65042,41,MPW_Sample_4_USE_20_1,4.602,4272,8,41,4.535,4.402,0.2
12,Cpd 12: 4.710,80553,57.06,MPW_Sample_4_USE_20_1,4.817,5990,8,57.06,4.71,4.64,0.177
13,Cpd 13: 5.674,129545,43.01,MPW_Sample_4_USE_20_1,5.793,12760,8,43.01,5.674,5.51,0.283
14,Cpd 14: 5.943,83282,43.01,MPW_Sample_4_USE_20_1,6.073,13070,3,43.01,5.943,5.856,0.217
15,Cpd 15: 6.116,135871,131.84,MPW_Sample_4_USE_20_1,6.227,23728,7,131.84,6.116,6.023,0.204
16,Cpd 16: 8.357,176058,77.96,MPW_Sample_4_USE_20_1,8.473,19108,8,77.96,8.357,8.237,0.236
17,Cpd 17: 10.226,276793,43.01,MPW_Sample_4_USE_20_1,10.52,13525,4,43.01,10.226,10.179,0.341
18,Cpd 18: 11.342,62846,43.01,MPW_Sample_4_USE_20_1,11.442,14506,3,43.01,11.342,11.117,0.325
19,Cpd 19: 11.635,88762,44,MPW_Sample_4_USE_20_1,11.789,10392,8,44,11.635,11.568,0.221
20,Cpd 20: 13.438,3923419,98.1,MPW_Sample_4_USE_20_1,13.542,836439,11,98.1,13.438,13.384,0.158
21,Cpd 21: 13.546,64118,90.94,MPW_Sample_4_USE_20_1,13.605,11748,8,90.94,13.546,13.491,0.114
22,Cpd 22: 13.701,77174,73.79,MPW_Sample_4_USE_20_1,13.824,6505,10,73.79,13.701,13.666,0.158
23,Cpd 23: 13.974,90465,43.01,MPW_Sample_4_USE_20_1,14.046,10287,12,43.01,13.974,13.929,0.118
24,Cpd 24: 14.434,72776,207,MPW_Sample_4_USE_20_1,14.495,16039,10,207,14.434,14.389,0.107
25,Cpd 25: 14.505,64902,43.01,MPW_Sample_4_USE_20_1,14.621,13254,9,43.01,14.505,14.463,0.158
26,Cpd 26: 14.720,138486,55.01,MPW_Sample_4_USE_20_1,14.794,10170,14,55.01,14.72,14.67,0.124
27,Cpd 27: 15.071,75956,43.01,MPW_Sample_4_USE_20_1,15.203,10390,11,43.01,15.071,14.918,0.285
28,Cpd 28: 15.562,40290,85.94,MPW_Sample_4_USE_20_1,15.663,3346,9,85.94,15.562,15.505,0.158
29,Cpd 29: 15.780,208435,96.02,MPW_Sample_4_USE_20_1,15.873,34640,16,96.02,15.78,15.745,0.127
30,Cpd 30: 15.935,48976,43.01,MPW_Sample_4_USE_20_1,16.021,5529,11,43.01,15.935,15.882,0.139
31,Cpd 31: 16.031,77959,57.06,MPW_Sample_4_USE_20_1,16.088,9415,12,57.06,16.031,15.974,0.114
32,Cpd 32: 16.305,134025,98.1,MPW_Sample_4_USE_20_1,16.356,19101,15,98.1,16.305,16.272,0.084
33,Cpd 33: 16.341,522292,103.85,MPW_Sample_4_USE_20_1,16.419,113926,16,103.85,16.341,16.303,0.116
34,Cpd 34: 16.474,53056,43.01,MPW_Sample_4_USE_20_1,16.535,10554,7,43.01,16.474,16.44,0.095
35,Cpd 35: 16.613,83447,69.97,MPW_Sample_4_USE_20_1,16.668,6796,17,69.97,16.613,16.533,0.135
36,Cpd 36: 17.232,57543,281,MPW_Sample_4_USE_20_1,17.287,13805,10,281,17.232,17.188,0.099
37,Cpd 37: 17.334,52427,98.1,MPW_Sample_4_USE_20_1,17.399,10401,10,98.1,17.334,17.302,0.097
38,Cpd 38: 17.482,60409,55.01,MPW_Sample_4_USE_20_1,17.542,4970,16,55.01,17.482,17.42,0.122
39,Cpd 39: 17.555,48840,57.06,MPW_Sample_4_USE_20_1,17.62,9959,9,57.06,17.555,17.504,0.116
40,Cpd 40: 17.691,197763,55.01,MPW_Sample_4_USE_20_1,17.766,52747,10,55.01,17.691,17.648,0.118
41,Cpd 41: 17.790,55871,105.85,MPW_Sample_4_USE_20_1,17.871,10085,7,105.85,17.79,17.753,0.118
42,Cpd 42: 18.081,95541,59.79,MPW_Sample_4_USE_20_1,18.196,6344,19,59.79,18.081,18.048,0.148
43,Cpd 43: 18.149,275343,57.06,MPW_Sample_4_USE_20_1,18.227,35846,20,57.06,18.149,18.101,0.126
44,Cpd 44: 18.404,109075,57.06,MPW_Sample_4_USE_20_1,18.434,22732,10,57.06,18.404,18.364,0.07
45,Cpd 45: 18.456,237592,57.06,MPW_Sample_4_USE_20_1,18.529,43775,19,57.06,18.456,18.425,0.105
46,Cpd 46: 18.632,97053,93.87,MPW_Sample_4_USE_20_1,18.714,22163,13,93.87,18.632,18.6,0.114
47,Cpd 47: 18.768,65990,55.01,MPW_Sample_4_USE_20_1,18.842,3839,16,55.01,18.768,18.685,0.156
48,Cpd 48: 18.828,67382,57.06,MPW_Sample_4_USE_20_1,18.859,12170,11,57.06,18.828,18.792,0.067
49,Cpd 49: 18.921,58421,78.88,MPW_Sample_4_USE_20_1,18.99,3288,18,78.88,18.921,18.874,0.116
50,Cpd 50: 19.109,62057,68.01,MPW_Sample_4_USE_20_1,19.19,9259,10,68.01,19.109,19.076,0.114
51,Cpd 51: 19.191,55420,104.9,MPW_Sample_4_USE_20_1,19.264,6812,9,104.9,19.191,19.129,0.135
52,Cpd 52: 19.330,221753,57.06,MPW_Sample_4_USE_20_1,19.376,19342,27,57.06,19.33,19.283,0.093
