Cpd,Label,Area,Base Peak,File,End,Height,Ions,m/z,RT,Start,Width
1,Cpd 1: 1.161,106815,39.92,PBBC_Sample_9_USE_42_2,1.246,19948,3,39.92,1.161,1.113,0.133
2,Cpd 2: 1.384,305500,44,PBBC_Sample_9_USE_42_2,1.615,73704,2,44,1.384,1.339,0.276
3,Cpd 3: 1.660,114332,63.75,PBBC_Sample_9_USE_42_2,1.939,18214,3,63.75,1.66,1.6,0.339
4,Cpd 4: 1.716,92383,49.83,PBBC_Sample_9_USE_42_2,1.771,27137,7,49.83,1.716,1.672,0.099
5,Cpd 5: 1.805,62276,41,PBBC_Sample_9_USE_42_2,1.866,13098,8,41,1.805,1.766,0.101
6,Cpd 6: 1.908,724426,44,PBBC_Sample_9_USE_42_2,1.992,217098,5,44,1.908,1.874,0.118
7,Cpd 7: 2.049,82337,46.75,PBBC_Sample_9_USE_42_2,2.161,15615,4,46.75,2.049,2.011,0.15
8,Cpd 8: 2.633,85235,44.93,PBBC_Sample_9_USE_42_2,2.761,21466,5,44.93,2.633,2.593,0.167
9,Cpd 9: 2.935,61153,55.88,PBBC_Sample_9_USE_42_2,3.046,12529,3,55.88,2.935,2.884,0.162
10,Cpd 10: 3.080,87237,43,PBBC_Sample_9_USE_42_2,3.16,26307,3,43,3.08,3.044,0.116
11,Cpd 11: 3.373,177813,43,PBBC_Sample_9_USE_42_2,3.565,21837,7,43,3.373,3.303,0.263
12,Cpd 12: 6.102,110819,131.76,PBBC_Sample_9_USE_42_2,6.207,18571,5,131.76,6.102,6.017,0.19
13,Cpd 13: 7.870,47265,72.98,PBBC_Sample_9_USE_42_2,7.997,4732,4,72.98,7.87,7.611,0.386
14,Cpd 14: 8.338,139194,77.95,PBBC_Sample_9_USE_42_2,8.456,17013,8,77.95,8.338,8.233,0.223
15,Cpd 15: 10.260,280180,43,PBBC_Sample_9_USE_42_2,10.742,10768,4,43,10.26,10.219,0.523
16,Cpd 16: 13.435,3964129,98.1,PBBC_Sample_9_USE_42_2,13.536,859301,11,98.1,13.435,13.386,0.15
17,Cpd 17: 13.542,43576,90.95,PBBC_Sample_9_USE_42_2,13.603,7770,6,90.95,13.542,13.491,0.112
18,Cpd 18: 14.433,300269,207,PBBC_Sample_9_USE_42_2,14.499,49663,28,207,14.433,14.375,0.124
19,Cpd 19: 14.756,57713,55,PBBC_Sample_9_USE_42_2,14.841,8455,10,55,14.756,14.668,0.173
20,Cpd 20: 15.537,60721,58.85,PBBC_Sample_9_USE_42_2,15.663,6082,5,58.85,15.537,15.515,0.148
21,Cpd 21: 15.781,98973,96,PBBC_Sample_9_USE_42_2,15.847,16356,11,96,15.781,15.743,0.105
22,Cpd 22: 16.342,113151,103.78,PBBC_Sample_9_USE_42_2,16.397,19245,15,103.78,16.342,16.285,0.112
23,Cpd 23: 17.688,62626,55,PBBC_Sample_9_USE_42_2,17.794,16086,7,55,17.688,17.649,0.145
24,Cpd 24: 17.790,51035,76.86,PBBC_Sample_9_USE_42_2,17.882,8819,8,76.86,17.79,17.756,0.126
25,Cpd 25: 18.456,73527,57.02,PBBC_Sample_9_USE_42_2,18.521,13873,11,57.02,18.456,18.426,0.095
26,Cpd 26: 18.633,61788,93.93,PBBC_Sample_9_USE_42_2,18.729,17498,6,93.93,18.633,18.597,0.131
27,Cpd 27: 18.772,52879,69.96,PBBC_Sample_9_USE_42_2,18.913,3278,13,69.96,18.772,18.71,0.204
28,Cpd 28: 19.332,88518,57.02,PBBC_Sample_9_USE_42_2,19.381,7984,21,57.02,19.332,19.298,0.084
