Cpd,Label,Area,Base Peak,File,End,Height,Ions,m/z,RT,Start,Width
1,Cpd 1: 13.436,3930306,98.08,PC_Sample_17_USSB_34_2,13.551,850270,11,98.08,13.436,13.385,0.166
2,Cpd 2: 13.545,2864446,91.1,PC_Sample_17_USSB_34_2,13.65,664045,11,91.1,13.545,13.488,0.162
3,Cpd 3: 15.699,839581,91.1,PC_Sample_17_USSB_34_2,15.777,236331,16,91.1,15.699,15.659,0.118
4,Cpd 4: 16.343,47440153,104.1,PC_Sample_17_USSB_34_2,16.447,8387824,15,104.1,16.343,16.296,0.15
5,Cpd 5: 24.834,1074358,92.09,PC_Sample_17_USSB_34_2,24.916,168186,20,92.09,24.834,24.79,0.126
6,Cpd 6: 25.488,23130706,91.1,PC_Sample_17_USSB_34_2,25.603,3889544,26,91.1,25.488,25.439,0.164
7,Cpd 7: 25.860,3041824,104.1,PC_Sample_17_USSB_34_2,25.965,866947,15,104.1,25.86,25.811,0.155
8,Cpd 8: 26.316,652477,97.03,PC_Sample_17_USSB_34_2,26.397,22634,45,97.03,26.316,26.261,0.135
9,Cpd 9: 28.455,3677537,73,PC_Sample_17_USSB_34_2,28.671,79508,72,73,28.455,28.388,0.282
10,Cpd 10: 28.748,657536,312.2,PC_Sample_17_USSB_34_2,28.776,55311,20,312.2,28.748,28.583,0.193
11,Cpd 11: 28.754,2869152,194.1,PC_Sample_17_USSB_34_2,28.774,329620,17,194.1,28.754,28.583,0.191
12,Cpd 12: 28.778,28226457,91.1,PC_Sample_17_USSB_34_2,29.203,2429911,14,91.1,28.778,28.51,0.693
13,Cpd 13: 28.790,34199397,91.1,PC_Sample_17_USSB_34_2,29.176,2487565,16,91.1,28.79,28.535,0.641
14,Cpd 14: 28.807,2485263,193.1,PC_Sample_17_USSB_34_2,29.05,156512,17,193.1,28.807,28.793,0.258
15,Cpd 15: 28.819,2000185,194.1,PC_Sample_17_USSB_34_2,29.05,325361,8,194.1,28.819,28.797,0.254
16,Cpd 16: 29.442,617328,57.1,PC_Sample_17_USSB_34_2,29.539,15279,41,57.1,29.442,29.359,0.179
