Cpd,Label,Area,Base Peak,File,End,Height,Ions,m/z,RT,Start,Width
1,Cpd 1: 1.160,97604,39.92,PC_Sample_1_USE_04_1,1.2,28699,2,39.92,1.16,1.128,0.072
2,Cpd 2: 1.386,362921,44,PC_Sample_1_USE_04_1,1.584,67089,2,44,1.386,1.31,0.274
3,Cpd 3: 1.516,312702,41,PC_Sample_1_USE_04_1,1.601,65047,7,41,1.516,1.483,0.118
4,Cpd 4: 1.656,213885,63.76,PC_Sample_1_USE_04_1,1.924,33792,6,63.76,1.656,1.599,0.325
5,Cpd 5: 1.712,63737,49.77,PC_Sample_1_USE_04_1,1.768,17926,6,49.77,1.712,1.673,0.095
6,Cpd 6: 1.803,339033,41,PC_Sample_1_USE_04_1,1.875,65164,13,41,1.803,1.763,0.112
7,Cpd 7: 1.905,325994,44,PC_Sample_1_USE_04_1,1.999,99315,6,44,1.905,1.875,0.124
8,Cpd 8: 2.050,69033,46.85,PC_Sample_1_USE_04_1,2.141,10986,5,46.85,2.05,2.019,0.122
9,Cpd 9: 2.563,71275,41.97,PC_Sample_1_USE_04_1,2.626,9113,5,41.97,2.563,2.504,0.122
10,Cpd 10: 2.625,2272872,45,PC_Sample_1_USE_04_1,2.729,501779,4,45,2.625,2.59,0.139
11,Cpd 11: 2.635,2057445,43.01,PC_Sample_1_USE_04_1,2.736,332529,9,43.01,2.635,2.581,0.156
12,Cpd 12: 3.075,311855,43.01,PC_Sample_1_USE_04_1,3.202,85753,5,43.01,3.075,3.037,0.165
13,Cpd 13: 3.373,147885,75.9,PC_Sample_1_USE_04_1,3.501,22984,7,75.9,3.373,3.33,0.171
14,Cpd 14: 3.849,63769,43.01,PC_Sample_1_USE_04_1,3.929,7313,6,43.01,3.849,3.653,0.276
15,Cpd 15: 4.498,1787103,56.04,PC_Sample_1_USE_04_1,4.6,124237,19,56.04,4.498,4.418,0.183
16,Cpd 16: 4.692,69519,41,PC_Sample_1_USE_04_1,4.785,8925,6,41,4.692,4.632,0.152
17,Cpd 17: 5.572,75370,43.01,PC_Sample_1_USE_04_1,5.794,9327,9,43.01,5.572,5.522,0.272
