Cpd,Label,Area,Base Peak,File,End,Height,Ions,m/z,RT,Start,Width
1,Cpd 1: 1.157,84886,39.91,PDS_Sample_1_USE_03_1,1.2,44361,3,39.91,1.157,1.127,0.072
2,Cpd 2: 1.389,615701,44,PDS_Sample_1_USE_03_1,1.625,116237,2,44,1.389,1.321,0.304
3,Cpd 3: 1.515,189748,40.98,PDS_Sample_1_USE_03_1,1.583,38737,7,40.98,1.515,1.483,0.101
4,Cpd 4: 1.652,198843,63.84,PDS_Sample_1_USE_03_1,2.161,21729,5,63.84,1.652,1.602,0.559
5,Cpd 5: 1.802,220276,40.98,PDS_Sample_1_USE_03_1,1.876,43266,13,40.98,1.802,1.76,0.116
6,Cpd 6: 1.903,197066,44,PDS_Sample_1_USE_03_1,1.979,63794,6,44,1.903,1.874,0.105
7,Cpd 7: 2.624,1132233,44.96,PDS_Sample_1_USE_03_1,2.728,393794,3,44.96,2.624,2.591,0.137
8,Cpd 8: 2.922,85614,56.02,PDS_Sample_1_USE_03_1,3.023,18971,5,56.02,2.922,2.874,0.148
9,Cpd 9: 3.064,7432763,43,PDS_Sample_1_USE_03_1,3.18,2028257,6,43,3.064,3.017,0.164
10,Cpd 10: 3.371,143325,75.87,PDS_Sample_1_USE_03_1,3.467,31143,7,75.87,3.371,3.319,0.148
11,Cpd 11: 4.495,961902,56.02,PDS_Sample_1_USE_03_1,4.602,66886,17,56.02,4.495,4.412,0.19
12,Cpd 12: 4.686,455250,40.98,PDS_Sample_1_USE_03_1,4.808,37990,13,40.98,4.686,4.619,0.188
13,Cpd 13: 5.545,296161,54.98,PDS_Sample_1_USE_03_1,5.718,30552,10,54.98,5.545,5.477,0.241
14,Cpd 14: 5.931,75568,43,PDS_Sample_1_USE_03_1,6.039,8606,4,43,5.931,5.828,0.211
15,Cpd 15: 6.093,139691,131.84,PDS_Sample_1_USE_03_1,6.205,22016,8,131.84,6.093,6.009,0.196
16,Cpd 16: 8.327,192534,77.84,PDS_Sample_1_USE_03_1,8.454,20900,8,77.84,8.327,8.216,0.238
17,Cpd 17: 9.522,76328,40.98,PDS_Sample_1_USE_03_1,9.581,3676,8,40.98,9.522,9.421,0.16
18,Cpd 18: 10.330,109209,43,PDS_Sample_1_USE_03_1,10.448,8285,3,43,10.33,10.256,0.192
19,Cpd 19: 10.860,149423,56.02,PDS_Sample_1_USE_03_1,11.014,12104,8,56.02,10.86,10.79,0.224
20,Cpd 20: 13.051,657662,43,PDS_Sample_1_USE_03_1,13.124,70853,16,43,13.051,12.991,0.133
21,Cpd 21: 13.424,3322497,98.1,PDS_Sample_1_USE_03_1,13.526,722601,12,98.1,13.424,13.373,0.152
22,Cpd 22: 13.813,93700,54.98,PDS_Sample_1_USE_03_1,13.86,6826,11,54.98,13.813,13.75,0.11
23,Cpd 23: 14.426,603637,206.96,PDS_Sample_1_USE_03_1,14.528,104179,24,206.96,14.426,14.37,0.158
24,Cpd 24: 14.753,113251,54.98,PDS_Sample_1_USE_03_1,14.834,16316,12,54.98,14.753,14.676,0.158
25,Cpd 25: 15.000,2372878,70.04,PDS_Sample_1_USE_03_1,15.093,225512,23,70.04,15,14.952,0.141
26,Cpd 26: 15.419,108581,59.95,PDS_Sample_1_USE_03_1,15.528,21597,8,59.95,15.419,15.386,0.143
27,Cpd 27: 15.931,96712,56.02,PDS_Sample_1_USE_03_1,15.966,9344,14,56.02,15.931,15.893,0.072
28,Cpd 28: 16.027,78249,43,PDS_Sample_1_USE_03_1,16.099,7088,13,43,16.027,15.956,0.143
29,Cpd 29: 16.304,78995,98.1,PDS_Sample_1_USE_03_1,16.382,6172,14,98.1,16.304,16.272,0.11
30,Cpd 30: 17.229,84270,280.89,PDS_Sample_1_USE_03_1,17.294,14624,15,280.89,17.229,17.189,0.105
31,Cpd 31: 17.483,117853,54.98,PDS_Sample_1_USE_03_1,17.533,9873,17,54.98,17.483,17.438,0.095
32,Cpd 32: 17.694,348605,71.04,PDS_Sample_1_USE_03_1,17.727,38908,23,71.04,17.694,17.655,0.072
33,Cpd 33: 17.751,311477,71.04,PDS_Sample_1_USE_03_1,17.821,39235,19,71.04,17.751,17.722,0.099
34,Cpd 34: 18.187,158353,67.96,PDS_Sample_1_USE_03_1,18.258,15885,25,67.96,18.187,18.152,0.107
35,Cpd 35: 18.458,132774,56.99,PDS_Sample_1_USE_03_1,18.54,24574,14,56.99,18.458,18.424,0.116
36,Cpd 36: 18.633,97915,93.96,PDS_Sample_1_USE_03_1,18.74,17497,11,93.96,18.633,18.601,0.139
37,Cpd 37: 18.653,511727,68.98,PDS_Sample_1_USE_03_1,18.679,45664,29,68.98,18.653,18.614,0.065
38,Cpd 38: 18.703,544487,68.98,PDS_Sample_1_USE_03_1,18.747,44389,33,68.98,18.703,18.677,0.07
39,Cpd 39: 18.772,138532,54.98,PDS_Sample_1_USE_03_1,18.814,10078,18,54.98,18.772,18.738,0.076
40,Cpd 40: 19.334,174101,56.99,PDS_Sample_1_USE_03_1,19.386,14400,25,56.99,19.334,19.282,0.105
41,Cpd 41: 19.913,134924,54.98,PDS_Sample_1_USE_03_1,19.948,9414,20,54.98,19.913,19.874,0.074
42,Cpd 42: 19.962,111738,56.99,PDS_Sample_1_USE_03_1,20.016,18618,15,56.99,19.962,19.927,0.089
43,Cpd 43: 20.449,124289,71.04,PDS_Sample_1_USE_03_1,20.504,11772,20,71.04,20.449,20.401,0.103
44,Cpd 44: 20.952,187111,54.98,PDS_Sample_1_USE_03_1,20.987,10516,31,54.98,20.952,20.898,0.089
45,Cpd 45: 20.992,175422,56.99,PDS_Sample_1_USE_03_1,21.042,25686,19,56.99,20.992,20.947,0.095
