Cpd,Label,Area,Base Peak,File,End,Height,Ions,m/z,RT,Start,Width
1,Cpd 1: 1.156,89341,39.95,PDS_Sample_5_USSB_07_2,1.203,16197,3,39.95,1.156,1.06,0.143
2,Cpd 2: 1.381,313376,44,PDS_Sample_5_USSB_07_2,1.657,61739,2,44,1.381,1.336,0.321
3,Cpd 3: 1.511,230387,41.01,PDS_Sample_5_USSB_07_2,1.579,47656,7,41.01,1.511,1.478,0.101
4,Cpd 4: 1.659,92147,63.76,PDS_Sample_5_USSB_07_2,1.815,15939,3,63.76,1.659,1.617,0.198
5,Cpd 5: 1.802,303842,41.01,PDS_Sample_5_USSB_07_2,1.868,60212,14,41.01,1.802,1.76,0.109
6,Cpd 6: 1.903,257913,44,PDS_Sample_5_USSB_07_2,1.975,84773,5,44,1.903,1.87,0.105
7,Cpd 7: 2.049,76662,46.84,PDS_Sample_5_USSB_07_2,2.118,14382,4,46.84,2.049,2.011,0.107
8,Cpd 8: 2.634,1442561,43.03,PDS_Sample_5_USSB_07_2,2.744,183463,12,43.03,2.634,2.582,0.162
9,Cpd 9: 2.923,78852,55.99,PDS_Sample_5_USSB_07_2,3.014,7547,6,55.99,2.923,2.803,0.211
10,Cpd 10: 3.075,283583,43.03,PDS_Sample_5_USSB_07_2,3.195,79788,4,43.03,3.075,3.037,0.158
11,Cpd 11: 3.374,197906,43.03,PDS_Sample_5_USSB_07_2,3.453,19580,8,43.03,3.374,3.322,0.131
12,Cpd 12: 3.850,84665,43.03,PDS_Sample_5_USSB_07_2,4.085,6925,7,43.03,3.85,3.788,0.297
13,Cpd 13: 4.501,1432068,55.99,PDS_Sample_5_USSB_07_2,4.601,104446,18,55.99,4.501,4.42,0.181
14,Cpd 14: 4.694,96649,70.1,PDS_Sample_5_USSB_07_2,4.8,10142,5,70.1,4.694,4.627,0.173
15,Cpd 15: 5.663,91948,43.03,PDS_Sample_5_USSB_07_2,5.776,9911,7,43.03,5.663,5.516,0.261
16,Cpd 16: 5.936,64933,74.79,PDS_Sample_5_USSB_07_2,6.031,7056,4,74.79,5.936,5.864,0.167
