Cpd,Label,Area,Base Peak,File,End,Height,Ions,m/z,RT,Start,Width
1,Cpd 1: 1.382,3510865,44,Pbal_Sample_1_USE_11_1,1.517,1514919,1,44,1.382,1.355,0.162
2,Cpd 2: 1.661,1106503,63.97,Pbal_Sample_1_USE_11_1,1.735,206359,10,63.97,1.661,1.617,0.118
3,Cpd 3: 1.806,696756,41.01,Pbal_Sample_1_USE_11_1,1.872,130130,13,41.01,1.806,1.766,0.107
4,Cpd 4: 4.534,5127758,38,Pbal_Sample_1_USE_11_1,5.752,48977,6,38,4.534,4.352,1.399
5,Cpd 5: 8.353,61379442,78.1,Pbal_Sample_1_USE_11_1,8.622,6022475,10,78.1,8.353,8.232,0.39
6,Cpd 6: 10.054,1277443,43.03,Pbal_Sample_1_USE_11_1,10.549,47276,8,43.03,10.054,10.002,0.546
7,Cpd 7: 13.439,4005549,98.07,Pbal_Sample_1_USE_11_1,13.539,843755,11,98.07,13.439,13.385,0.154
8,Cpd 8: 13.546,2503678,91.03,Pbal_Sample_1_USE_11_1,13.642,583644,10,91.03,13.546,13.495,0.147
9,Cpd 9: 15.325,987954,70.06,Pbal_Sample_1_USE_11_1,15.376,109628,23,70.06,15.325,15.258,0.118
10,Cpd 10: 15.513,1275386,69.07,Pbal_Sample_1_USE_11_1,15.564,137908,24,69.07,15.513,15.458,0.107
11,Cpd 11: 15.702,731029,91.03,Pbal_Sample_1_USE_11_1,15.751,85113,35,91.03,15.702,15.66,0.091
12,Cpd 12: 15.848,760020,55.04,Pbal_Sample_1_USE_11_1,15.93,63203,33,55.04,15.848,15.806,0.124
13,Cpd 13: 16.984,3440138,69.07,Pbal_Sample_1_USE_11_1,17.065,886157,12,69.07,16.984,16.945,0.12
14,Cpd 14: 18.498,886061,117.03,Pbal_Sample_1_USE_11_1,18.553,227270,15,117.03,18.498,18.463,0.09
15,Cpd 15: 18.721,1554859,114.99,Pbal_Sample_1_USE_11_1,18.791,408834,13,114.99,18.721,18.683,0.109
16,Cpd 16: 19.008,636961,97.1,Pbal_Sample_1_USE_11_1,19.102,48212,29,97.1,19.008,18.949,0.152
17,Cpd 17: 19.169,753138,57.1,Pbal_Sample_1_USE_11_1,19.262,53859,28,57.1,19.169,19.096,0.166
18,Cpd 18: 19.282,901914,57.1,Pbal_Sample_1_USE_11_1,19.369,163023,25,57.1,19.282,19.249,0.12
19,Cpd 19: 19.324,1222344,57.1,Pbal_Sample_1_USE_11_1,19.363,93339,26,57.1,19.324,19.287,0.076
20,Cpd 20: 19.388,6097417,69.07,Pbal_Sample_1_USE_11_1,19.47,519390,22,69.07,19.388,19.336,0.133
21,Cpd 21: 19.550,2895701,97.1,Pbal_Sample_1_USE_11_1,19.632,277152,33,97.1,19.55,19.517,0.114
22,Cpd 22: 19.683,3253056,69.07,Pbal_Sample_1_USE_11_1,19.773,339450,20,69.07,19.683,19.622,0.151
23,Cpd 23: 19.803,1182437,55.04,Pbal_Sample_1_USE_11_1,19.836,152431,19,55.04,19.803,19.765,0.071
24,Cpd 24: 19.857,719405,91.03,Pbal_Sample_1_USE_11_1,19.929,120805,21,91.03,19.857,19.817,0.112
25,Cpd 25: 20.084,781260,103.99,Pbal_Sample_1_USE_11_1,20.16,56542,49,103.99,20.084,20.042,0.118
26,Cpd 26: 20.188,1397249,129.94,Pbal_Sample_1_USE_11_1,20.23,218383,22,129.94,20.188,20.15,0.08
27,Cpd 27: 20.551,3931907,127.99,Pbal_Sample_1_USE_11_1,20.589,1415933,15,127.99,20.551,20.512,0.076
28,Cpd 28: 22.424,12076690,103.99,Pbal_Sample_1_USE_11_1,22.506,2141102,18,103.99,22.424,22.382,0.124
29,Cpd 29: 24.498,660749,166,Pbal_Sample_1_USE_11_1,24.561,121672,19,166,24.498,24.458,0.103
30,Cpd 30: 26.888,984249,178,Pbal_Sample_1_USE_11_1,26.972,162558,17,178,26.888,26.831,0.141
31,Cpd 31: 28.460,1172352,72.99,Pbal_Sample_1_USE_11_1,28.66,25631,57,72.99,28.46,28.37,0.291
