Cpd,Label,Area,Base Peak,File,End,Height,Ions,m/z,RT,Start,Width
1,Cpd 1: 1.902,25264052,44.03,Pcut_Sample_1_USSB_01_1,2.04,5680337,5,44.03,1.902,1.857,0.183
2,Cpd 2: 5.651,567740,43.04,Pcut_Sample_1_USSB_01_1,5.962,37312,9,43.04,5.651,5.465,0.497
3,Cpd 3: 9.408,656465,69.98,Pcut_Sample_1_USSB_01_1,9.601,34604,9,69.98,9.408,9.337,0.264
4,Cpd 4: 9.764,9487708,43.04,Pcut_Sample_1_USSB_01_1,10.126,372810,7,43.04,9.764,9.744,0.383
5,Cpd 5: 10.857,2867959,56.08,Pcut_Sample_1_USSB_01_1,11.023,260761,11,56.08,10.857,10.773,0.249
6,Cpd 6: 11.756,5719343,43.04,Pcut_Sample_1_USSB_01_1,11.909,865416,5,43.04,11.756,11.681,0.228
7,Cpd 7: 13.435,4077107,98.06,Pcut_Sample_1_USSB_01_1,13.536,869414,11,98.06,13.435,13.382,0.154
8,Cpd 8: 13.681,1039835,74,Pcut_Sample_1_USSB_01_1,13.797,140373,12,74,13.681,13.643,0.154
9,Cpd 9: 14.053,5497408,71.99,Pcut_Sample_1_USSB_01_1,14.196,960630,7,71.99,14.053,14.016,0.181
10,Cpd 10: 14.816,1075724,43.04,Pcut_Sample_1_USSB_01_1,14.899,176990,18,43.04,14.816,14.775,0.124
11,Cpd 11: 17.060,1204914,43.04,Pcut_Sample_1_USSB_01_1,17.099,227160,16,43.04,17.06,17.023,0.076
12,Cpd 12: 17.636,605314,55,Pcut_Sample_1_USSB_01_1,17.708,177359,11,55,17.636,17.603,0.105
13,Cpd 13: 17.700,1164349,45.1,Pcut_Sample_1_USSB_01_1,18.015,156984,13,45.1,17.7,17.666,0.349
14,Cpd 14: 17.784,1400210,43.04,Pcut_Sample_1_USSB_01_1,17.837,319055,16,43.04,17.784,17.729,0.109
15,Cpd 15: 18.052,874549,43.04,Pcut_Sample_1_USSB_01_1,18.148,152281,17,43.04,18.052,18.016,0.131
16,Cpd 16: 18.187,660829,110.01,Pcut_Sample_1_USSB_01_1,18.268,148535,18,110.01,18.187,18.154,0.114
17,Cpd 17: 18.440,662848,126,Pcut_Sample_1_USSB_01_1,18.516,88090,19,126,18.44,18.403,0.112
18,Cpd 18: 19.080,617548,43.04,Pcut_Sample_1_USSB_01_1,19.14,107295,16,43.04,19.08,19.045,0.095
19,Cpd 19: 19.316,1545708,43.04,Pcut_Sample_1_USSB_01_1,19.409,461119,10,43.04,19.316,19.281,0.128
20,Cpd 20: 19.521,613972,44.03,Pcut_Sample_1_USSB_01_1,19.59,88835,9,44.03,19.521,19.487,0.103
21,Cpd 21: 19.569,1274559,56.08,Pcut_Sample_1_USSB_01_1,19.622,216243,17,56.08,19.569,19.535,0.088
22,Cpd 22: 19.621,1328374,56.08,Pcut_Sample_1_USSB_01_1,19.714,184054,14,56.08,19.621,19.588,0.126
23,Cpd 23: 20.212,2150888,55,Pcut_Sample_1_USSB_01_1,20.304,655895,7,55,20.212,20.175,0.13
24,Cpd 24: 20.266,7747376,126,Pcut_Sample_1_USSB_01_1,20.358,1413382,17,126,20.266,20.224,0.133
25,Cpd 25: 20.464,47436057,56.08,Pcut_Sample_1_USSB_01_1,20.552,8367023,6,56.08,20.464,20.383,0.17
26,Cpd 26: 20.712,667151,43.04,Pcut_Sample_1_USSB_01_1,20.775,79197,23,43.04,20.712,20.669,0.107
27,Cpd 27: 20.811,1085797,43.04,Pcut_Sample_1_USSB_01_1,20.93,75047,32,43.04,20.811,20.75,0.179
28,Cpd 28: 20.982,51193452,56.08,Pcut_Sample_1_USSB_01_1,21.053,8356371,2,56.08,20.982,20.884,0.17
29,Cpd 29: 21.035,49436663,45.1,Pcut_Sample_1_USSB_01_1,21.095,5315771,8,45.1,21.035,20.912,0.183
30,Cpd 30: 21.072,9971740,56.08,Pcut_Sample_1_USSB_01_1,21.155,3741406,8,56.08,21.072,21.029,0.126
31,Cpd 31: 21.222,1277046,139,Pcut_Sample_1_USSB_01_1,21.303,273411,24,139,21.222,21.187,0.116
32,Cpd 32: 21.844,651356,55,Pcut_Sample_1_USSB_01_1,21.885,86615,32,55,21.844,21.784,0.101
33,Cpd 33: 22.527,958883,43.04,Pcut_Sample_1_USSB_01_1,22.562,226133,13,43.04,22.527,22.489,0.072
34,Cpd 34: 22.597,1040371,43.04,Pcut_Sample_1_USSB_01_1,22.674,259362,12,43.04,22.597,22.562,0.113
35,Cpd 35: 22.979,513310,126,Pcut_Sample_1_USSB_01_1,23.083,57324,24,126,22.979,22.911,0.172
36,Cpd 36: 23.347,853678,43.04,Pcut_Sample_1_USSB_01_1,23.428,49349,50,43.04,23.347,23.308,0.12
37,Cpd 37: 23.566,1923455,190.92,Pcut_Sample_1_USSB_01_1,23.623,632258,18,190.92,23.566,23.533,0.09
38,Cpd 38: 24.042,2558034,113.01,Pcut_Sample_1_USSB_01_1,24.107,657472,16,113.01,24.042,24.008,0.099
39,Cpd 39: 24.106,658968,56.08,Pcut_Sample_1_USSB_01_1,24.18,105428,12,56.08,24.106,24.065,0.115
40,Cpd 40: 24.611,3909687,56.08,Pcut_Sample_1_USSB_01_1,24.695,442454,11,56.08,24.611,24.541,0.155
41,Cpd 41: 25.063,1230442,56.08,Pcut_Sample_1_USSB_01_1,25.153,180383,12,56.08,25.063,25.018,0.136
42,Cpd 42: 26.316,593568,96.99,Pcut_Sample_1_USSB_01_1,26.375,22683,42,96.99,26.316,26.247,0.128
43,Cpd 43: 27.867,4952496,128,Pcut_Sample_1_USSB_01_1,28.026,473894,15,128,27.867,27.795,0.231
44,Cpd 44: 28.457,3664305,72.99,Pcut_Sample_1_USSB_01_1,28.675,79463,66,72.99,28.457,28.381,0.294
45,Cpd 45: 28.772,13879060,117.09,Pcut_Sample_1_USSB_01_1,29.11,480618,19,117.09,28.772,28.533,0.576
46,Cpd 46: 28.772,28032739,91.1,Pcut_Sample_1_USSB_01_1,29.11,1476574,16,91.1,28.772,28.522,0.588
47,Cpd 47: 28.787,17418719,91.1,Pcut_Sample_1_USSB_01_1,28.793,1476574,9,91.1,28.787,28.782,0.011
48,Cpd 48: 28.798,1720857,207,Pcut_Sample_1_USSB_01_1,29.014,294031,12,207,28.798,28.783,0.231
49,Cpd 49: 28.999,5618110,128,Pcut_Sample_1_USSB_01_1,29.127,438946,14,128,28.999,28.917,0.21
50,Cpd 50: 29.243,4092677,128,Pcut_Sample_1_USSB_01_1,29.36,330087,13,128,29.243,29.159,0.2
51,Cpd 51: 29.443,641100,96.99,Pcut_Sample_1_USSB_01_1,29.562,14260,45,96.99,29.443,29.367,0.195
