Cpd,Label,Area,Base Peak,File,End,Height,Ions,m/z,RT,Start,Width
1,Cpd 1: 1.145,107529,39.95,PBBC_Sample_5_USE_21_1,1.196,45060,3,39.95,1.145,1.12,0.076
2,Cpd 2: 1.381,1127833,44,PBBC_Sample_5_USE_21_1,1.676,173820,2,44,1.381,1.307,0.369
3,Cpd 3: 1.505,42466,41,PBBC_Sample_5_USE_21_1,1.586,8693,6,41,1.505,1.478,0.108
4,Cpd 4: 1.639,142459,63.76,PBBC_Sample_5_USE_21_1,1.889,21439,3,63.76,1.639,1.599,0.289
5,Cpd 5: 1.706,54672,49.77,PBBC_Sample_5_USE_21_1,1.765,12534,5,49.77,1.706,1.658,0.107
6,Cpd 6: 1.792,89170,41,PBBC_Sample_5_USE_21_1,1.847,14801,8,41,1.792,1.75,0.097
7,Cpd 7: 1.894,795652,44,PBBC_Sample_5_USE_21_1,2.009,232488,5,44,1.894,1.856,0.152
8,Cpd 8: 2.036,59359,46.95,PBBC_Sample_5_USE_21_1,2.128,10659,4,46.95,2.036,2.003,0.126
9,Cpd 9: 2.616,118059,44.88,PBBC_Sample_5_USE_21_1,2.726,31292,5,44.88,2.616,2.581,0.145
10,Cpd 10: 2.912,73680,55.88,PBBC_Sample_5_USE_21_1,3.026,8192,6,55.88,2.912,2.788,0.238
11,Cpd 11: 3.059,210479,43.01,PBBC_Sample_5_USE_21_1,3.188,57179,5,43.01,3.059,3.024,0.164
12,Cpd 12: 3.357,126658,75.87,PBBC_Sample_5_USE_21_1,3.473,24898,7,75.87,3.357,3.308,0.165
13,Cpd 13: 4.505,59886,55.88,PBBC_Sample_5_USE_21_1,4.745,4150,8,55.88,4.505,4.316,0.43
14,Cpd 14: 5.649,70655,43.01,PBBC_Sample_5_USE_21_1,5.746,9036,7,43.01,5.649,5.485,0.261
15,Cpd 15: 5.913,43756,74.8,PBBC_Sample_5_USE_21_1,6.016,5701,4,74.8,5.913,5.82,0.196
16,Cpd 16: 6.089,179323,131.96,PBBC_Sample_5_USE_21_1,6.191,28499,8,131.96,6.089,5.991,0.2
17,Cpd 17: 8.313,156396,77.85,PBBC_Sample_5_USE_21_1,8.422,18724,7,77.85,8.313,8.209,0.213
18,Cpd 18: 10.191,403586,44.88,PBBC_Sample_5_USE_21_1,10.573,15313,5,44.88,10.191,10.141,0.432
19,Cpd 19: 10.842,64709,55.88,PBBC_Sample_5_USE_21_1,10.999,6663,7,55.88,10.842,10.717,0.281
