Cpd,Label,Area,Base Peak,File,End,Height,Ions,m/z,RT,Start,Width
1,Cpd 1: 2.645,1702714,42.99,PC_Sample_14_USSB_33_2,2.711,237592,13,42.99,2.645,2.59,0.122
2,Cpd 2: 13.438,3902527,98.08,PC_Sample_14_USSB_33_2,13.538,831151,11,98.08,13.438,13.386,0.152
3,Cpd 3: 13.546,3052672,91.09,PC_Sample_14_USSB_33_2,13.65,706437,11,91.09,13.546,13.496,0.154
4,Cpd 4: 16.343,41638639,104.1,PC_Sample_14_USSB_33_2,16.447,8127015,15,104.1,16.343,16.296,0.15
5,Cpd 5: 16.772,898140,105.1,PC_Sample_14_USSB_33_2,16.846,258368,15,105.1,16.772,16.734,0.112
6,Cpd 6: 17.246,425244,91.09,PC_Sample_14_USSB_33_2,17.301,148750,13,91.09,17.246,17.208,0.093
7,Cpd 7: 17.790,825880,106.05,PC_Sample_14_USSB_33_2,17.867,131266,15,106.05,17.79,17.756,0.11
8,Cpd 8: 18.458,1489245,57.07,PC_Sample_14_USSB_33_2,18.531,283287,19,57.07,18.458,18.422,0.109
9,Cpd 9: 18.868,1973797,82.99,PC_Sample_14_USSB_33_2,18.948,368192,21,82.99,18.868,18.826,0.122
10,Cpd 10: 21.616,11742985,57.07,PC_Sample_14_USSB_33_2,21.698,1587688,31,57.07,21.616,21.576,0.122
11,Cpd 11: 24.834,967093,92.1,PC_Sample_14_USSB_33_2,24.927,153734,20,92.1,24.834,24.792,0.135
12,Cpd 12: 25.487,18060486,91.09,PC_Sample_14_USSB_33_2,25.602,3043583,26,91.09,25.487,25.438,0.164
13,Cpd 13: 25.863,420557,104.1,PC_Sample_14_USSB_33_2,25.938,99228,17,104.1,25.863,25.81,0.128
14,Cpd 14: 26.318,1056990,97.1,PC_Sample_14_USSB_33_2,26.404,37296,59,97.1,26.318,26.265,0.139
15,Cpd 15: 27.273,454540,57.87,PC_Sample_14_USSB_33_2,27.358,26377,38,57.87,27.273,27.203,0.155
16,Cpd 16: 28.454,878186,72.99,PC_Sample_14_USSB_33_2,28.653,21996,42,72.99,28.454,28.394,0.259
17,Cpd 17: 28.765,10010919,117.1,PC_Sample_14_USSB_33_2,28.98,630933,22,117.1,28.765,28.548,0.431
18,Cpd 18: 28.781,34375209,91.09,PC_Sample_14_USSB_33_2,29.17,1986978,17,91.09,28.781,28.531,0.639
19,Cpd 19: 28.801,2607566,194.1,PC_Sample_14_USSB_33_2,28.991,271966,18,194.1,28.801,28.777,0.214
20,Cpd 20: 29.445,1160803,97.1,PC_Sample_14_USSB_33_2,29.542,25485,56,97.1,29.445,29.361,0.181
