Cpd,Label,Area,Base Peak,File,End,Height,Ions,m/z,RT,Start,Width
1,Cpd 1: 1.150,77470,39.91,PDS_Sample_2_USE_03_2,1.255,28408,2,39.91,1.15,1.006,0.249
2,Cpd 2: 1.502,245640,40.98,PDS_Sample_2_USE_03_2,1.571,52248,8,40.98,1.502,1.47,0.101
3,Cpd 3: 1.650,156344,63.76,PDS_Sample_2_USE_03_2,1.81,25861,6,63.76,1.65,1.603,0.207
4,Cpd 4: 1.703,61082,49.77,PDS_Sample_2_USE_03_2,1.75,20643,5,49.77,1.703,1.66,0.089
5,Cpd 5: 1.792,378458,40.98,PDS_Sample_2_USE_03_2,1.856,73115,14,40.98,1.792,1.75,0.107
6,Cpd 6: 1.893,240073,44,PDS_Sample_2_USE_03_2,1.98,77047,5,44,1.893,1.86,0.12
7,Cpd 7: 2.038,78473,46.95,PDS_Sample_2_USE_03_2,2.143,13535,4,46.95,2.038,2.001,0.143
8,Cpd 8: 2.553,76435,41.96,PDS_Sample_2_USE_03_2,2.611,10301,5,41.96,2.553,2.493,0.118
9,Cpd 9: 2.617,590660,44.94,PDS_Sample_2_USE_03_2,2.731,171229,5,44.94,2.617,2.584,0.146
10,Cpd 10: 3.059,3161740,43.01,PDS_Sample_2_USE_03_2,3.185,856751,6,43.01,3.059,3.014,0.171
11,Cpd 11: 3.363,243402,40.98,PDS_Sample_2_USE_03_2,3.493,28419,8,40.98,3.363,3.317,0.177
12,Cpd 12: 4.494,1078140,56.03,PDS_Sample_2_USE_03_2,4.598,73998,19,56.03,4.494,4.406,0.192
13,Cpd 13: 4.686,485018,40.98,PDS_Sample_2_USE_03_2,4.802,43190,12,40.98,4.686,4.615,0.186
14,Cpd 14: 5.545,288456,54.98,PDS_Sample_2_USE_03_2,5.678,27941,9,54.98,5.545,5.463,0.215
15,Cpd 15: 5.933,80336,43.01,PDS_Sample_2_USE_03_2,6.038,7355,5,43.01,5.933,5.836,0.202
16,Cpd 16: 6.101,114952,131.84,PDS_Sample_2_USE_03_2,6.211,19593,6,131.84,6.101,6.005,0.205
17,Cpd 17: 8.332,236185,77.96,PDS_Sample_2_USE_03_2,8.492,25644,9,77.96,8.332,8.226,0.266
18,Cpd 18: 9.520,59297,56.03,PDS_Sample_2_USE_03_2,9.551,3879,6,56.03,9.52,9.481,0.07
19,Cpd 19: 10.394,128399,43.01,PDS_Sample_2_USE_03_2,10.525,7179,5,43.01,10.394,10.283,0.241
20,Cpd 20: 12.218,137349,44.94,PDS_Sample_2_USE_03_2,12.331,3147,2,44.94,12.218,12.173,0.158
21,Cpd 21: 13.062,702105,43.01,PDS_Sample_2_USE_03_2,13.141,80730,16,43.01,13.062,13.002,0.139
22,Cpd 22: 13.286,60921,80.94,PDS_Sample_2_USE_03_2,13.415,5300,11,80.94,13.286,13.236,0.179
