Cpd,Label,Area,Base Peak,File,End,Height,Ions,m/z,RT,Start,Width
1,Cpd 1: 1.375,148471,44,PDS_Sample_7_USSB_08_1,1.42,67458,1,44,1.375,1.334,0.086
2,Cpd 2: 1.503,164026,40.99,PDS_Sample_7_USSB_08_1,1.606,32743,7,40.99,1.503,1.473,0.133
3,Cpd 3: 1.647,204150,63.77,PDS_Sample_7_USSB_08_1,2.263,15498,5,63.77,1.647,1.565,0.699
4,Cpd 4: 1.792,288514,40.99,PDS_Sample_7_USSB_08_1,1.852,57815,12,40.99,1.792,1.749,0.103
5,Cpd 5: 1.894,291473,44,PDS_Sample_7_USSB_08_1,1.961,98457,5,44,1.894,1.863,0.097
6,Cpd 6: 2.626,1083127,43.1,PDS_Sample_7_USSB_08_1,2.72,155443,12,43.1,2.626,2.575,0.145
7,Cpd 7: 3.063,272232,43.1,PDS_Sample_7_USSB_08_1,3.182,76086,4,43.1,3.063,3.028,0.154
8,Cpd 8: 3.255,99050,43.1,PDS_Sample_7_USSB_08_1,3.337,17224,4,43.1,3.255,3.129,0.207
9,Cpd 9: 3.363,139363,43.1,PDS_Sample_7_USSB_08_1,3.458,17224,8,43.1,3.363,3.253,0.206
10,Cpd 10: 4.491,1012191,56.1,PDS_Sample_7_USSB_08_1,4.593,76906,14,56.1,4.491,4.41,0.183
11,Cpd 11: 6.103,84021,131.87,PDS_Sample_7_USSB_08_1,6.237,15625,5,131.87,6.103,6.007,0.23
12,Cpd 12: 8.348,105449,77.87,PDS_Sample_7_USSB_08_1,8.442,13103,5,77.87,8.348,8.235,0.207
13,Cpd 13: 10.265,430730,44.88,PDS_Sample_7_USSB_08_1,10.592,14425,4,44.88,10.265,10.213,0.379
14,Cpd 14: 11.349,104599,43.1,PDS_Sample_7_USSB_08_1,11.42,21857,5,43.1,11.349,11.271,0.148
15,Cpd 15: 11.828,3217945,69.1,PDS_Sample_7_USSB_08_1,11.966,271782,19,69.1,11.828,11.758,0.207
16,Cpd 16: 13.060,681545,43.1,PDS_Sample_7_USSB_08_1,13.136,70574,15,43.1,13.06,13.003,0.133
17,Cpd 17: 13.435,4015787,98.09,PDS_Sample_7_USSB_08_1,13.547,841136,11,98.09,13.435,13.384,0.164
18,Cpd 18: 14.436,82014,207.02,PDS_Sample_7_USSB_08_1,14.506,20540,6,207.02,14.436,14.383,0.124
19,Cpd 19: 15.006,2778267,70.1,PDS_Sample_7_USSB_08_1,15.096,280939,18,70.1,15.006,14.959,0.137
20,Cpd 20: 15.781,184700,96.05,PDS_Sample_7_USSB_08_1,15.863,33453,12,96.05,15.781,15.743,0.12
21,Cpd 21: 16.306,163520,98.09,PDS_Sample_7_USSB_08_1,16.373,23836,15,98.09,16.306,16.266,0.107
22,Cpd 22: 17.203,469343,43.1,PDS_Sample_7_USSB_08_1,17.902,25806,15,43.1,17.203,17.102,0.8
23,Cpd 23: 17.693,514363,55.1,PDS_Sample_7_USSB_08_1,17.729,62596,20,55.1,17.693,17.63,0.099
24,Cpd 24: 17.752,306102,71.1,PDS_Sample_7_USSB_08_1,17.805,46819,16,71.1,17.752,17.723,0.082
25,Cpd 25: 17.790,75377,104.99,PDS_Sample_7_USSB_08_1,17.835,13416,8,104.99,17.79,17.753,0.082
26,Cpd 26: 18.135,90441,85.98,PDS_Sample_7_USSB_08_1,18.218,11368,17,85.98,18.135,18.037,0.181
27,Cpd 27: 18.460,131063,57.1,PDS_Sample_7_USSB_08_1,18.555,27829,15,57.1,18.46,18.372,0.183
28,Cpd 28: 18.652,805960,69.1,PDS_Sample_7_USSB_08_1,18.738,64017,37,69.1,18.652,18.612,0.126
29,Cpd 29: 18.702,738839,69.1,PDS_Sample_7_USSB_08_1,18.755,63899,29,69.1,18.702,18.669,0.086
30,Cpd 30: 18.867,109641,71.1,PDS_Sample_7_USSB_08_1,18.989,9975,18,71.1,18.867,18.717,0.272
31,Cpd 31: 19.265,89014,58.94,PDS_Sample_7_USSB_08_1,19.321,9363,15,58.94,19.265,19.225,0.095
32,Cpd 32: 19.333,158927,57.1,PDS_Sample_7_USSB_08_1,19.41,15046,22,57.1,19.333,19.279,0.131
33,Cpd 33: 19.912,1830043,69.1,PDS_Sample_7_USSB_08_1,19.987,113622,34,69.1,19.912,19.875,0.112
34,Cpd 34: 20.447,140447,71.1,PDS_Sample_7_USSB_08_1,20.496,14342,28,71.1,20.447,20.389,0.107
35,Cpd 35: 20.569,117170,104.99,PDS_Sample_7_USSB_08_1,20.717,7743,20,104.99,20.569,20.487,0.231
36,Cpd 36: 20.816,77446,71.1,PDS_Sample_7_USSB_08_1,20.835,11606,13,71.1,20.816,20.763,0.072
37,Cpd 37: 20.921,100431,56.1,PDS_Sample_7_USSB_08_1,20.963,7336,18,56.1,20.921,20.915,0.048
38,Cpd 38: 21.041,121529,139.96,PDS_Sample_7_USSB_08_1,21.118,9360,25,139.96,21.041,21.001,0.116
39,Cpd 39: 21.121,1187935,69.1,PDS_Sample_7_USSB_08_1,21.167,105541,33,69.1,21.121,21.081,0.086
40,Cpd 40: 21.205,1056165,69.1,PDS_Sample_7_USSB_08_1,21.245,84234,35,69.1,21.205,21.154,0.092
41,Cpd 41: 21.291,1184546,69.1,PDS_Sample_7_USSB_08_1,21.377,94168,36,69.1,21.291,21.234,0.143
42,Cpd 42: 21.428,124655,71.1,PDS_Sample_7_USSB_08_1,21.438,11164,15,71.1,21.428,21.423,0.015
43,Cpd 43: 21.827,118183,149,PDS_Sample_7_USSB_08_1,21.865,37800,7,149,21.827,21.798,0.067
44,Cpd 44: 21.921,251418,149,PDS_Sample_7_USSB_08_1,21.928,45292,23,149,21.921,21.907,0.021
45,Cpd 45: 21.980,164947,149,PDS_Sample_7_USSB_08_1,21.993,48701,5,149,21.98,21.932,0.061
46,Cpd 46: 22.056,129367,149,PDS_Sample_7_USSB_08_1,22.088,57914,8,149,22.056,22.04,0.048
47,Cpd 47: 22.129,93606,149,PDS_Sample_7_USSB_08_1,22.136,60329,7,149,22.129,22.105,0.031
48,Cpd 48: 22.158,218551,149,PDS_Sample_7_USSB_08_1,22.176,67935,8,149,22.158,22.134,0.042
49,Cpd 49: 22.236,472581,149,PDS_Sample_7_USSB_08_1,22.262,92067,6,149,22.236,22.231,0.031
50,Cpd 50: 22.286,406912,149,PDS_Sample_7_USSB_08_1,22.3,99716,11,149,22.286,22.254,0.046
51,Cpd 51: 22.307,135596,293.2,PDS_Sample_7_USSB_08_1,22.323,20449,12,293.2,22.307,22.3,0.023
52,Cpd 52: 22.364,218940,85.1,PDS_Sample_7_USSB_08_1,22.395,22146,19,85.1,22.364,22.34,0.055
53,Cpd 53: 22.425,789772,149,PDS_Sample_7_USSB_08_1,22.43,119210,12,149,22.425,22.42,0.01
54,Cpd 54: 22.440,1038559,149,PDS_Sample_7_USSB_08_1,22.449,119210,23,149,22.44,22.43,0.019
55,Cpd 55: 22.519,192517,149,PDS_Sample_7_USSB_08_1,22.54,84726,6,149,22.519,22.479,0.061
56,Cpd 56: 22.552,314380,149,PDS_Sample_7_USSB_08_1,22.559,90407,15,149,22.552,22.54,0.019
57,Cpd 57: 22.651,239047,149,PDS_Sample_7_USSB_08_1,22.672,85536,6,149,22.651,22.626,0.046
