#Peaks: + TIC Scan (Balloons_Sample_10_USSB_12_1.D)
#
Peak,Center X,Area,Height,Type,Saturated,Width,FWHM,SNR
1,1.385,397660.18,96387.46,,,0.152,0.077,
2,1.516,347976.38,212024.66,,,0.072,0.025,
3,1.716,50293.41,18271.71,,,0.086,0.045,
4,1.824,383095.26,136887.08,,,0.103,0.045,
5,1.908,1104178.21,578376.29,,,0.135,0.029,
6,2.102,62134.26,35898.08,,,0.055,0.028,
7,2.563,69928.22,31924.99,,,0.084,0.035,
8,2.635,323907.17,135485.12,,,0.099,0.037,
9,2.924,66357.34,32420.67,,,0.07,0.032,
10,2.998,162053.94,79486.19,,,0.072,0.033,
11,3.07,494829.84,221449.26,,,0.112,0.034,
12,3.253,139867.97,61282.7,,,0.085,0.036,
13,3.369,249836.51,82923.87,,,0.167,0.041,
14,4.53,136872.28,43504.38,,,0.105,0.05,
15,4.705,120751.93,37431.02,,,0.109,0.051,
16,4.959,44756.88,13112.95,,,0.128,0.052,
17,5.576,144042.97,38381.99,,,0.122,0.061,
18,5.939,76555.98,21135.07,,,0.122,0.061,
19,6.108,138457.13,36910.1,,,0.142,0.058,
20,8.343,187780.89,38542.43,,,0.177,0.078,
21,9.159,52769,11851.79,,,0.143,0.082,
22,9.496,159077.48,25179.9,,,0.238,0.096,
23,9.966,129666.9,25525.98,,,0.187,0.075,
24,10.177,736612.03,68591.43,,,0.411,0.182,
25,10.869,60710.04,18001.07,,,0.112,0.047,
26,11.312,198427.25,48879.68,,,0.176,0.061,
27,11.63,257515.07,66637.49,,,0.212,0.052,
28,11.837,53912.92,21200.78,,,0.087,0.043,
29,12.111,43736.2,14209.79,,,0.12,0.047,
30,13.283,66806.13,26268.74,,,0.105,0.038,
31,13.429,4326840.29,1917047.06,,S,0.114,0.035,
32,13.538,880582.85,392501.76,,,0.13,0.034,
33,13.711,113917.53,60520.57,,,0.057,0.031,
34,13.761,90107.21,41328.97,,,0.049,0.047,
35,13.818,111958.47,56564.58,,,0.064,0.032,
36,13.97,258491.35,124589.91,,,0.139,0.031,
