#Peaks: + TIC Scan (Balloons_Sample_2_USE_08_2.D)
#
Peak,Center X,Area,Height,Type,Saturated,Width,FWHM,SNR
1,1.151,64337.03,27852.9,,,0.099,0.037,
2,1.372,256729.95,76894.62,,,0.135,0.062,
3,1.503,63051.09,42792.07,,,0.053,0.023,
4,1.708,55964.09,26448.14,,,0.071,0.034,
5,1.796,123558.11,70900.91,,,0.068,0.027,
6,1.895,174558.24,112248.38,,,0.074,0.024,
7,2.04,57834.93,27052.85,,,0.093,0.031,
8,2.628,287013.38,120233.01,,,0.107,0.037,
9,3.069,99794.54,44568.27,,,0.094,0.034,
10,3.32,350833.35,80818.71,,,0.181,0.075,
11,4.5,236896.15,64829.77,,,0.139,0.059,
12,5.936,100184.32,22487.11,,,0.16,0.07,
13,6.106,52511.45,15002.1,,,0.103,0.06,
14,8.335,130717.62,28596.49,,,0.182,0.073,
15,10.279,243223.78,28835.61,,,0.311,0.144,
16,10.875,52321.23,13663.32,,,0.13,0.061,
17,11.343,51715.54,11451.71,,,0.168,0.064,
18,12.271,55956.68,10333.18,,,0.108,0.085,
19,13.061,152304.32,63008.41,,,0.103,0.038,
20,13.435,4279912.2,1944903.1,,S,0.12,0.034,
21,13.54,58591.89,22374.27,,,0.082,0.042,
22,13.77,43106.13,20870.79,,,0.063,0.034,
23,14.434,464731.11,209615.85,,,0.101,0.034,
24,14.722,62116.26,31684.01,,,0.061,0.037,
25,14.758,53591.16,29967.18,,,0.048,0.039,
26,15.005,696583.36,360290.01,,,0.097,0.03,
27,15.54,64346.31,18032.5,,,0.109,0.061,
28,15.783,113873.8,62986.08,,,0.063,0.028,
29,15.829,62889.4,20878.97,,,0.081,0.065,
30,15.933,45498.18,26414.98,,,0.07,0.026,
31,16.03,59090.42,18380.57,,,0.095,0.057,
32,16.304,54899.35,37799.09,,,0.044,0.026,
33,16.341,49077.23,27923.16,,,0.056,0.034,
34,17.231,106852.85,41276.89,,,0.112,0.043,
35,17.482,51070.76,33139.12,,,0.071,0.023,
36,17.555,49248.97,33966.33,,,0.059,0.023,
37,17.652,43042.7,25755.5,,,0.046,0.033,
38,17.692,158309.37,99821.43,,,0.055,0.025,
39,17.751,85145.57,53183.33,,,0.053,0.025,
40,18.082,46905.02,33416.71,,,0.044,0.021,
41,18.187,151674.96,98525.21,,,0.064,0.024,
42,18.459,157474.14,107307.64,,,0.075,0.023,
43,18.651,274217.98,113020.87,,,0.093,0.034,
44,18.702,180534.76,102718.97,,,0.07,0.025,
45,18.771,50883.26,30893.6,,,0.059,0.026,
46,19.331,149160.13,101534.31,,,0.068,0.023,
47,19.586,44370.78,12236.08,,,0.106,0.066,
48,19.822,57981.39,14962.12,,,0.112,0.067,
49,19.909,48685.38,36506.54,,,0.045,0.022,
50,20.284,90551.69,44704.8,,,0.091,0.023,
51,20.452,87374.4,49935.43,,,0.055,0.026,
52,20.521,56308.51,22537.66,,,0.069,0.051,
53,20.949,89263.42,56458.35,,,0.063,0.024,
54,21.006,86785.06,41798.03,,,0.074,0.034,
55,21.119,275263.1,169498.74,,,0.067,0.025,
56,21.204,221584.74,139127.75,,,0.062,0.025,
57,21.29,255370.67,154698.37,,,0.086,0.024,
58,21.745,66058.09,42686.19,,,0.069,0.023,
59,21.915,170096.78,106730.77,,,0.059,0.025,
60,21.951,78132.41,43847.98,,,0.061,0.03,
61,22.244,96415.95,64562.9,,,0.061,0.023,
62,22.374,75608.61,30998.81,,,0.078,0.042,
63,22.422,248760.38,68226.66,,,0.088,0.088,
64,22.538,249221.1,52418.41,,,0.122,0.104,
65,22.818,67967.88,54952.33,,,0.032,0.023,
66,22.847,112842.75,68205.01,,,0.032,0.04,
67,22.869,74883.38,59088.04,,,0.036,0.028,
68,22.955,127280.72,76533.44,,,0.059,0.027,
69,22.995,111645.54,65619.47,,,0.055,0.028,
70,23.144,2271445.95,1358849.19,,S,0.082,0.025,
71,23.213,156434.52,85883,,,0.057,0.031,
72,23.283,53038.35,27587,,,0.061,0.031,
73,23.359,58349.54,42379.98,,,0.047,0.022,
74,23.447,109851.78,43293.39,,,0.101,0.03,
75,23.565,3318104.97,2227212.78,,,0.083,0.023,
76,23.67,134313.4,99004.77,,,0.037,0.027,
77,23.695,97418.58,79518.78,,,0.03,0.026,
78,23.863,2388881.7,493405.72,,,0.249,0.074,
79,24.119,103044.74,36484.46,,,0.092,0.036,
80,24.521,167965.23,63734.47,,,0.08,0.045,
81,24.658,340801.94,176786.5,,,0.076,0.03,
