#Peaks: + TIC Scan (Blank_27.D)
#
Peak,Center X,Area,Height,Type,Saturated,Width,FWHM,SNR
1,1.376,120731.4,63297.1,,,0.078,0.028,
2,1.896,288507.47,182378.14,,,0.082,0.024,
3,2.87,160061.75,60323.68,,,0.141,0.036,
4,3.072,116123.62,52173.68,,,0.094,0.035,
5,4.685,71728.16,22457.87,,,0.105,0.051,
6,5.555,76765.86,24149.42,,,0.108,0.051,
7,6.091,143475.45,35583.87,,,0.14,0.062,
8,10.284,257777.09,31316.6,,,0.309,0.137,
9,13.427,4279867.42,1907155.01,,,0.131,0.035,
10,18.186,88943.41,55967.58,,,0.07,0.024,
11,19.206,68726.21,20865.42,,,0.097,0.051,
12,20.277,90989.7,44271.33,,,0.057,0.045,
13,20.301,77899.08,33564.16,,,0.042,0.048,
14,20.345,71470.78,39935.8,,,0.036,0.038,
15,20.414,694625.01,291947.28,,,0.107,0.033,
16,20.585,101983.03,48932.42,,,0.066,0.066,
17,20.942,636475.41,383277.68,,,0.098,0.025,
18,21.048,89190.97,44565.83,,,0.085,0.031,
19,23.507,74430.93,19406.51,,,0.095,0.039,
20,23.784,407807.68,137061.07,,,0.113,0.044,
21,23.803,384715.44,151717.3,,,0.088,0.045,
22,24.62,169416.6,41422.68,,,0.109,0.086,
23,24.885,60651.17,20337.84,,,0.091,0.065,
24,25.012,264579.07,40014.72,,,0.149,0.148,
25,25.086,119335.26,38202.32,,,0.089,0.079,
26,25.636,75632.09,19811.18,,,0.086,0.094,
27,26.283,65819.25,20279.43,,,0.09,0.073,
28,26.373,107801.16,25240.89,,,0.088,0.089,
29,26.442,115274.5,25593.82,,,0.086,0.088,
30,26.969,246204.57,41933.3,,,0.172,0.097,
31,27.267,208339.9,57011.49,,,0.109,0.06,
32,27.297,124443.21,57644.11,,,0.038,0.069,
33,27.347,316529.57,65227.33,,,0.149,0.114,
34,28.882,61250.81,12231.36,,,0.136,0.129,
35,29.012,98096.38,27898.63,,,0.108,0.05,
36,29.438,133631.8,40987.5,,,0.094,0.054,
37,29.638,5958708.97,751169.48,,,0.336,0.127,
