#Peaks: + TIC Scan (Cigs_Sample_1_USE_05_1.D)
#
Peak,Center X,Area,Height,Type,Saturated,Width,FWHM,SNR
1,1.151,81137.8,26736.1,,,0.124,0.092,
2,1.381,211198.96,51236.71,,,0.148,0.07,
3,1.515,182390.96,107452.31,,,0.102,0.025,
4,1.808,617284.49,229846.3,,,0.106,0.044,
5,1.903,236835.28,155920.25,,,0.074,0.023,
6,2.559,144340.56,66664.4,,,0.082,0.033,
7,2.628,605614.42,260493.61,,,0.112,0.036,
8,2.881,57927.1,21105.09,,,0.081,0.051,
9,2.999,42088.5,19975.06,,,0.063,0.034,
10,3.079,136098.21,63182.56,,,0.079,0.033,
11,3.368,126911.57,35136.76,,,0.156,0.058,
12,4.529,150200.02,47428.96,,,0.122,0.051,
13,4.702,119905.8,38801.67,,,0.104,0.051,
14,4.858,270582.06,78258.18,,,0.127,0.055,
15,5.57,133773.3,36486.33,,,0.115,0.06,
16,5.674,80957.06,22347.97,,,0.105,0.059,
17,5.939,142291.09,39799.09,,,0.135,0.058,
18,8.347,149140.57,30552.26,,,0.179,0.077,
19,8.975,73405.89,13553.73,,,0.21,0.105,
20,9.536,178672.3,27699.23,,,0.23,0.102,
21,9.966,320904.64,56815.09,,,0.214,0.087,
22,10.221,508346.14,53054.09,,,0.335,0.168,
23,10.874,86759.63,22688.99,,,0.121,0.061,
24,11.34,41965.43,11470.95,,,0.131,0.063,
25,11.636,72409.93,24245.39,,,0.098,0.049,
26,13.252,98267.84,31624.96,,,0.138,0.044,
27,13.437,4151408.15,1845329.63,,S,0.126,0.034,
28,13.545,41794.26,17110.76,,,0.074,0.046,
29,13.773,526003.7,244658.66,,,0.078,0.033,
30,13.824,126851.89,67712.86,,,0.057,0.038,
31,13.975,265248.68,128042.68,,,0.126,0.031,
32,14.372,57286.33,35479.5,,,0.051,0.033,
33,14.435,569811.26,244248.08,,,0.093,0.035,
34,14.566,95465.93,58888.49,,,0.056,0.026,
35,14.72,135296.46,68813.69,,,0.057,0.037,
36,14.758,107208.82,57689.17,,,0.057,0.036,
37,15.002,48751.41,24857.2,,,0.05,0.041,
