#Peaks: + TIC Scan (Cmat_Sample_1_USE_10_1.D)
#
Peak,Center X,Area,Height,Type,Saturated,Width,FWHM,SNR
1,1.723,2005358.69,992115.75,,S,0.102,0.032,
2,1.916,953804.27,510118.14,,,0.099,0.029,
3,3.004,4231421.15,1892068.06,,,0.086,0.035,
4,3.076,2367297.46,1049473.33,,,0.09,0.035,
5,3.465,2252546.85,905184.02,,,0.117,0.039,
6,11.673,4955621.27,1501355.57,,,0.223,0.051,
7,13.431,4479169.82,1954510.5,,S,0.129,0.034,
8,14.641,2126208.07,1186576.17,,,0.087,0.027,
9,15.265,1346945.56,381743.1,,,0.092,0.06,
10,16.346,25967588.91,15235852.44,,,0.097,0.027,
11,18.015,2050096.16,1257998.07,,,0.112,0.023,
12,18.24,7356935.24,4137163.91,,,0.126,0.026,
13,20.579,4475944.38,2612037.67,,,0.085,0.024,
14,22.442,64295870.82,27352410.2,,,0.14,0.038,
15,22.542,1096059.07,361542.36,,,0.09,0.05,
16,23.167,2573237.92,1501947.8,,,0.078,0.026,
17,23.251,819685.16,573597.19,,,0.057,0.023,
18,24.836,2779104.03,1441394.65,,S,0.105,0.029,
19,25.485,1241800.11,639187.93,,,0.076,0.031,
20,25.578,4535238.74,2144566.26,,,0.094,0.032,
21,25.67,1375849.33,562114.6,,,0.088,0.037,
22,25.821,7064996.54,1740913.14,,,0.15,0.065,
23,26.624,4144401.74,1564818.6,,,0.145,0.039,
24,28.559,81233372.56,20913051.43,,,0.269,0.061,
