#Peaks: + TIC Scan (FPW_Sample_1_USE_01_1.D)
#
Peak,Center X,Area,Height,Type,Saturated,Width,FWHM,SNR
1,11.83,549730.57,198611.28,,,0.12,0.044,
2,13.436,4192714.76,1900800.18,,,0.108,0.034,
3,13.542,3471331.29,1623808.47,,,0.148,0.033,
4,15.408,510581.65,275990.57,,,0.116,0.026,
5,16.343,44353294.77,23833518.37,,S,0.137,0.029,
6,16.628,470650.77,241612.64,,,0.086,0.03,
7,17.109,9491258.34,5190558.11,,S,0.115,0.028,
8,17.789,733102.05,423871.71,,,0.089,0.025,
9,18.458,1145648.5,740739.28,,,0.076,0.024,
10,18.907,692913.46,358960.52,,,0.109,0.027,
11,19.193,487265.7,314584.62,,,0.061,0.024,
12,20.417,444832.23,287634.71,,,0.061,0.024,
13,20.57,902351.93,499445.56,,,0.114,0.025,
14,20.943,950034.74,573778.75,,,0.103,0.024,
15,24.835,1209111.39,640161.21,,,0.109,0.028,
16,25.488,16588417.56,8002700.01,,,0.12,0.032,
17,25.677,672788.64,327819.93,,,0.084,0.031,
18,26.476,563262.42,236494.16,,,0.1,0.037,
19,28.227,980286.73,139619.86,,,0.267,0.12,
