#Peaks: + TIC Scan (FshI_Sample_1_USE_15_1.D)
#
Peak,Center X,Area,Height,Type,Saturated,Width,FWHM,SNR
1,1.381,283329.51,68253.04,,,0.141,0.071,
2,1.516,379635.42,209113.11,,,0.112,0.026,
3,1.647,174994.19,81388.07,,,0.07,0.034,
4,1.714,361743.94,172393.83,,,0.086,0.032,
5,1.804,204995.12,113859.8,,,0.08,0.027,
6,1.904,375345.36,231415.53,,,0.085,0.024,
7,2.049,146504.02,79132.75,,,0.095,0.027,
8,2.637,1725040.42,712450.11,,,0.111,0.038,
9,3.075,259406.6,123583.39,,,0.083,0.033,
10,3.208,75312.94,35229.07,,,0.053,0.049,
11,3.252,73872.86,29588.93,,,0.071,0.05,
12,3.371,174861.48,50970.46,,,0.135,0.056,
13,3.857,106506.45,30855.25,,,0.135,0.055,
14,4.502,2098407.77,614080.82,,,0.155,0.053,
15,5.668,69997.12,15509.25,,,0.221,0.062,
16,6.107,187492.88,38362.62,,,0.203,0.071,
17,6.798,114384.19,21406.71,,,0.193,0.088,
18,8.342,142950.42,31181.3,,,0.184,0.075,
19,10.212,534834.03,53239.73,,,0.382,0.168,
20,10.619,85834.14,21679.5,,,0.137,0.057,
21,11.344,342631.54,95712.22,,,0.175,0.055,
22,12.21,64840.21,25567.46,,,0.084,0.041,
23,12.807,61613.65,20647.58,,,0.12,0.042,
24,13.064,1150242.28,454150.69,,,0.125,0.039,
25,13.437,4207693.61,1909403.45,,,0.114,0.034,
26,13.542,76593.45,28350.49,,,0.08,0.044,
27,14.434,189260.39,88690.78,,,0.079,0.033,
28,14.719,93686.39,41656.4,,,0.074,0.043,
29,14.824,61571.16,31231,,,0.065,0.032,
30,15.006,6091862.66,3240860.59,,,0.139,0.029,
31,15.351,203812.72,71455.04,,,0.127,0.04,
32,15.518,304674.31,84055.63,,,0.169,0.045,
33,15.783,274047.82,121937.03,,,0.142,0.028,
34,15.996,149641.41,80317.94,,,0.078,0.029,
35,16.127,70390.77,35837.91,,,0.087,0.026,
36,16.304,77413.98,48395,,,0.046,0.032,
37,16.34,100679.56,61311.2,,,0.048,0.029,
38,17.202,546122.96,342501.98,,,0.077,0.024,
39,17.334,79918.67,29070.83,,,0.124,0.029,
40,17.482,85452.38,54184.86,,,0.061,0.025,
41,17.694,661344.09,405809.89,,,0.061,0.025,
42,17.751,554725.46,350317.5,,,0.057,0.025,
43,17.92,63836.68,41978.62,,,0.056,0.024,
44,18.109,144221.94,57541.05,,,0.092,0.046,
45,18.352,88350.86,45015.68,,,0.078,0.032,
46,18.459,161926.87,100204.07,,,0.103,0.024,
47,18.651,1725141.45,1019967.57,,,0.069,0.025,
48,18.702,1715454.99,1032594.64,,S,0.08,0.025,
49,18.904,74540.58,20841.4,,,0.133,0.047,
50,19.226,134257.04,54887.93,,,0.107,0.028,
51,19.331,116815.24,76927.63,,,0.052,0.024,
52,20.142,174561.82,107838.11,,,0.076,0.024,
53,20.195,141386.9,98024.5,,,0.051,0.023,
54,20.355,96979.26,57643.32,,,0.07,0.025,
55,20.447,227783.44,138525.6,,,0.074,0.025,
56,20.525,92930.73,62761.53,,,0.051,0.023,
57,20.94,120091.65,50143.52,,,0.076,0.049,
58,20.976,102204.86,39427.63,,,0.099,0.041,
59,21.121,2521803.34,1576043.25,,,0.082,0.025,
60,21.205,2329611.69,1454101.15,,,0.082,0.025,
61,21.291,2552510.39,1640030.79,,,0.082,0.024,
62,21.561,72063.48,49807.16,,,0.048,0.023,
63,21.774,67311.14,31970.99,,,0.072,0.029,
64,22.379,214690.5,140165,,,0.043,0.025,
65,22.46,750261.25,232769.47,,,0.09,0.069,
66,22.544,1040185.23,307666.57,,,0.103,0.068,
67,22.699,76968.64,56984.04,,,0.036,0.022,
68,22.994,175034.67,70329,,,0.097,0.03,
69,23.134,778437.05,463517.36,,,0.076,0.026,
70,23.21,908954.29,555982.98,,,0.069,0.025,
71,23.278,630516.52,283385,,,0.072,0.036,
72,23.362,988147.08,564743.48,,,0.088,0.026,
73,23.448,542109.95,339574.25,,,0.069,0.025,
74,23.567,541748.08,373014.26,,,0.054,0.023,
75,23.668,115359.51,80559.75,,,0.042,0.032,
76,23.692,68058.53,55591.13,,,0.036,0.024,
77,23.788,101591.82,60657.63,,,0.059,0.026,
78,23.864,83529.1,52656.96,,,0.05,0.025,
79,24.116,129310.91,60639.8,,,0.073,0.034,
80,24.183,98561.11,67711.3,,,0.05,0.023,
81,24.339,88969.2,49580.56,,,0.055,0.03,
82,24.414,88612.73,56562.44,,,0.056,0.026,
83,24.505,314825.64,141032.76,,,0.072,0.037,
84,24.608,156972.41,63518.51,,,0.072,0.044,
85,24.66,167501.17,89045.7,,,0.05,0.032,
86,24.711,197940.29,89160.43,,,0.061,0.036,
87,24.784,115778.16,34896.55,,,0.082,0.076,
88,24.973,1116852.99,606348.18,,,0.077,0.029,
89,25.053,503396.3,294538.72,,,0.057,0.028,
90,25.129,546209.03,233206.69,,,0.068,0.041,
91,25.234,2378856.69,1038445.46,,,0.095,0.035,
92,25.32,687924.52,343288.05,,,0.079,0.032,
93,25.446,651385.57,267912.39,,,0.1,0.037,
94,25.559,1050663.96,485072.65,,,0.12,0.033,
95,25.769,128763.63,40246.66,,,0.092,0.055,
96,26.32,99222.4,46644.46,,,0.088,0.035,
97,26.519,101164.59,31522.9,,,0.098,0.057,
98,26.606,96466.95,28773.12,,,0.085,0.064,
99,26.984,362684.37,103444.7,,,0.144,0.053,
100,27.272,86346.13,37553.8,,,0.079,0.034,
101,27.469,227275.94,102365.94,,,0.067,0.037,
102,27.566,248707.32,86372.41,,,0.09,0.048,
103,27.689,338657.01,118552.38,,,0.089,0.046,
104,27.841,591969.41,172736.5,,,0.135,0.052,
105,27.977,647721.78,161068.66,,,0.14,0.065,
106,28.19,189426.65,64628.11,,,0.074,0.068,
107,28.269,499442.41,84389.55,,,0.147,0.127,
108,28.46,727290.78,200538.81,,,0.102,0.066,
109,28.559,760305.53,130763.96,,,0.176,0.098,
110,28.759,399730.66,76886.92,,,0.174,0.083,
111,29.359,82925.69,20211.09,,,0.115,0.106,
112,29.45,267459.38,63033.31,,,0.136,0.062,
113,29.542,91739.14,19035.14,,,0.114,0.116,
114,29.784,447599.52,71755.71,,,0.231,0.08,
