#Peaks: + TIC Scan (MPW_Sample_4_USE_20_1.D)
#
Peak,Center X,Area,Height,Type,Saturated,Width,FWHM,SNR
1,1.167,47406.78,21340.15,,,0.07,0.046,
2,1.389,224947.59,64642.79,,,0.142,0.06,
3,1.522,63062.49,42632.78,,,0.057,0.023,
4,1.811,277853.55,127524.62,,,0.099,0.032,
5,1.912,203762.77,130093.33,,,0.084,0.024,
6,2.635,402679,179975.54,,,0.136,0.034,
7,3.082,299840.06,133507.16,,,0.092,0.035,
8,3.263,58539.51,16263.77,,,0.127,0.048,
9,3.377,105613.57,30397.67,,,0.146,0.054,
10,4.536,78053.05,24353.17,,,0.127,0.05,
11,4.716,85512.98,26809.39,,,0.11,0.053,
12,5.584,94707.61,26164.5,,,0.1,0.058,
13,5.675,46792.2,15764.6,,,0.094,0.049,
14,5.947,101056.84,28160.15,,,0.135,0.056,
15,6.116,201078.86,44239.87,,,0.181,0.066,
16,8.344,186952.79,38895.84,,,0.196,0.076,
17,9.523,72756.03,14148.78,,,0.171,0.078,
18,9.983,53899,10397.43,,,0.148,0.093,
19,10.223,414470.98,42382.11,,,0.368,0.165,
20,10.632,44423.84,11840.23,,,0.152,0.06,
21,11.342,65421.14,20119.32,,,0.12,0.053,
22,11.634,111370.08,33543.84,,,0.165,0.051,
23,13.274,44946.78,12188.21,,,0.126,0.062,
24,13.438,4269709.13,1903919.46,,,0.12,0.035,
25,13.546,82486.62,32338.72,,,0.091,0.04,
26,13.974,100139.94,48476.15,,,0.113,0.031,
27,14.376,57032.07,28990.33,,,0.053,0.043,
28,14.433,96461.13,39139.13,,,0.074,0.039,
29,14.57,49393.61,25642.09,,,0.066,0.029,
30,14.722,170353.84,69840.08,,,0.108,0.03,
31,15.068,61256.35,16883.28,,,0.084,0.066,
32,15.783,207988.46,119869.57,,,0.064,0.027,
33,15.842,80271.26,32851.38,,,0.086,0.043,
34,15.935,64357.44,40439,,,0.062,0.024,
35,16.031,100699.28,46759.19,,,0.09,0.03,
36,16.305,131167.71,96836.54,,,0.043,0.025,
37,16.341,576458.7,347421.96,,,0.069,0.025,
38,16.474,63046.8,40470.84,,,0.053,0.024,
39,16.613,86667.75,54249.42,,,0.065,0.025,
40,16.881,45241.27,15587,,,0.066,0.055,
41,17.233,73889.66,37766.84,,,0.078,0.03,
42,17.336,62154.12,31419.7,,,0.075,0.029,
43,17.483,59256.58,40257.99,,,0.057,0.023,
44,17.557,50842.7,38339.27,,,0.046,0.022,
45,17.69,189742.4,115383.82,,,0.057,0.025,
46,17.789,48477.76,35904.14,,,0.053,0.021,
47,18.08,77666.31,54149.15,,,0.048,0.022,
48,18.149,340158.6,155084.17,,,0.13,0.028,
49,18.402,117747.58,70586.31,,,0.053,0.025,
50,18.457,229144.93,147738.76,,,0.067,0.024,
51,18.632,126703.35,55613.93,,,0.093,0.031,
52,18.828,71187.66,53303.29,,,0.046,0.022,
53,18.922,50223.84,21949.45,,,0.071,0.04,
54,19.106,57761.35,34212.19,,,0.053,0.028,
55,19.194,47181.67,29417,,,0.053,0.025,
56,19.234,43356.71,29747,,,0.048,0.023,
57,19.331,215948.45,145209.17,,,0.069,0.023,
58,19.59,67410.7,31918.5,,,0.048,0.043,
59,19.639,435771.2,157349.08,,,0.091,0.048,
60,19.83,61749.28,20896.67,,,0.101,0.042,
61,19.91,74278.62,49761.79,,,0.06,0.023,
62,19.959,108064.03,82241.4,,,0.049,0.021,
63,20.079,44426.19,23036.19,,,0.063,0.033,
64,20.283,47987.35,29756,,,0.046,0.025,
65,20.403,50803.29,23894,,,0.059,0.036,
66,20.452,96288.92,68618.21,,,0.062,0.022,
67,20.949,52313.1,39888.59,,,0.046,0.021,
68,20.991,128408.57,70175.63,,,0.095,0.022,
69,21.104,119324.76,67115.81,,,0.062,0.028,
70,21.264,43548.02,31867.18,,,0.057,0.021,
71,21.481,75135.4,50987.05,,,0.061,0.023,
72,21.746,66651.03,38042.65,,,0.069,0.027,
73,21.822,48751.99,34933.43,,,0.043,0.023,
74,21.913,182897.46,88605.84,,,0.088,0.028,
75,21.949,192747.72,123445.13,,,0.057,0.023,
76,22.437,177097.71,85323,,,0.097,0.032,
77,22.475,48329.67,10401.28,,,0.108,0.067,
78,22.816,115609.59,82942,,,0.036,0.026,
79,22.847,261566.93,138656.74,,,0.08,0.027,
80,22.99,531388.1,336167.62,,,0.082,0.023,
81,23.333,92243.99,59126.92,,,0.058,0.025,
82,23.607,143641.67,89907.3,,,0.038,0.029,
83,23.661,459675.8,168618.32,,,0.059,0.058,
84,23.691,321516.22,206366.61,,,0.04,0.031,
85,23.735,205742.75,145015.75,,,0.064,0.022,
86,23.871,178696.87,48591.59,,,0.142,0.057,
87,23.972,80314.77,33297.56,,,0.074,0.037,
88,24.117,118751.38,79448.5,,,0.056,0.024,
89,24.18,96781.42,68527.71,,,0.056,0.022,
90,24.519,325722.59,133561.35,,,0.084,0.039,
91,24.616,50554.47,18548.93,,,0.05,0.037,
92,24.706,1533710.74,819943.95,,,0.119,0.027,
93,24.862,119048.48,41946.15,,,0.09,0.063,
94,24.941,44048.42,30964.6,,,0.038,0.035,
95,25.097,122044.62,77240.33,,,0.049,0.027,
96,25.339,611053.19,255131.2,,,0.066,0.048,
97,25.4,1270764.46,325014.16,,,0.082,0.08,
98,25.458,437572.39,204400.33,,,0.046,0.043,
99,25.511,616798.79,300902.61,,,0.069,0.033,
100,25.705,176033.13,73231.86,,,0.11,0.033,
101,25.992,61098.1,23055.05,,,0.09,0.047,
102,26.184,118221.88,43721.98,,,0.093,0.045,
103,26.579,250134.6,77073.22,,,0.116,0.05,
104,26.899,54791.77,20763.04,,,0.09,0.045,
105,27.269,89588.43,29997.59,,,0.101,0.046,
106,27.508,131788.34,56334.49,,,0.072,0.038,
107,27.775,446453.19,176584.64,,,0.067,0.042,
108,27.798,428340.62,162584.13,,,0.05,0.055,
109,27.895,1574446.75,300610.79,,,0.118,0.106,
110,27.989,346228.09,116898,,,0.069,0.062,
111,28.074,682615.44,235471,,,0.099,0.046,
112,28.284,120481.49,25251.14,,,0.131,0.078,
113,28.395,190069.73,60012.51,,,0.133,0.046,
114,29.188,72981.36,20607.3,,,0.104,0.062,
115,29.762,412404.66,93590.21,,,0.173,0.068,
