#Peaks: + TIC Scan (PBBC_Sample_4_USE_17_1.D)
#
Peak,Center X,Area,Height,Type,Saturated,Width,FWHM,SNR
1,1.157,61315.02,26805.59,,,0.091,0.047,
2,1.381,211436.24,63994.41,,,0.136,0.061,
3,1.804,67981,33568.46,,,0.092,0.03,
4,1.903,145287.13,95070.45,,,0.071,0.023,
5,2.629,197120.87,92888.24,,,0.105,0.032,
6,3.076,199075.94,86002.78,,,0.11,0.035,
7,3.373,93347.43,31258.52,,,0.139,0.041,
8,4.524,65156.08,21388.52,,,0.1,0.049,
9,6.106,187799,36253.5,,,0.23,0.075,
10,8.353,120729.8,28353.09,,,0.15,0.069,
11,9.509,61611.01,11662.41,,,0.179,0.091,
12,10.274,148950.8,24420.62,,,0.203,0.123,
13,10.623,60473.15,16053.17,,,0.123,0.062,
14,13.437,4226029.45,1916842.7,,,0.124,0.034,
15,13.539,62966.08,22742.87,,,0.105,0.047,
16,13.771,139791.24,66503.04,,,0.068,0.032,
17,13.823,57600.92,29826.28,,,0.057,0.04,
18,14.435,92653.52,40906.82,,,0.079,0.034,
19,14.72,58510.14,31741.82,,,0.061,0.033,
20,15.78,136988.03,77166.87,,,0.065,0.027,
21,15.936,59723.29,40799.21,,,0.052,0.023,
22,16.305,70942.61,51150.55,,,0.038,0.026,
23,16.341,168725.45,95779.72,,,0.068,0.028,
24,17.483,66691,44436.1,,,0.067,0.023,
25,17.69,149784.85,86328.52,,,0.074,0.026,
26,17.791,65025.73,36291.7,,,0.085,0.024,
27,18.457,505228.25,336595.77,,,0.086,0.023,
28,18.632,66884.14,43694.62,,,0.05,0.026,
29,18.769,64354.12,41104,,,0.062,0.022,
30,19.332,132133.32,88124.62,,,0.076,0.023,
31,19.911,67926.7,49174.98,,,0.055,0.022,
32,19.959,69515.43,53937.73,,,0.044,0.021,
33,20.52,70429.64,28566.9,,,0.069,0.044,
34,20.947,74577.88,43421.26,,,0.067,0.025,
35,21.103,70354.37,42325.43,,,0.065,0.026,
36,21.744,64449.64,38815.71,,,0.061,0.026,
37,21.912,129696.53,88915.39,,,0.05,0.026,
38,21.948,425003.77,287222.09,,,0.065,0.023,
39,22.35,218869.68,71974.52,,,0.1,0.053,
40,22.413,499108.8,118295.51,,,0.149,0.058,
41,22.848,593618.2,299168.06,,,0.116,0.025,
42,22.992,373377.44,239354.58,,,0.08,0.023,
43,23.564,5725038.82,3786872.1,,,0.097,0.023,
44,23.692,1016819.64,607664.57,,,0.08,0.023,
45,24.119,99990.12,64560.49,,,0.067,0.024,
46,24.182,91787.02,54349.29,,,0.083,0.025,
47,24.52,564058.05,298824.38,,,0.082,0.028,
48,24.706,112827.19,65271.5,,,0.063,0.027,
49,25.098,167839.12,100823.36,,,0.068,0.026,
50,25.46,1233870.96,604228.9,,,0.105,0.031,
51,26.183,99778.55,40266.68,,,0.081,0.042,
52,26.315,249073.59,73600.42,,,0.141,0.042,
53,26.591,287180.61,122454.25,,,0.087,0.037,
54,26.889,409739.11,161175.65,,,0.125,0.039,
55,27.28,62631.16,20062.87,,,0.103,0.046,
56,27.511,184333.89,70247.01,,,0.093,0.042,
57,27.692,146101.13,56272.79,,,0.091,0.045,
58,27.993,1403318.84,450879.75,,,0.136,0.048,
59,28.281,675574.99,85816.16,,,0.282,0.118,
60,28.539,117272.21,40035.98,,,0.084,0.048,
61,29.443,163440.56,45041.94,,,0.129,0.056,
62,29.779,393539.95,100691.75,,,0.146,0.062,
