#Peaks: + TIC Scan (PC_Sample_3_USE_04_3.D)
#
Peak,Center X,Area,Height,Type,Saturated,Width,FWHM,SNR
1,1.388,252328.96,60578.99,,,0.137,0.074,
2,1.519,335298.19,198960.9,,,0.099,0.024,
3,1.81,268821.12,147393.3,,,0.072,0.028,
4,1.911,307145.23,187078.44,,,0.09,0.024,
5,2.575,65377.04,28672.55,,,0.07,0.039,
6,2.642,2323759.02,933863.4,,,0.135,0.039,
7,2.931,151526.89,71125.2,,,0.089,0.032,
8,3.085,163537.95,72297.09,,,0.102,0.036,
9,3.38,124554.06,38175.12,,,0.144,0.049,
10,3.866,75315.85,22463.3,,,0.123,0.051,
11,4.509,1587060.59,446469.19,,,0.165,0.055,
12,5.582,114517.07,31062.06,,,0.114,0.062,
13,5.686,56765.83,15494.93,,,0.139,0.067,
14,5.956,92563.26,22803.37,,,0.164,0.064,
15,6.812,55597.47,9599.32,,,0.173,0.104,
16,8.35,211404.59,44601.55,,,0.175,0.076,
17,9.126,56073.21,13065.04,,,0.126,0.089,
18,9.518,95481.17,18153.16,,,0.182,0.089,
19,10.341,264594.8,27369.47,,,0.343,0.168,
20,11.356,67172.67,18635.48,,,0.127,0.056,
21,12.214,54755.41,11897.75,,,0.173,0.056,
22,12.807,54643.75,15795.55,,,0.126,0.06,
23,13.066,1026383.97,426433.92,,,0.117,0.037,
24,13.439,3848423.64,1740191.94,,,0.122,0.034,
25,13.716,62886.24,25423.99,,,0.108,0.03,
26,13.825,83572.31,42682.88,,,0.072,0.03,
27,14.437,313544.28,146515.19,,,0.076,0.035,
28,14.724,80749.92,45086.01,,,0.057,0.037,
29,14.762,64719.01,37171.32,,,0.049,0.035,
30,15.008,4271132.37,2251673.18,,,0.139,0.029,
31,15.356,52896.99,19473.85,,,0.081,0.052,
32,15.785,100598.94,55228.71,,,0.06,0.029,
33,15.844,96900.68,47429.62,,,0.068,0.032,
34,15.938,92336.59,57972.5,,,0.057,0.026,
35,15.995,74204.37,39556.76,,,0.053,0.035,
36,16.312,148017.76,48064.92,,,0.109,0.055,
37,16.615,54536.55,34516.56,,,0.068,0.024,
38,17.016,93848.55,58894.77,,,0.074,0.024,
39,17.207,74142.43,51965.67,,,0.044,0.031,
40,17.228,108598.1,55364.83,,,0.052,0.035,
41,17.484,120411.9,74899.38,,,0.068,0.025,
42,17.562,80288.39,37810.08,,,0.079,0.033,
43,17.656,66801.75,49817.48,,,0.042,0.027,
44,17.694,535093.45,328398.8,,,0.057,0.025,
45,17.753,444636.05,286162.86,,,0.053,0.024,
46,17.793,71128.61,48923.18,,,0.039,0.028,
47,18.084,109388.76,71236.07,,,0.078,0.023,
48,18.194,57983.57,37808.05,,,0.052,0.024,
49,18.329,80907.19,40174.29,,,0.076,0.027,
50,18.459,89157.89,57473.05,,,0.073,0.024,
51,18.653,1062730.41,640027.35,,,0.067,0.025,
52,18.704,1080730.16,655729.33,,,0.07,0.025,
53,18.771,142815.08,84556.08,,,0.053,0.026,
54,18.828,73636.41,44008.87,,,0.046,0.028,
55,18.868,90004.51,50444.75,,,0.046,0.03,
