#Peaks: + TIC Scan (PC_Sample_6_USSB_29_3.D)
#
Peak,Center X,Area,Height,Type,Saturated,Width,FWHM,SNR
1,1.378,275669.47,67991.81,,,0.146,0.067,
2,1.798,237624.77,135563.85,,,0.064,0.027,
3,1.857,267585.92,166004.43,,,0.049,0.026,
4,3.366,291183.53,69452.29,,,0.196,0.069,
5,5.563,206248.9,62634.47,,,0.122,0.053,
6,10.26,325386.63,36874.34,,,0.347,0.152,
7,13.435,4206904.77,1889952.57,,,0.116,0.034,
8,13.544,520277.96,246136.12,,,0.086,0.034,
9,14.434,871918.07,386175.07,,,0.103,0.035,
10,14.992,974745.33,516701.71,,,0.103,0.029,
11,15.699,1777431.15,1039336.34,,,0.087,0.027,
12,16.341,12559260.01,7615662.08,,,0.116,0.025,
13,17.235,230576.05,105244.21,,,0.099,0.033,
14,17.686,278678.15,165975.93,,,0.06,0.027,
15,18.634,217634.04,90673.74,,,0.093,0.033,
16,19.333,449484.02,262033.37,,,0.079,0.026,
17,21.001,429509.95,198225.6,,,0.057,0.035,
18,21.748,311370.53,176470.75,,,0.072,0.027,
19,21.914,279283.13,178778.05,,,0.059,0.025,
20,21.95,221001.12,140949.51,,,0.057,0.025,
21,22.871,399227.4,208074.02,,,0.077,0.027,
22,22.993,315272.21,182351.17,,,0.072,0.026,
23,23.67,233630.07,161934.88,,,0.05,0.026,
24,23.695,256559.54,178540.83,,,0.065,0.029,
25,24.506,244533.26,106984.34,,,0.078,0.039,
26,24.71,409208.76,190500.28,,,0.081,0.03,
27,24.834,1725533.31,820591.64,,,0.113,0.029,
28,24.943,273367.96,85019.96,,,0.067,0.076,
29,24.998,218751.4,67093.2,,,0.067,0.074,
30,25.109,556661.1,118560.69,,,0.135,0.067,
31,25.204,336218.69,122186.7,,,0.095,0.047,
32,25.326,418931.19,215048.24,,,0.079,0.031,
33,25.486,3174129.28,1519364.13,,,0.099,0.032,
34,25.754,276644.4,89294.08,,,0.101,0.055,
35,25.862,7423135.56,3402472.5,,,0.107,0.034,
36,26.149,323033.87,88060.3,,,0.118,0.071,
37,26.317,1890723.69,757245.62,,,0.138,0.037,
38,26.479,381700.67,139401.19,,,0.111,0.043,
39,27.275,684252.63,244668.91,,,0.124,0.044,
40,27.696,860638.09,304465.9,,,0.121,0.044,
41,28.284,348431.74,47400.45,,,0.204,0.119,
42,28.458,2568722.55,595803,,,0.155,0.06,
43,28.767,20205572.02,3217587.43,,,0.237,0.101,
44,28.796,12953961.97,3101939.73,,,0.24,0.061,
45,29.45,2011643.81,528122.1,,,0.176,0.059,
46,29.784,230334.12,58459.14,,,0.136,0.065,
