#Peaks: + TIC Scan (PDS_Sample_3_USE_03_2.D)
#
Peak,Center X,Area,Height,Type,Saturated,Width,FWHM,SNR
1,1.166,104565.39,38171.01,,,0.122,0.07,
2,1.388,220011.66,54855.78,,,0.132,0.073,
3,1.519,215373.88,126653.62,,,0.078,0.025,
4,1.654,69228.26,30020,,,0.067,0.039,
5,1.719,98458.04,41749,,,0.074,0.037,
6,1.81,254723.55,143964.35,,,0.082,0.027,
7,1.909,203133.52,126518.07,,,0.074,0.024,
8,2.057,90264.02,42475.21,,,0.087,0.03,
9,2.567,71459.65,31260.56,,,0.08,0.035,
10,2.641,1130810.94,466003.47,,,0.127,0.038,
11,2.934,108072.69,51755.23,,,0.075,0.034,
12,3.077,2097659.77,914291.12,,,0.125,0.035,
13,3.377,170947.71,52433.08,,,0.148,0.044,
14,4.51,782934.23,214252.96,,,0.158,0.057,
15,4.704,46125.57,14433.74,,,0.102,0.053,
16,5.965,62969.74,14827.29,,,0.125,0.071,
17,6.109,82897.14,20958.81,,,0.131,0.061,
18,8.353,177153.76,36317.87,,,0.186,0.076,
19,9.518,121303.46,22453.44,,,0.206,0.089,
20,10.885,54981.01,17331.86,,,0.1,0.056,
21,11.355,69290.62,19427.31,,,0.148,0.054,
22,12.319,43928.26,19212.2,,,0.059,0.042,
23,13.066,455320.53,186539.84,,,0.115,0.038,
24,13.439,3761369.41,1735293.7,,,0.116,0.033,
25,13.536,73254.59,25689.66,,,0.084,0.045,
26,13.827,96621.29,48005.16,,,0.078,0.031,
27,13.979,48500.38,22372.38,,,0.093,0.032,
28,14.437,477216.3,208461.69,,,0.103,0.036,
29,14.722,57566.47,35479.11,,,0.051,0.031,
30,14.762,106389.26,52843.34,,,0.06,0.034,
31,15.006,2177615.39,1158914.83,,,0.095,0.029,
32,15.34,64760.15,29618.42,,,0.106,0.029,
33,15.784,126111.8,68420.68,,,0.062,0.028,
34,15.846,92856.13,42785.85,,,0.08,0.034,
35,15.936,106666.46,71053.61,,,0.064,0.023,
36,15.999,56049.53,31583.57,,,0.046,0.034,
37,16.033,65311.93,34947.94,,,0.067,0.035,
38,16.341,62923.54,34733.77,,,0.058,0.037,
39,17.203,184749.14,61621.71,,,0.104,0.054,
40,17.482,132152.29,86949.55,,,0.074,0.023,
41,17.558,72837.56,45963.73,,,0.077,0.023,
42,17.695,295541.9,181505.78,,,0.059,0.025,
43,17.751,229218.7,145043.4,,,0.053,0.025,
44,18.084,50218.08,33543.42,,,0.062,0.022,
45,18.331,57210.28,28615.16,,,0.074,0.03,
46,18.458,89305.76,61203.38,,,0.061,0.023,
47,18.654,574033.24,325046.49,,,0.072,0.026,
48,18.702,459495.09,311130.58,,,0.055,0.024,
49,18.772,92281.01,75634.58,,,0.043,0.021,
50,18.83,49907.89,41077.84,,,0.038,0.02,
51,19.334,141599.01,91145.29,,,0.07,0.023,
52,19.653,52778.51,17740.89,,,0.089,0.066,
53,19.91,131170.79,90947.96,,,0.059,0.023,
54,19.96,106672.89,78093.45,,,0.055,0.021,
55,20.451,87168.33,53582.63,,,0.076,0.024,
56,20.811,83757.13,43896.32,,,0.096,0.026,
57,20.952,204383.44,135482.99,,,0.057,0.023,
58,20.993,140200.76,91778.82,,,0.049,0.025,
59,21.121,781775.96,483837.07,,,0.086,0.025,
60,21.205,683696.47,402631.94,,,0.07,0.026,
61,21.29,843146.62,480937.67,,,0.088,0.024,
62,21.349,53243.63,28902.26,,,0.053,0.028,
63,21.431,83864.55,27381.36,,,0.086,0.053,
64,21.747,104060.58,53345.86,,,0.086,0.027,
65,21.915,442050.12,293917,,,0.051,0.024,
66,21.951,405610.57,253325.82,,,0.088,0.025,
67,22.244,148318.17,76013.36,,,0.114,0.026,
68,22.44,128432.85,35246.31,,,0.112,0.058,
69,22.545,76164.07,37093.09,,,0.065,0.032,
70,22.613,43809.01,25195.76,,,0.077,0.027,
71,22.821,198041.2,146948.82,,,0.036,0.024,
72,22.848,357979.28,206245.07,,,0.071,0.031,
73,22.998,68497.3,30954.1,,,0.076,0.03,
74,23.133,195702.44,131921.27,,,0.057,0.024,
75,23.215,360488.42,214864.75,,,0.06,0.027,
76,23.28,145535.28,68197.33,,,0.062,0.036,
77,23.362,315100.66,146465.77,,,0.092,0.028,
78,23.449,179068.84,97325.43,,,0.08,0.027,
79,23.567,2466499.81,1688971.22,,,0.079,0.023,
80,23.67,401345.72,296196.68,,,0.037,0.026,
81,23.691,280016.87,237208.7,,,0.03,0.021,
82,24.118,243287.95,139590.13,,,0.081,0.025,
83,24.185,64381.33,42488.33,,,0.068,0.022,
84,24.263,89614.08,46728.65,,,0.08,0.024,
85,24.52,317831.03,127526.68,,,0.084,0.042,
86,24.657,94348.05,56411.23,,,0.057,0.026,
87,24.712,87200.6,47703.33,,,0.06,0.029,
88,24.973,462899.45,212330.54,,,0.095,0.031,
89,25.05,411180.33,171362.33,,,0.072,0.037,
90,25.122,435180.63,127857.57,,,0.086,0.058,
91,25.234,1153617.32,359721.88,,,0.112,0.058,
92,25.32,259399.07,114559.48,,,0.086,0.036,
93,25.452,278382.6,108034.07,,,0.092,0.043,
94,25.558,311241.28,146151.84,,,0.09,0.033,
95,25.673,85668.11,45736.7,,,0.065,0.031,
96,25.751,310248.1,130021.23,,,0.088,0.036,
97,26.185,268410.71,110904.64,,,0.116,0.035,
98,26.318,4155630.29,1833052.18,,,0.157,0.034,
99,26.509,323223.63,128703.32,,,0.114,0.037,
100,26.589,46071.75,18695.1,,,0.065,0.055,
101,26.985,96778.44,32928.94,,,0.1,0.046,
102,27.274,1115967.1,395680.68,,,0.167,0.042,
103,27.472,122137.2,43822,,,0.068,0.055,
104,27.552,173533.07,44636.57,,,0.113,0.07,
105,27.699,683357.99,245781.66,,,0.11,0.043,
106,27.832,137080.19,39614.94,,,0.115,0.059,
107,27.983,165198.97,43632.92,,,0.118,0.061,
108,28.451,200646.4,64804.5,,,0.076,0.06,
109,28.533,253117.76,56135.02,,,0.143,0.079,
110,28.918,120035.77,30823.98,,,0.124,0.06,
111,29.202,164421.37,35434,,,0.164,0.057,
112,29.448,4357656.38,1186287.65,,,0.232,0.056,
113,29.773,353723.31,85383.8,,,0.158,0.065,
