#Peaks: + TIC Scan (PDS_Sample_7_USSB_08_1.D)
#
Peak,Center X,Area,Height,Type,Saturated,Width,FWHM,SNR
1,1.378,131049.99,64355,,,0.053,0.042,
2,1.504,167093.8,104823.66,,,0.065,0.025,
3,1.675,136522.43,23432.85,,,0.14,0.114,
4,1.791,320370.64,174182.36,,,0.082,0.027,
5,1.894,304156.89,182349.27,,,0.087,0.025,
6,2.629,1125737.18,468016.68,,,0.116,0.037,
7,3.063,285450.27,127246.98,,,0.101,0.035,
8,3.365,120647.04,33604.32,,,0.117,0.062,
9,4.492,1071735.5,303029.03,,,0.153,0.055,
10,6.104,139895.94,28278.28,,,0.216,0.062,
11,10.265,254829.35,40929.21,,,0.177,0.137,
12,11.338,134872.18,37811.35,,,0.154,0.052,
13,11.827,3322318.64,1099874.61,,,0.16,0.046,
14,13.058,696355.33,282807.67,,,0.11,0.038,
15,13.435,4361243.78,1935392.97,,S,0.126,0.035,
16,15.005,2950294.14,1522235.96,,S,0.141,0.03,
17,15.781,199021.65,113490.72,,,0.065,0.027,
18,15.996,113979.43,38056.28,,,0.145,0.034,
19,16.306,180461.36,113318.99,,,0.05,0.025,
20,17.203,234009.27,106935.24,,,0.126,0.027,
21,17.694,523768.53,313299.15,,,0.059,0.026,
22,17.753,306680.71,198406.32,,,0.051,0.024,
23,18.46,144060.56,98233.71,,,0.074,0.023,
24,18.652,765938.3,489235.32,,,0.059,0.025,
25,18.702,724064.25,465051.3,,,0.074,0.024,
26,19.265,110857.93,70162,,,0.048,0.024,
27,19.334,203317.16,126871.52,,,0.086,0.023,
28,19.911,1844878.56,1277434.57,,,0.064,0.023,
29,19.961,114344.59,83326.33,,,0.042,0.023,
30,20.447,165828.59,104856.1,,,0.058,0.025,
31,20.95,119393.66,66494.21,,,0.056,0.026,
32,21.039,111307.96,86094.15,,,0.043,0.021,
33,21.121,1306861.52,794055.39,,S,0.072,0.026,
34,21.205,1041444.69,636773.26,,,0.069,0.026,
35,21.291,1156690.31,736334.06,,,0.072,0.024,
36,21.751,117204.49,61070.33,,,0.062,0.031,
37,21.918,121434.09,87660.43,,,0.037,0.023,
38,22.439,893437.99,216760.34,,,0.143,0.064,
39,22.548,196461.88,75670.13,,,0.076,0.044,
40,22.609,197949.62,64873.54,,,0.078,0.048,
41,22.702,202787.45,78454.98,,,0.079,0.041,
42,22.845,266271.98,89413.34,,,0.106,0.03,
43,23.134,387762.95,238194.19,,,0.069,0.025,
44,23.214,537358.95,337458.14,,,0.057,0.026,
45,23.277,221149.89,114863.74,,,0.053,0.033,
46,23.361,387607.96,228710.59,,,0.066,0.026,
47,23.451,153239,124098.93,,,0.039,0.02,
48,23.567,6399936.08,4306629.42,,,0.079,0.023,
49,24.12,2910244.02,650913.2,,S,0.168,0.048,
50,24.217,3744298.98,598622.74,,,0.12,0.124,
51,24.306,2528595.46,583731.69,,,0.078,0.086,
52,24.35,621608.61,507420.13,,,0.021,0.032,
53,24.377,537215.65,480235.81,,,0.019,0.025,
54,24.411,1953433.9,629239.15,,,0.059,0.063,
55,24.448,2052981.23,503469.74,,,0.153,0.08,
56,24.713,124691.59,78767.56,,,0.057,0.026,
57,24.86,179638.48,165852.06,,,0.019,0.029,
58,24.874,456435.64,158373,,,0.065,0.071,
59,24.975,901166.62,371031.35,,,0.078,0.035,
60,25.052,533078.33,230386.44,,,0.065,0.036,
61,25.103,498852.63,170204.37,,,0.076,0.053,
62,25.235,912344.53,455812.75,,,0.07,0.032,
63,25.323,345764.23,164144.13,,,0.074,0.034,
64,25.455,374917.1,149961.68,,,0.075,0.04,
65,25.56,1008475.57,318939.24,,,0.109,0.047,
66,25.783,5789965.72,951523.08,,S,0.191,0.079,
67,25.885,6473542.19,1262560.42,,,0.099,0.105,
68,25.923,4500518.58,1354280.51,,,0.057,0.065,
69,26.003,5572055.36,1465765,,,0.067,0.071,
70,26.028,6669509.03,1447150.17,,,0.088,0.096,
71,26.129,2161620.01,1127633.81,,,0.032,0.04,
72,26.163,7909925.67,1115570.68,,,0.162,0.135,
73,26.309,1855823.03,456300.19,,,0.17,0.06,
74,27.527,296606.92,124632.2,,,0.06,0.047,
75,27.59,806091.95,77939.03,,,0.18,0.06,
76,27.766,108982.35,84206.62,,,0.029,0.034,
77,27.802,1415107.37,215057.89,,,0.249,0.071,
78,28.752,8722667.9,1887523.59,,,0.212,0.078,
79,28.777,10871603.23,2010872.46,,,0.223,0.085,
80,29.445,173613.35,55822.61,,,0.1,0.052,
81,29.777,249346.82,60181.97,,,0.138,0.064,
