#Peaks: + TIC Scan (Pbag_Sample_1_USE_12_1.D)
#
Peak,Center X,Area,Height,Type,Saturated,Width,FWHM,SNR
1,1.389,386142.84,80080.06,,,0.149,0.082,
2,1.523,192146.57,88602.73,,,0.092,0.031,
3,1.66,224716.19,82484.27,,,0.07,0.055,
4,1.715,383405.09,140069.27,,,0.091,0.042,
5,1.81,522186.4,186532.27,,,0.076,0.047,
6,1.867,142420.47,89393.27,,,0.034,0.032,
7,1.913,538420.2,278599.46,,,0.084,0.029,
8,2.054,205365.93,105610.11,,,0.095,0.028,
9,2.568,70743.1,34425.79,,,0.067,0.033,
10,2.636,335293.47,137862.17,,,0.11,0.038,
11,2.859,77201.5,25317.16,,,0.076,0.065,
12,2.925,130451.06,59114.04,,,0.074,0.033,
13,3.079,316800.56,147182.59,,,0.098,0.034,
14,3.329,180522.75,78836.51,,,0.061,0.047,
15,3.374,229050.36,79371.88,,,0.095,0.051,
16,4.531,104597.06,30699.58,,,0.118,0.055,
17,4.71,106747.24,33662.84,,,0.11,0.051,
18,4.857,159003.18,45910.35,,,0.114,0.057,
19,5.574,146323.99,43982.67,,,0.111,0.056,
20,5.94,147060.79,39697.68,,,0.133,0.059,
21,6.115,75958.71,17954.03,,,0.144,0.071,
22,6.864,89445.81,17286.76,,,0.175,0.089,
23,8.345,349258.65,71393.62,,,0.185,0.077,
24,9.001,69998.15,14298.56,,,0.131,0.095,
25,9.089,130601.14,25958.22,,,0.141,0.091,
26,9.53,115410.97,20103.86,,,0.173,0.1,
27,9.975,154650.4,29678.77,,,0.164,0.083,
28,10.251,273142.2,51051.37,,,0.148,0.131,
29,10.873,83806.72,23838.82,,,0.112,0.056,
30,11.32,255312.09,64360.17,,,0.164,0.063,
31,11.64,101422.97,37897.81,,,0.098,0.043,
32,11.836,3799856.15,1274209.74,,,0.174,0.046,
33,12.281,132166.94,21995.17,,,0.195,0.18,
34,13.261,110300.85,31294.4,,,0.121,0.053,
35,13.438,4486716.38,2048049.36,,,0.104,0.034,
36,13.545,109504.35,52773.18,,,0.061,0.035,
37,13.773,309771.92,141671.28,,,0.072,0.034,
38,13.824,69951.71,34990.23,,,0.067,0.038,
39,13.975,175959.19,84934.74,,,0.101,0.032,
40,14.173,82088.16,30412.15,,,0.12,0.041,
41,14.435,139929.31,54058.75,,,0.078,0.04,
42,14.566,114279.29,53466.75,,,0.074,0.032,
43,14.65,87231.5,39444.75,,,0.07,0.035,
44,14.723,159039.18,79997.56,,,0.065,0.032,
