#Peaks: + TIC Scan (Pbal_Sample_1_USE_11_1.D)
#
Peak,Center X,Area,Height,Type,Saturated,Width,FWHM,SNR
1,1.381,3179252.21,1518737.51,,,0.118,0.03,
2,1.661,942168.91,408581.5,,,0.078,0.037,
3,1.714,837290.29,230732.5,,,0.074,0.08,
4,1.806,1226531.24,494005.06,,,0.084,0.034,
5,8.215,1052867.83,202756.49,,,0.156,0.088,
6,8.352,64072222.65,11700588.24,,,0.322,0.086,
7,10.054,1096965.11,139348.85,,,0.26,0.183,
8,13.44,4067066.73,1817830.01,,,0.11,0.034,
9,13.547,2513989.41,1151927.75,,,0.098,0.034,
10,15.155,652961.24,222889,,,0.07,0.051,
11,15.325,864324.74,492434.97,,,0.068,0.028,
12,15.513,1099686.2,568974.75,,S,0.066,0.031,
13,15.852,727446.66,324491.73,,,0.075,0.037,
14,16.339,683647.19,301230.1,,,0.108,0.033,
15,16.983,3492563.84,2271485.89,,,0.076,0.024,
16,18.498,960153.82,593330.51,,,0.075,0.025,
17,18.721,1586173.21,1066865.64,,,0.057,0.024,
18,18.883,769760.39,261796.58,,,0.099,0.051,
19,19.169,1085402.84,411395.53,,,0.071,0.052,
20,19.283,1041870.72,646652.58,,,0.051,0.026,
21,19.325,1313734.66,756265.39,,,0.046,0.028,
22,19.388,6551403.63,3266320.56,,,0.107,0.029,
23,19.55,3119857.15,1740965.56,,,0.071,0.026,
24,19.651,807487.23,595705.83,,,0.036,0.022,
25,19.683,3266158.72,1515562.69,,,0.08,0.035,
26,19.803,1345698.41,839622.93,,,0.063,0.024,
27,19.857,782575.17,512031.19,,,0.051,0.024,
28,20.084,848630.23,503311.33,,,0.105,0.024,
29,20.188,1419024.28,940301.26,,,0.07,0.024,
30,20.551,4121744.86,2619094.89,,,0.07,0.024,
31,22.424,12383304.11,7243089.02,,,0.086,0.026,
32,24.498,826808.96,459747.26,,,0.085,0.028,
33,26.319,699449.27,252976.47,,,0.118,0.039,
34,26.886,1189488.04,428287.81,,,0.127,0.042,
35,28.46,1047512.22,293253.83,,,0.093,0.076,
36,28.549,729467.02,190120.66,,,0.098,0.075,
