#Peaks: + TIC Scan (Pcut_Sample_1_USSB_01_1.D)
#
Peak,Center X,Area,Height,Type,Saturated,Width,FWHM,SNR
1,1.903,25520492.56,10754145.11,,S,0.169,0.036,
2,9.763,10051181.01,1217977.4,,S,0.457,0.106,
3,10.857,2981140.99,738627.71,,,0.257,0.062,
4,11.755,6151023.14,1870168.58,,,0.221,0.048,
5,13.435,4459372.33,1972630.37,,,0.126,0.035,
6,14.054,5389142.63,1965106.41,,,0.164,0.032,
7,17.061,1229040.59,828101.96,,,0.064,0.023,
8,17.784,1558875.98,960588.86,,,0.075,0.025,
9,19.316,2104861.03,885894.03,,,0.148,0.03,
10,19.569,1389067.84,762248.94,,,0.055,0.028,
11,19.622,1542846.64,764468.47,,,0.105,0.026,
12,20.213,2227772.39,1234045.18,,,0.071,0.027,
13,20.266,8578919.64,4288718.95,,S,0.114,0.027,
14,20.465,49499380.97,17251184.11,,,0.15,0.049,
15,21.036,111981784.24,24867359.44,,,0.141,0.083,
16,21.073,10445758.83,6270302.44,,,0.089,0.028,
17,21.223,1234101.56,813257.4,,,0.053,0.023,
18,22.598,1162580.72,688684.51,,,0.113,0.024,
19,23.567,2376690.63,1582563.66,,,0.072,0.023,
20,24.042,2817283.62,1728486.5,,,0.073,0.025,
21,24.611,4037591.39,1697506.03,,,0.125,0.033,
22,25.063,1302047.03,626104.75,,,0.089,0.031,
23,27.867,5219860.92,1668349.01,,,0.155,0.049,
24,28.457,4220473.24,986089.52,,,0.173,0.057,
25,28.772,40118217.43,4004926.27,,S,0.378,0.153,
26,28.999,6219400.64,1586649.33,,,0.158,0.061,
27,29.243,4237046.31,1165371,,,0.17,0.057,
