#Peaks: + TIC Scan (Sgun_Sample_1_USE_16_1.D)
#
Peak,Center X,Area,Height,Type,Saturated,Width,FWHM,SNR
1,1.376,227452.3,65907.76,,,0.145,0.061,
2,1.65,358560.15,96758.47,,,0.155,0.05,
3,2.62,239633.44,110826.37,,,0.101,0.032,
4,3.065,216016.21,98477.04,,,0.106,0.034,
5,8.334,171725.1,35472.57,,,0.192,0.073,
6,10.238,291820.4,31722.59,,,0.358,0.15,
7,13.432,4121370.77,1853543.23,,,0.12,0.034,
8,15.78,194765.73,104339.8,,,0.078,0.028,
9,16.339,224543.62,130915.9,,,0.065,0.027,
10,17.688,190905.85,112794.47,,,0.078,0.025,
11,18.457,193589.87,128597.49,,,0.073,0.023,
12,21.913,256611.16,165103.39,,,0.055,0.024,
13,22.426,379646.83,144521.6,,,0.095,0.039,
14,22.53,278751.35,55465.03,,,0.12,0.086,
15,23.142,721303.15,435563.37,,,0.079,0.025,
16,23.565,2880805.57,1880859.83,,S,0.077,0.024,
17,23.668,1005028.16,543544.57,,,0.086,0.025,
18,24.521,336415.07,136694.79,,,0.108,0.038,
19,25.099,266961.51,164754,,,0.058,0.026,
20,25.438,2602717.6,1269233.36,,,0.137,0.031,
21,27.512,293268.86,112652.3,,,0.102,0.042,
22,27.695,207782.87,67225.88,,,0.133,0.049,
23,27.968,4831356.02,1566647.25,,,0.15,0.048,
24,28.269,440308.64,118450.17,,,0.107,0.068,
25,28.282,380110.76,118502.26,,,0.09,0.058,
26,28.546,193629.64,73558.7,,,0.072,0.06,
27,28.782,16587275.28,1676971.85,,,0.446,0.148,
28,29.774,318188.83,69255.85,,,0.163,0.077,
