Package	Version
abind	1.4-8
askpass	1.2.1
assertthat	0.2.1
backports	1.5.0
base64enc	0.1-3
BH	1.87.0-1
BiocManager	1.30.26
BiocParallel	1.42.1
bit	4.6.0
bit64	4.6.0-1
bitops	1.0-9
blob	1.2.4
brew	1.0-10
brio	1.1.5
broom	1.0.8
bslib	0.9.0
cachem	1.1.0
callr	3.7.6
car	3.1-3
carData	3.0-5
caret	7.0-1
cellranger	1.1.0
chemometrics	1.4.4
chorddiag	0.1.3
circlize	0.4.16
classInt	0.4-11
cli	3.6.5
clipr	0.8.0
clock	0.7.3
colorspace	2.1-1
commonmark	2.0.0
conflicted	1.2.0
corpcor	1.6.10
corrplot	0.95
cowplot	1.1.3
cpp11	0.5.2
crayon	1.5.3
credentials	2.0.2
crosstalk	1.2.1
curl	6.2.2
data.table	1.17.0
DBI	1.2.3
dbplyr	2.5.0
dendextend	1.19.0
DEoptimR	1.1-3-1
Deriv	4.1.6
desc	1.4.3
devtools	2.4.5
diagram	1.6.5
diffobj	0.3.6
digest	0.6.37
doBy	4.6.26
doParallel	1.0.17
doRNG	1.8.6.2
downlit	0.4.4
dplyr	1.1.4
DT	0.33
dtplyr	1.3.1
e1071	1.7-16
ellipse	0.5.0
ellipsis	0.3.2
emmeans	1.11.0
estimability	1.5.1
evaluate	1.0.4
factoextra	1.0.7
FactoMineR	2.11
fansi	1.0.6
farver	2.1.2
fastmap	1.2.0
fastshap	0.1.1
flashClust	1.01-2
FNN	1.1.4.1
fontawesome	0.5.3
forcats	1.0.0
foreach	1.5.2
formatR	1.14
Formula	1.2-5
fs	1.6.6
FSelectorRcpp	0.3.13
futile.logger	1.4.3
futile.options	1.0.1
future	1.40.0
future.apply	1.11.3
gargle	1.5.2
generics	0.1.3
gert	2.1.5
ggfittext	0.10.2
ggforce	0.4.2
gggenes	0.5.1
ggmap	4.0.2
ggplot2	3.5.2
ggpp	0.5.9
ggpubr	0.6.0
ggrepel	0.9.6
ggsci	3.2.0
ggsignif	0.6.4
gh	1.5.0
gitcreds	0.1.2
GlobalOptions	0.1.2
globals	0.17.0
glue	1.8.0
googledrive	2.1.1
googlesheets4	1.1.1
gower	1.0.2
GPfit	1.0-9
gridBase	0.4-7
gridExtra	2.3
gridtext	0.1.5
gsignal	0.3-7
gtable	0.3.6
hardhat	1.4.1
haven	2.5.4
here	1.0.1
highr	0.11
hms	1.1.3
htmltools	0.5.8.1
htmlwidgets	1.6.4
httpuv	1.6.16
httr	1.4.7
httr2	1.1.2
ids	1.0.1
igraph	2.1.4
ini	0.3.1
ipred	0.9-15
isoband	0.2.7
iterators	1.0.14
itertools	0.1-3
jose	1.2.1
jpeg	0.1-11
jquerylib	0.1.4
jsonlite	2.0.0
kernlab	0.9-33
knitr	1.50
ks	1.15.0
labeling	0.4.3
laeken	0.5.3
lambda.r	1.2.4
lars	1.3
later	1.4.2
lava	1.8.1
lazyeval	0.2.2
leaps	3.2
lhs	1.2.0
lifecycle	1.0.4
lightgbm	4.6.0
listenv	0.9.1
litedown	0.7
lme4	1.1-37
lmtest	0.9-40
lubridate	1.9.4
magrittr	2.0.3
markdown	2.0
MatrixModels	0.5-4
matrixStats	1.5.0
mccr	0.4.4
mclust	6.1.1
memoise	2.0.1
microbenchmark	1.5.0
mime	0.13
miniUI	0.1.2
minqa	1.2.8
missForest	1.5
mixOmics	6.32.0
ModelMetrics	1.2.2.2
modelr	0.1.11
multcompView	0.1-10
multicool	1.0.1
mvtnorm	1.3-3
nloptr	2.2.1
NMF	0.28
numDeriv	2016.8-1.1
openssl	2.3.2
openxlsx	4.2.8
packrat	0.9.3
parallelly	1.43.0
patchwork	1.3.1
pbkrtest	0.5.4
pcaPP	2.0-5
permute	0.9-7
pheatmap	1.0.12
pillar	1.10.2
pkgbuild	1.4.8
pkgconfig	2.0.3
pkgdown	2.1.3
pkgload	1.4.0
PKI	0.1-15
plotly	4.10.4
pls	2.8-5
plyr	1.8.9
png	0.1-8
polyclip	1.10-7
polynom	1.4-1
pracma	2.4.4
praise	1.0.0
prettyunits	1.2.0
pROC	1.18.5
processx	3.8.6
prodlim	2025.04.28
profvis	0.4.0
progress	1.2.3
progressr	0.15.1
promises	1.3.2
proxy	0.4-27
ps	1.9.1
purrr	1.0.4
qrcode	0.3.0
quantreg	6.1
R6	2.6.1
ragg	1.4.0
randomForest	4.7-1.2
ranger	0.17.0
RANN	2.6.2
rappdirs	0.3.3
rARPACK	0.11-0
rBayesianOptimization	1.2.1
rbibutils	2.3
rcmdcheck	1.4.0
RColorBrewer	1.1-3
Rcpp	1.0.14
RcppArmadillo	14.6.0-1
RcppEigen	0.3.4.0.2
RcppTOML	0.2.3
Rdpack	2.6.4
readr	2.1.5
readxl	1.4.5
recipes	1.3.0
reformulas	0.4.0
registry	0.5-1
rematch	2.0.0
rematch2	2.1.2
remotes	2.5.0
renv	1.1.5
reprex	2.1.1
reshape2	1.4.4
reticulate	1.42.0
rgl	1.3.24
rlang	1.1.6
rmarkdown	2.29
rnaturalearth	1.1.0
rnaturalearthdata	1.0.0
rnaturalearthhires	1.0.0.9000
rngtools	1.5.2
robustbase	0.99-4-1
roxygen2	7.3.2
rprojroot	2.0.4
rsconnect	1.7.0
RSpectra	0.16-2
rstatix	0.7.2
rstudioapi	0.17.1
rversions	2.1.2
rvest	1.0.4
s2	1.1.9
sass	0.4.10
scales	1.4.0
scatterplot3d	0.3-44
selectr	0.4-2
sessioninfo	1.2.3
sf	1.0-21
shades	1.4.0
shape	1.4.6.1
shapviz	0.10.1
shiny	1.11.1
snow	0.4-4
snowflakeauth	0.2.0
softImpute	1.4-1
som	0.3-5.2
sourcetools	0.1.7-1
sp	2.2-0
SparseM	1.84-2
sparsevctrs	0.3.3
SQUAREM	2021.1
stringi	1.8.7
stringr	1.5.1
sys	3.4.3
systemfonts	1.2.2
terra	1.8-70
testthat	3.2.3
textshaping	1.0.0
tibble	3.2.1
tidygeocoder	1.0.6
tidyr	1.3.1
tidyselect	1.2.1
tidyverse	2.0.0
timechange	0.3.0
timeDate	4041.110
tinytex	0.57
tsne	0.1-3.1
tweenr	2.0.3
tzdb	0.5.0
umap	0.2.10.0
units	1.0-0
urlchecker	1.0.1
usethis	3.1.0
utf8	1.2.4
uuid	1.2-1
vcd	1.4-13
vctrs	0.6.5
vegan	2.6-10
VennDiagram	1.7.3
VIM	6.2.2
viridis	0.6.5
viridisLite	0.4.2
vroom	1.6.5
waldo	0.6.1
whisker	0.4.1
withr	3.0.2
wk	0.9.4
writexl	1.5.4
xfun	0.52
xgboost	1.7.11.1
xml2	1.3.8
xopen	1.0.1
xtable	1.8-4
xts	0.14.1
yaml	2.3.10
zip	2.3.2
zoo	1.8-14
base	4.5.0
boot	1.3-31
class	7.3-23
cluster	2.1.8.1
codetools	0.2-20
compiler	4.5.0
datasets	4.5.0
foreign	0.8-90
graphics	4.5.0
grDevices	4.5.0
grid	4.5.0
KernSmooth	2.23-26
lattice	0.22-6
MASS	7.3-65
Matrix	1.7-3
methods	4.5.0
mgcv	1.9-1
nlme	3.1-168
nnet	7.3-20
parallel	4.5.0
rpart	4.1.24
spatial	7.3-18
splines	4.5.0
stats	4.5.0
stats4	4.5.0
survival	3.8-3
tcltk	4.5.0
tools	4.5.0
translations	4.5.0
utils	4.5.0
