Score (Bio),"Diff (Bio, mDa)","Diff (Bio, ppm)",Uncertainty,Fit Score,Enzyme,Hits (Bioconfirm),Links,Seq Loc,Rule,Missed,Mods,Significance,Pred Mods,Sequence,Seq Name,Seq Type,Tgt Seq Mass,AGILENTID,CAS,Compound ID,Name,Cpd,HMP,KEGG,Label,LMP,METLIN,MPPID,NCBI ID,Notes,Swiss-Prot,Hits (DB),Mass (DB),"Diff (DB, mDa)",Formula (DB),"Diff (DB, ppm)",RT (DB),RT Diff (DB),Score (DB),Shared (DB),Unique (DB),"Diff (MFG, mDa)",Mass (MFG),Formula (MFG),"Diff (MFG, ppm)",Score (MFG),Tgt Hit Pos,Score Diff,Abund,Algorithm,Area,Avg Mass,Base Peak,Z Count,CE,MS/MS Count,File,End,Formula,FV,Height,ID Source,ID Techniques Applied,Ions,Polarity,Max Z,Min Z,Modified,Mass,Score,m/z,m/z (prod.),Score (MFE),RT,Saturated,Start,Width,Library,Score (Lib),Cpds/Group,Group,Std Dev,Vol %,Vol,Primary Base,Primary Note,ADC% Area,ADC% Height,EIC/TIC% Area,EIC/TIC% Height,TIC% Area,TIC% Height,TWC% Area,TWC% Height,UVA% Area,UVA% Height,UVB% Area,UVB% Height,UVC% Area,UVC% Height,Purity Comments,Purity Result,Purity Value,Score (Frag),FIs Conf.,FIs Conf. %,FIs Eval.,Source,"Diff (Tgt, mDa)",Formula (Tgt),"Diff (Tgt, ppm)",RT (Tgt),RT Diff (Tgt),Score (Tgt),Flags (Tgt),Flag Severity (Tgt),Flag Severity Code (Tgt),Mass (Tgt),Sample Name,Sample Type,Instrument Name,Position,User Name,Acq Method,DA Method,IRM Calibration status
,,,,,,,,,,,,,,,,,,,,,,1,,,Cpd 1: 1.151,,,,,,,,,,,,,,,,,,,,,,,,,Find by Chromatogram Deconvolution,84481,,39.97,,,,D:\2022-07-29_DJ_042.D,1.199,,,33426,,,3,Positive,,,,,,39.97,,,1.151,,1.102,0.097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blank,,Demo Lab 8890 5977B,1,,Microplastics MMU (AN161) 28July.M,Deconvolution_2023-05-22.m,Success
,,,,,,,,,,,,,,,,,,,,,,2,,,Cpd 2: 1.385,,,,,,,,,,,,,,,,,,,,,,,,,Find by Chromatogram Deconvolution,324196,,44,,,,D:\2022-07-29_DJ_042.D,1.54,,,90440,,,2,Positive,,,,,,44,,,1.385,,1.346,0.194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blank,,Demo Lab 8890 5977B,1,,Microplastics MMU (AN161) 28July.M,Deconvolution_2023-05-22.m,Success
,,,,,,,,,,,,,,,,,,,,,,3,,,Cpd 3: 1.903,,,,,,,,,,,,,,,,,,,,,,,,,Find by Chromatogram Deconvolution,74314,,44,,,,D:\2022-07-29_DJ_042.D,1.964,,,26301,,,5,Positive,,,,,,44,,,1.903,,1.879,0.086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blank,,Demo Lab 8890 5977B,1,,Microplastics MMU (AN161) 28July.M,Deconvolution_2023-05-22.m,Success
,,,,,,,,,,,,,,,,,,,,,,4,,,Cpd 4: 3.079,,,,,,,,,,,,,,,,,,,,,,,,,Find by Chromatogram Deconvolution,61980,,43.1,,,,D:\2022-07-29_DJ_042.D,3.215,,,17050,,,3,Positive,,,,,,43.1,,,3.079,,2.994,0.221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blank,,Demo Lab 8890 5977B,1,,Microplastics MMU (AN161) 28July.M,Deconvolution_2023-05-22.m,Success
,,,,,,,,,,,,,,,,,,,,,,5,,,Cpd 5: 6.104,,,,,,,,,,,,,,,,,,,,,,,,,Find by Chromatogram Deconvolution,126273,,132,,,,D:\2022-07-29_DJ_042.D,6.189,,,20530,,,7,Positive,,,,,,132,,,6.104,,6.019,0.169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blank,,Demo Lab 8890 5977B,1,,Microplastics MMU (AN161) 28July.M,Deconvolution_2023-05-22.m,Success
,,,,,,,,,,,,,,,,,,,,,,6,,,Cpd 6: 8.336,,,,,,,,,,,,,,,,,,,,,,,,,Find by Chromatogram Deconvolution,46249,,77.87,,,,D:\2022-07-29_DJ_042.D,8.447,,,7419,,,3,Positive,,,,,,77.87,,,8.336,,8.238,0.209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blank,,Demo Lab 8890 5977B,1,,Microplastics MMU (AN161) 28July.M,Deconvolution_2023-05-22.m,Success
,,,,,,,,,,,,,,,,,,,,,,7,,,Cpd 7: 11.826,,,,,,,,,,,,,,,,,,,,,,,,,Find by Chromatogram Deconvolution,93026,,69.1,,,,D:\2022-07-29_DJ_042.D,11.913,,,9538,,,6,Positive,,,,,,69.1,,,11.826,,11.763,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blank,,Demo Lab 8890 5977B,1,,Microplastics MMU (AN161) 28July.M,Deconvolution_2023-05-22.m,Success
,,,,,,,,,,,,,,,,,,,,,,8,,,Cpd 8: 12.324,,,,,,,,,,,,,,,,,,,,,,,,,Find by Chromatogram Deconvolution,42932,,44,,,,D:\2022-07-29_DJ_042.D,12.36,,,4826,,,2,Positive,,,,,,44,,,12.324,,12.181,0.179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blank,,Demo Lab 8890 5977B,1,,Microplastics MMU (AN161) 28July.M,Deconvolution_2023-05-22.m,Success
,,,,,,,,,,,,,,,,,,,,,,9,,,Cpd 9: 13.427,,,,,,,,,,,,,,,,,,,,,,,,,Find by Chromatogram Deconvolution,4033025,,98.09,,,,D:\2022-07-29_DJ_042.D,13.549,,,853763,,,11,Positive,,,,,,98.09,,,13.427,,13.374,0.175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blank,,Demo Lab 8890 5977B,1,,Microplastics MMU (AN161) 28July.M,Deconvolution_2023-05-22.m,Success
,,,,,,,,,,,,,,,,,,,,,,10,,,Cpd 10: 17.195,,,,,,,,,,,,,,,,,,,,,,,,,Find by Chromatogram Deconvolution,476530,,35.97,,,,D:\2022-07-29_DJ_042.D,19.041,,,20477,,,5,Positive,,,,,,35.97,,,17.195,,17.119,1.923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blank,,Demo Lab 8890 5977B,1,,Microplastics MMU (AN161) 28July.M,Deconvolution_2023-05-22.m,Success
,,,,,,,,,,,,,,,,,,,,,,11,,,Cpd 11: 17.283,,,,,,,,,,,,,,,,,,,,,,,,,Find by Chromatogram Deconvolution,512413,,35.97,,,,D:\2022-07-29_DJ_042.D,19.041,,,20267,,,5,Positive,,,,,,35.97,,,17.283,,17.119,1.923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blank,,Demo Lab 8890 5977B,1,,Microplastics MMU (AN161) 28July.M,Deconvolution_2023-05-22.m,Success
,,,,,,,,,,,,,,,,,,,,,,12,,,Cpd 12: 17.792,,,,,,,,,,,,,,,,,,,,,,,,,Find by Chromatogram Deconvolution,42700,,105,,,,D:\2022-07-29_DJ_042.D,17.863,,,7496,,,6,Positive,,,,,,105,,,17.792,,17.762,0.101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blank,,Demo Lab 8890 5977B,1,,Microplastics MMU (AN161) 28July.M,Deconvolution_2023-05-22.m,Success
,,,,,,,,,,,,,,,,,,,,,,13,,,Cpd 13: 18.646,,,,,,,,,,,,,,,,,,,,,,,,,Find by Chromatogram Deconvolution,57091,,94.01,,,,D:\2022-07-29_DJ_042.D,18.767,,,9482,,,5,Positive,,,,,,94.01,,,18.646,,18.52,0.247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blank,,Demo Lab 8890 5977B,1,,Microplastics MMU (AN161) 28July.M,Deconvolution_2023-05-22.m,Success
,,,,,,,,,,,,,,,,,,,,,,14,,,Cpd 14: 19.912,,,,,,,,,,,,,,,,,,,,,,,,,Find by Chromatogram Deconvolution,873875,,55.1,,,,D:\2022-07-29_DJ_042.D,19.993,,,53742,,,37,Positive,,,,,,55.1,,,19.912,,19.872,0.122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blank,,Demo Lab 8890 5977B,1,,Microplastics MMU (AN161) 28July.M,Deconvolution_2023-05-22.m,Success
,,,,,,,,,,,,,,,,,,,,,,15,,,Cpd 15: 21.743,,,,,,,,,,,,,,,,,,,,,,,,,Find by Chromatogram Deconvolution,162335,,57.99,,,,D:\2022-07-29_DJ_042.D,21.869,,,8347,,,13,Positive,,,,,,57.99,,,21.743,,21.684,0.185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blank,,Demo Lab 8890 5977B,1,,Microplastics MMU (AN161) 28July.M,Deconvolution_2023-05-22.m,Success
,,,,,,,,,,,,,,,,,,,,,,16,,,Cpd 16: 22.432,,,,,,,,,,,,,,,,,,,,,,,,,Find by Chromatogram Deconvolution,57890,,104,,,,D:\2022-07-29_DJ_042.D,22.473,,,6380,,,15,Positive,,,,,,104,,,22.432,,22.391,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blank,,Demo Lab 8890 5977B,1,,Microplastics MMU (AN161) 28July.M,Deconvolution_2023-05-22.m,Success
,,,,,,,,,,,,,,,,,,,,,,17,,,Cpd 17: 22.557,,,,,,,,,,,,,,,,,,,,,,,,,Find by Chromatogram Deconvolution,107200,,149,,,,D:\2022-07-29_DJ_042.D,22.594,,,13199,,,9,Positive,,,,,,149,,,22.557,,22.475,0.118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blank,,Demo Lab 8890 5977B,1,,Microplastics MMU (AN161) 28July.M,Deconvolution_2023-05-22.m,Success
,,,,,,,,,,,,,,,,,,,,,,18,,,Cpd 18: 22.583,,,,,,,,,,,,,,,,,,,,,,,,,Find by Chromatogram Deconvolution,88976,,149,,,,D:\2022-07-29_DJ_042.D,22.622,,,13199,,,9,Positive,,,,,,149,,,22.583,,22.548,0.074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blank,,Demo Lab 8890 5977B,1,,Microplastics MMU (AN161) 28July.M,Deconvolution_2023-05-22.m,Success
,,,,,,,,,,,,,,,,,,,,,,19,,,Cpd 19: 22.863,,,,,,,,,,,,,,,,,,,,,,,,,Find by Chromatogram Deconvolution,182748,,149,,,,D:\2022-07-29_DJ_042.D,22.891,,,31795,,,11,Positive,,,,,,149,,,22.863,,22.836,0.055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blank,,Demo Lab 8890 5977B,1,,Microplastics MMU (AN161) 28July.M,Deconvolution_2023-05-22.m,Success
,,,,,,,,,,,,,,,,,,,,,,20,,,Cpd 20: 22.907,,,,,,,,,,,,,,,,,,,,,,,,,Find by Chromatogram Deconvolution,69743,,149,,,,D:\2022-07-29_DJ_042.D,22.939,,,30848,,,6,Positive,,,,,,149,,,22.907,,22.878,0.061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blank,,Demo Lab 8890 5977B,1,,Microplastics MMU (AN161) 28July.M,Deconvolution_2023-05-22.m,Success
,,,,,,,,,,,,,,,,,,,,,,21,,,Cpd 21: 22.974,,,,,,,,,,,,,,,,,,,,,,,,,Find by Chromatogram Deconvolution,155241,,149,,,,D:\2022-07-29_DJ_042.D,23.017,,,33947,,,9,Positive,,,,,,149,,,22.974,,22.91,0.107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blank,,Demo Lab 8890 5977B,1,,Microplastics MMU (AN161) 28July.M,Deconvolution_2023-05-22.m,Success
,,,,,,,,,,,,,,,,,,,,,,22,,,Cpd 22: 23.022,,,,,,,,,,,,,,,,,,,,,,,,,Find by Chromatogram Deconvolution,109372,,149,,,,D:\2022-07-29_DJ_042.D,23.078,,,33668,,,11,Positive,,,,,,149,,,23.022,,22.962,0.116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blank,,Demo Lab 8890 5977B,1,,Microplastics MMU (AN161) 28July.M,Deconvolution_2023-05-22.m,Success
