Cpd,Label,Area,Base Peak,File,End,Height,Ions,m/z,RT,Start,Width
1,Cpd 1: 1.166,88895,39.93,Balloons_Sample_17_USSB_14_2,1.222,24316,3,39.93,1.166,1.123,0.099
2,Cpd 2: 1.388,225756,44,Balloons_Sample_17_USSB_14_2,1.431,105853,1,44,1.388,1.301,0.129
3,Cpd 3: 1.518,318054,41,Balloons_Sample_17_USSB_14_2,1.587,56958,9,41,1.518,1.486,0.101
4,Cpd 4: 1.659,140796,63.75,Balloons_Sample_17_USSB_14_2,2.038,15894,3,63.75,1.659,1.613,0.424
5,Cpd 5: 1.809,229500,41,Balloons_Sample_17_USSB_14_2,1.884,41167,11,41,1.809,1.767,0.116
6,Cpd 6: 1.912,705753,44,Balloons_Sample_17_USSB_14_2,2.013,204882,5,44,1.912,1.876,0.137
7,Cpd 7: 2.120,70431,59.85,Balloons_Sample_17_USSB_14_2,2.198,19195,5,59.85,2.12,2.085,0.112
8,Cpd 8: 2.633,507342,44.96,Balloons_Sample_17_USSB_14_2,2.747,100457,9,44.96,2.633,2.597,0.15
9,Cpd 9: 2.848,59934,67.88,Balloons_Sample_17_USSB_14_2,2.936,13172,6,67.88,2.848,2.801,0.135
10,Cpd 10: 2.929,113480,56,Balloons_Sample_17_USSB_14_2,3.063,21077,5,56,2.929,2.888,0.175
11,Cpd 11: 3.002,188487,57.87,Balloons_Sample_17_USSB_14_2,3.044,59549,7,57.87,3.002,2.955,0.089
12,Cpd 12: 3.076,443037,42.99,Balloons_Sample_17_USSB_14_2,3.179,119253,6,42.99,3.076,3.037,0.143
13,Cpd 13: 3.257,220993,44.96,Balloons_Sample_17_USSB_14_2,3.385,45810,7,44.96,3.257,3.187,0.198
14,Cpd 14: 3.379,74202,41,Balloons_Sample_17_USSB_14_2,3.562,6254,6,41,3.379,3.303,0.259
15,Cpd 15: 4.531,215178,56,Balloons_Sample_17_USSB_14_2,4.631,14193,9,56,4.531,4.456,0.175
16,Cpd 16: 4.712,145720,57.07,Balloons_Sample_17_USSB_14_2,4.89,11966,9,57.07,4.712,4.646,0.244
17,Cpd 17: 5.568,75258,42.99,Balloons_Sample_17_USSB_14_2,5.782,8534,7,42.99,5.568,5.505,0.278
18,Cpd 18: 6.159,136454,42.99,Balloons_Sample_17_USSB_14_2,6.256,13698,7,42.99,6.159,6.028,0.228
