Cpd,Label,Area,Base Peak,File,End,Height,Ions,m/z,RT,Start,Width
1,Cpd 1: 1.158,71855,39.95,FPW_Sample_4_USE_09_1,1.277,22682,3,39.95,1.158,1.109,0.167
2,Cpd 2: 1.382,223996,44,FPW_Sample_4_USE_09_1,1.492,56037,2,44,1.382,1.336,0.156
3,Cpd 3: 1.516,320095,41.01,FPW_Sample_4_USE_09_1,1.577,54121,9,41.01,1.516,1.488,0.089
4,Cpd 4: 1.653,128748,63.84,FPW_Sample_4_USE_09_1,1.905,17392,6,63.84,1.653,1.613,0.291
5,Cpd 5: 1.805,330546,41.01,FPW_Sample_4_USE_09_1,1.876,62199,13,41.01,1.805,1.762,0.114
6,Cpd 6: 1.905,260810,44,FPW_Sample_4_USE_09_1,1.979,87992,5,44,1.905,1.878,0.101
7,Cpd 7: 2.049,60612,46.96,FPW_Sample_4_USE_09_1,2.137,11141,4,46.96,2.049,2.015,0.122
8,Cpd 8: 2.640,1533003,43.04,FPW_Sample_4_USE_09_1,2.757,209983,12,43.04,2.64,2.586,0.171
9,Cpd 9: 3.076,316040,43.04,FPW_Sample_4_USE_09_1,3.202,84373,5,43.04,3.076,3.035,0.167
10,Cpd 10: 3.372,126545,43.04,FPW_Sample_4_USE_09_1,3.457,15301,6,43.04,3.372,3.315,0.143
11,Cpd 11: 3.858,77082,43.04,FPW_Sample_4_USE_09_1,3.954,8783,5,43.04,3.858,3.406,0.548
12,Cpd 12: 4.504,1736045,56.04,FPW_Sample_4_USE_09_1,4.593,125974,18,56.04,4.504,4.426,0.167
13,Cpd 13: 4.703,80311,57.1,FPW_Sample_4_USE_09_1,4.921,5183,8,57.1,4.703,4.551,0.369
14,Cpd 14: 5.672,77346,43.04,FPW_Sample_4_USE_09_1,5.74,8917,8,43.04,5.672,5.522,0.219
15,Cpd 15: 5.939,58667,43.04,FPW_Sample_4_USE_09_1,6.178,5556,6,43.04,5.939,5.856,0.322
16,Cpd 16: 6.798,54633,56.04,FPW_Sample_4_USE_09_1,6.907,4750,5,56.04,6.798,6.701,0.205
17,Cpd 17: 8.338,53909,77.86,FPW_Sample_4_USE_09_1,8.457,7936,6,77.86,8.338,8.254,0.204
18,Cpd 18: 10.245,370879,43.04,FPW_Sample_4_USE_09_1,10.713,14685,3,43.04,10.245,10.2,0.514
19,Cpd 19: 11.340,337741,43.04,FPW_Sample_4_USE_09_1,11.507,57014,8,43.04,11.34,11.274,0.232
20,Cpd 20: 12.210,58574,44.93,FPW_Sample_4_USE_09_1,12.315,11590,5,44.93,12.21,12.157,0.158
21,Cpd 21: 13.063,965615,43.04,FPW_Sample_4_USE_09_1,13.141,99239,16,43.04,13.063,13.008,0.133
22,Cpd 22: 13.438,3871630,98.07,FPW_Sample_4_USE_09_1,13.542,810203,11,98.07,13.438,13.384,0.158
23,Cpd 23: 13.772,86672,70.1,FPW_Sample_4_USE_09_1,13.812,16125,9,70.1,13.772,13.723,0.089
24,Cpd 24: 13.976,55756,43.04,FPW_Sample_4_USE_09_1,14.044,4903,13,43.04,13.976,13.867,0.177
25,Cpd 25: 14.434,73129,207,FPW_Sample_4_USE_09_1,14.495,14112,11,207,14.434,14.387,0.108
26,Cpd 26: 14.717,125606,44.93,FPW_Sample_4_USE_09_1,14.788,9802,15,44.93,14.717,14.531,0.257
27,Cpd 27: 15.007,4939523,70.1,FPW_Sample_4_USE_09_1,15.096,516192,18,70.1,15.007,14.959,0.137
28,Cpd 28: 15.349,102881,69.07,FPW_Sample_4_USE_09_1,15.435,9672,15,69.07,15.349,15.298,0.137
29,Cpd 29: 15.561,79172,57.1,FPW_Sample_4_USE_09_1,15.711,5525,11,57.1,15.561,15.523,0.188
30,Cpd 30: 15.782,178541,95.99,FPW_Sample_4_USE_09_1,15.852,29932,14,95.99,15.782,15.745,0.107
31,Cpd 31: 15.996,168645,43.04,FPW_Sample_4_USE_09_1,16.088,14575,15,43.04,15.996,15.956,0.131
32,Cpd 32: 16.304,113296,98.07,FPW_Sample_4_USE_09_1,16.392,14876,15,98.07,16.304,16.27,0.122
33,Cpd 33: 16.342,62057,103.95,FPW_Sample_4_USE_09_1,16.396,12333,9,103.95,16.342,16.301,0.095
34,Cpd 34: 16.476,62192,41.01,FPW_Sample_4_USE_09_1,16.586,6651,10,41.01,16.476,16.366,0.221
35,Cpd 35: 16.706,100924,43.04,FPW_Sample_4_USE_09_1,16.781,11157,16,43.04,16.706,16.657,0.124
36,Cpd 36: 17.202,491662,43.04,FPW_Sample_4_USE_09_1,17.293,83113,19,43.04,17.202,17.167,0.126
37,Cpd 37: 17.482,64373,69.07,FPW_Sample_4_USE_09_1,17.574,5440,15,69.07,17.482,17.393,0.181
38,Cpd 38: 17.694,631341,71.1,FPW_Sample_4_USE_09_1,17.746,66652,23,71.1,17.694,17.652,0.093
