Cpd,Label,Area,Base Peak,File,End,Height,Ions,m/z,RT,Start,Width
1,Cpd 1: 13.438,3880664,98.1,PC_Sample_18_USSB_34_3,13.542,838934,11,98.1,13.438,13.384,0.158
2,Cpd 2: 13.546,2184058,91.1,PC_Sample_18_USSB_34_3,13.648,499980,11,91.1,13.546,13.496,0.152
3,Cpd 3: 15.700,670818,91.1,PC_Sample_18_USSB_34_3,15.781,190161,16,91.1,15.7,15.659,0.122
4,Cpd 4: 16.343,42565920,104.1,PC_Sample_18_USSB_34_3,16.447,8207246,15,104.1,16.343,16.298,0.148
5,Cpd 5: 24.834,970160,92.1,PC_Sample_18_USSB_34_3,24.898,148285,21,92.1,24.834,24.791,0.107
6,Cpd 6: 25.487,19263791,91.1,PC_Sample_18_USSB_34_3,25.593,3199618,27,91.1,25.487,25.438,0.155
7,Cpd 7: 25.861,6411128,104.1,PC_Sample_18_USSB_34_3,25.961,1851819,15,104.1,25.861,25.806,0.155
8,Cpd 8: 26.315,575388,96.99,PC_Sample_18_USSB_34_3,26.405,20352,42,96.99,26.315,26.264,0.141
9,Cpd 9: 28.453,938040,72.99,PC_Sample_18_USSB_34_3,28.666,27587,41,72.99,28.453,28.374,0.292
10,Cpd 10: 28.707,617828,116.09,PC_Sample_18_USSB_34_3,28.727,81038,18,116.09,28.707,28.552,0.176
11,Cpd 11: 28.768,2434737,206.19,PC_Sample_18_USSB_34_3,28.798,83940,36,206.19,28.768,28.538,0.259
12,Cpd 12: 28.777,37750004,91.1,PC_Sample_18_USSB_34_3,29.185,3432279,9,91.1,28.777,28.542,0.643
13,Cpd 13: 28.790,41498984,91.1,PC_Sample_18_USSB_34_3,29.17,3494020,19,91.1,28.79,28.771,0.399
14,Cpd 14: 28.803,6075430,193.09,PC_Sample_18_USSB_34_3,29.029,247184,32,193.09,28.803,28.777,0.252
15,Cpd 15: 29.439,427470,109.96,PC_Sample_18_USSB_34_3,29.532,11552,38,109.96,29.439,29.37,0.162
16,Cpd 16: 29.447,488334,96.99,PC_Sample_18_USSB_34_3,29.536,14171,34,96.99,29.447,29.37,0.166
