Cpd,Label,Area,Base Peak,File,End,Height,Ions,m/z,RT,Start,Width
1,Cpd 1: 1.391,249983,44,PC_Sample_3_USE_04_3,1.538,57000,2,44,1.391,1.291,0.247
2,Cpd 2: 1.520,299716,41,PC_Sample_3_USE_04_3,1.588,61518,8,41,1.52,1.487,0.101
3,Cpd 3: 1.659,88935,63.75,PC_Sample_3_USE_04_3,1.784,13869,5,63.75,1.659,1.616,0.167
4,Cpd 4: 1.810,253229,41,PC_Sample_3_USE_04_3,1.871,51035,10,41,1.81,1.767,0.105
5,Cpd 5: 1.868,44887,53.86,PC_Sample_3_USE_04_3,1.942,6828,6,53.86,1.868,1.824,0.118
6,Cpd 6: 1.911,304466,44,PC_Sample_3_USE_04_3,1.987,100032,5,44,1.911,1.879,0.108
7,Cpd 7: 2.634,536714,44.86,PC_Sample_3_USE_04_3,2.744,183580,3,44.86,2.634,2.6,0.145
8,Cpd 8: 2.931,160434,56,PC_Sample_3_USE_04_3,3.054,36425,4,56,2.931,2.885,0.169
9,Cpd 9: 3.086,169444,42.99,PC_Sample_3_USE_04_3,3.212,47378,4,42.99,3.086,3.049,0.164
10,Cpd 10: 3.382,121367,42.99,PC_Sample_3_USE_04_3,3.475,12338,5,42.99,3.382,3.332,0.143
11,Cpd 11: 3.862,56405,42.99,PC_Sample_3_USE_04_3,3.952,5934,5,42.99,3.862,3.754,0.198
12,Cpd 12: 4.509,1523608,56,PC_Sample_3_USE_04_3,4.612,105907,18,56,4.509,4.429,0.183
13,Cpd 13: 5.679,41914,42.99,PC_Sample_3_USE_04_3,6.015,9322,3,42.99,5.679,5.601,0.415
14,Cpd 14: 5.959,73942,42.99,PC_Sample_3_USE_04_3,6.057,8334,4,42.99,5.959,5.846,0.211
15,Cpd 15: 8.349,182595,77.84,PC_Sample_3_USE_04_3,8.472,20117,8,77.84,8.349,8.253,0.219
16,Cpd 16: 10.334,171885,42.99,PC_Sample_3_USE_04_3,10.714,7582,3,42.99,10.334,10.253,0.46
17,Cpd 17: 11.350,56152,42.99,PC_Sample_3_USE_04_3,11.455,11164,4,42.99,11.35,11.214,0.241
18,Cpd 18: 13.066,979003,42.99,PC_Sample_3_USE_04_3,13.146,117848,17,42.99,13.066,13.005,0.141
19,Cpd 19: 13.438,3538631,98.1,PC_Sample_3_USE_04_3,13.543,709147,14,98.1,13.438,13.391,0.152
20,Cpd 20: 13.824,56274,41,PC_Sample_3_USE_04_3,13.884,5607,7,41,13.824,13.783,0.101
21,Cpd 21: 14.436,314135,206.9,PC_Sample_3_USE_04_3,14.542,42907,30,206.9,14.436,14.382,0.16
22,Cpd 22: 14.518,53629,42.99,PC_Sample_3_USE_04_3,14.563,10962,8,42.99,14.518,14.46,0.103
23,Cpd 23: 14.723,80850,54.99,PC_Sample_3_USE_04_3,14.796,5874,13,54.99,14.723,14.665,0.131
24,Cpd 24: 15.007,4078228,42.99,PC_Sample_3_USE_04_3,15.101,402271,21,42.99,15.007,14.962,0.139
25,Cpd 25: 15.784,90839,95.89,PC_Sample_3_USE_04_3,15.865,13754,9,95.89,15.784,15.744,0.122
26,Cpd 26: 15.847,82324,56,PC_Sample_3_USE_04_3,15.9,14166,10,56,15.847,15.806,0.093
27,Cpd 27: 15.937,79870,56,PC_Sample_3_USE_04_3,15.97,8712,12,56,15.937,15.898,0.072
28,Cpd 28: 15.993,85244,42.99,PC_Sample_3_USE_04_3,16.073,7097,10,42.99,15.993,15.966,0.107
29,Cpd 29: 16.312,86244,98.1,PC_Sample_3_USE_04_3,16.383,6528,16,98.1,16.312,16.265,0.118
30,Cpd 30: 16.339,71504,103.76,PC_Sample_3_USE_04_3,16.402,7023,13,103.76,16.339,16.284,0.118
31,Cpd 31: 16.613,43279,44,PC_Sample_3_USE_04_3,16.661,4825,10,44,16.613,16.567,0.093
32,Cpd 32: 17.018,80020,56.99,PC_Sample_3_USE_04_3,17.091,14096,12,56.99,17.018,16.98,0.11
33,Cpd 33: 17.231,67515,280.88,PC_Sample_3_USE_04_3,17.287,13132,12,280.88,17.231,17.193,0.093
34,Cpd 34: 17.484,108439,54.99,PC_Sample_3_USE_04_3,17.545,8593,17,54.99,17.484,17.443,0.103
35,Cpd 35: 17.560,92729,56.99,PC_Sample_3_USE_04_3,17.623,5940,12,56.99,17.56,17.498,0.126
36,Cpd 36: 17.655,77337,42.01,PC_Sample_3_USE_04_3,17.718,16055,9,42.01,17.655,17.618,0.101
37,Cpd 37: 17.695,514480,71.04,PC_Sample_3_USE_04_3,17.728,54601,20,71.04,17.695,17.654,0.074
38,Cpd 38: 17.752,436944,71.04,PC_Sample_3_USE_04_3,17.806,60606,18,71.04,17.752,17.724,0.082
39,Cpd 39: 17.792,71485,76.85,PC_Sample_3_USE_04_3,17.836,10901,8,76.85,17.792,17.756,0.08
40,Cpd 40: 18.083,104641,56.99,PC_Sample_3_USE_04_3,18.137,7719,18,56.99,18.083,18.042,0.095
41,Cpd 41: 18.327,62651,56.99,PC_Sample_3_USE_04_3,18.383,6956,12,56.99,18.327,18.251,0.131
42,Cpd 42: 18.458,79066,56.99,PC_Sample_3_USE_04_3,18.523,15967,11,56.99,18.458,18.426,0.097
43,Cpd 43: 18.653,967384,68.99,PC_Sample_3_USE_04_3,18.679,83411,32,68.99,18.653,18.613,0.067
44,Cpd 44: 18.703,1011303,68.99,PC_Sample_3_USE_04_3,18.754,76181,35,68.99,18.703,18.677,0.076
45,Cpd 45: 18.772,104223,54.99,PC_Sample_3_USE_04_3,18.818,8087,19,54.99,18.772,18.717,0.101
46,Cpd 46: 18.866,62738,56.99,PC_Sample_3_USE_04_3,18.913,8371,10,56.99,18.866,18.801,0.112
47,Cpd 47: 19.333,178673,56.99,PC_Sample_3_USE_04_3,19.395,14730,23,56.99,19.333,19.275,0.12
48,Cpd 48: 19.911,101800,54.99,PC_Sample_3_USE_04_3,19.947,8387,16,54.99,19.911,19.863,0.084
49,Cpd 49: 19.961,59683,56.99,PC_Sample_3_USE_04_3,20.021,11270,8,56.99,19.961,19.922,0.099
50,Cpd 50: 20.356,87585,56.99,PC_Sample_3_USE_04_3,20.419,9478,13,56.99,20.356,20.297,0.122
51,Cpd 51: 20.451,291850,71.04,PC_Sample_3_USE_04_3,20.511,21668,29,71.04,20.451,20.41,0.101
52,Cpd 52: 20.524,73120,71.04,PC_Sample_3_USE_04_3,20.596,11565,11,71.04,20.524,20.49,0.107
53,Cpd 53: 20.812,90382,56.99,PC_Sample_3_USE_04_3,20.861,8776,12,56.99,20.812,20.758,0.103
54,Cpd 54: 20.922,76253,68.99,PC_Sample_3_USE_04_3,21.025,6697,12,68.99,20.922,20.87,0.154
