Cpd,Label,Area,Base Peak,File,End,Height,Ions,m/z,RT,Start,Width
1,Cpd 1: 1.164,141254,39.91,PDS_Sample_3_USE_03_3,1.238,30950,3,39.91,1.164,1.11,0.127
2,Cpd 2: 1.387,416598,44,PDS_Sample_3_USE_03_3,1.679,62586,2,44,1.387,1.28,0.399
3,Cpd 3: 1.518,189351,40.98,PDS_Sample_3_USE_03_3,1.578,39237,7,40.98,1.518,1.489,0.089
4,Cpd 4: 1.666,123279,63.84,PDS_Sample_3_USE_03_3,1.932,20730,3,63.84,1.666,1.626,0.306
5,Cpd 5: 1.720,71769,49.83,PDS_Sample_3_USE_03_3,1.776,23993,5,49.83,1.72,1.681,0.095
6,Cpd 6: 1.809,253833,40.98,PDS_Sample_3_USE_03_3,1.871,49168,14,40.98,1.809,1.766,0.105
7,Cpd 7: 1.908,212838,44,PDS_Sample_3_USE_03_3,1.972,69651,5,44,1.908,1.877,0.095
8,Cpd 8: 2.057,93827,46.84,PDS_Sample_3_USE_03_3,2.143,15779,6,46.84,2.057,2.021,0.122
9,Cpd 9: 2.634,1052778,42.99,PDS_Sample_3_USE_03_3,2.744,127597,9,42.99,2.634,2.601,0.143
10,Cpd 10: 2.933,125653,55.97,PDS_Sample_3_USE_03_3,3.048,25400,6,55.97,2.933,2.883,0.165
11,Cpd 11: 3.077,2056972,42.99,PDS_Sample_3_USE_03_3,3.187,580074,6,42.99,3.077,3.033,0.154
12,Cpd 12: 3.379,157575,40.98,PDS_Sample_3_USE_03_3,3.476,15110,7,40.98,3.379,3.328,0.148
13,Cpd 13: 4.511,752626,55.97,PDS_Sample_3_USE_03_3,4.617,51188,18,55.97,4.511,4.429,0.188
14,Cpd 14: 6.120,59165,131.75,PDS_Sample_3_USE_03_3,6.235,10037,4,131.75,6.12,6.022,0.213
15,Cpd 15: 8.356,140150,77.96,PDS_Sample_3_USE_03_3,8.507,15956,6,77.96,8.356,8.239,0.268
16,Cpd 16: 9.533,74073,40.98,PDS_Sample_3_USE_03_3,9.609,3693,6,40.98,9.533,9.412,0.198
17,Cpd 17: 10.386,49820,42.99,PDS_Sample_3_USE_03_3,10.535,5263,3,42.99,10.386,10.311,0.224
18,Cpd 18: 10.863,50034,55.97,PDS_Sample_3_USE_03_3,10.885,5825,4,55.97,10.863,10.819,0.067
19,Cpd 19: 11.369,58546,42.99,PDS_Sample_3_USE_03_3,11.435,11630,6,42.99,11.369,11.193,0.241
20,Cpd 20: 13.065,430478,42.99,PDS_Sample_3_USE_03_3,13.131,51459,17,42.99,13.065,13.009,0.122
21,Cpd 21: 13.439,3460325,98.09,PDS_Sample_3_USE_03_3,13.541,713290,14,98.09,13.439,13.389,0.152
22,Cpd 22: 13.547,43030,90.94,PDS_Sample_3_USE_03_3,13.612,6101,6,90.94,13.547,13.502,0.11
23,Cpd 23: 13.827,76763,40.98,PDS_Sample_3_USE_03_3,13.888,6346,10,40.98,13.827,13.783,0.105
24,Cpd 24: 14.436,440985,206.9,PDS_Sample_3_USE_03_3,14.54,58265,34,206.9,14.436,14.38,0.16
25,Cpd 25: 14.759,89862,55,PDS_Sample_3_USE_03_3,14.861,18917,9,55,14.759,14.681,0.181
26,Cpd 26: 14.764,108159,55,PDS_Sample_3_USE_03_3,14.861,18917,7,55,14.764,14.688,0.173
27,Cpd 27: 15.007,2066332,42.99,PDS_Sample_3_USE_03_3,15.091,208963,22,42.99,15.007,14.96,0.131
28,Cpd 28: 15.340,45624,94.9,PDS_Sample_3_USE_03_3,15.415,8517,6,94.9,15.34,15.301,0.114
29,Cpd 29: 15.542,44008,58.83,PDS_Sample_3_USE_03_3,15.727,6487,3,58.83,15.542,15.517,0.209
30,Cpd 30: 15.783,123504,96.04,PDS_Sample_3_USE_03_3,15.867,17318,12,96.04,15.783,15.746,0.122
31,Cpd 31: 15.848,66275,55.97,PDS_Sample_3_USE_03_3,15.911,12473,8,55.97,15.848,15.803,0.108
32,Cpd 32: 15.936,96718,55.97,PDS_Sample_3_USE_03_3,15.972,9919,15,55.97,15.936,15.902,0.07
33,Cpd 33: 16.031,98303,42.99,PDS_Sample_3_USE_03_3,16.09,6680,14,42.99,16.031,15.951,0.139
34,Cpd 34: 16.342,42199,103.82,PDS_Sample_3_USE_03_3,16.415,8095,7,103.82,16.342,16.288,0.127
35,Cpd 35: 17.202,92076,42.99,PDS_Sample_3_USE_03_3,17.279,14973,15,42.99,17.202,17.165,0.114
36,Cpd 36: 17.236,55626,280.87,PDS_Sample_3_USE_03_3,17.275,11002,12,280.87,17.236,17.184,0.091
37,Cpd 37: 17.483,119381,55.97,PDS_Sample_3_USE_03_3,17.526,9712,19,55.97,17.483,17.446,0.08
38,Cpd 38: 17.558,60997,56.99,PDS_Sample_3_USE_03_3,17.597,9249,11,56.99,17.558,17.517,0.08
39,Cpd 39: 17.695,271519,71.03,PDS_Sample_3_USE_03_3,17.73,28780,20,71.03,17.695,17.64,0.089
40,Cpd 40: 17.752,221077,71.03,PDS_Sample_3_USE_03_3,17.827,29606,17,71.03,17.752,17.718,0.108
41,Cpd 41: 18.331,42532,56.99,PDS_Sample_3_USE_03_3,18.403,4709,11,56.99,18.331,18.268,0.135
42,Cpd 42: 18.459,77464,56.99,PDS_Sample_3_USE_03_3,18.506,16495,12,56.99,18.459,18.419,0.088
43,Cpd 43: 18.654,505823,69,PDS_Sample_3_USE_03_3,18.679,41598,32,69,18.654,18.613,0.067
44,Cpd 44: 18.703,501065,69,PDS_Sample_3_USE_03_3,18.75,39503,31,69,18.703,18.677,0.072
45,Cpd 45: 18.772,125210,40.98,PDS_Sample_3_USE_03_3,18.812,9107,20,40.98,18.772,18.727,0.086
46,Cpd 46: 18.830,71467,56.99,PDS_Sample_3_USE_03_3,18.864,12338,12,56.99,18.83,18.793,0.07
47,Cpd 47: 19.334,125841,56.99,PDS_Sample_3_USE_03_3,19.383,10975,21,56.99,19.334,19.282,0.101
48,Cpd 48: 19.911,126846,55,PDS_Sample_3_USE_03_3,19.956,9468,22,55,19.911,19.863,0.093
49,Cpd 49: 19.960,98440,56.99,PDS_Sample_3_USE_03_3,20.017,18170,13,56.99,19.96,19.933,0.084
50,Cpd 50: 20.449,80415,71.03,PDS_Sample_3_USE_03_3,20.508,8059,16,71.03,20.449,20.411,0.097
51,Cpd 51: 20.809,54643,56.99,PDS_Sample_3_USE_03_3,20.862,7167,10,56.99,20.809,20.754,0.108
52,Cpd 52: 20.951,194483,55,PDS_Sample_3_USE_03_3,21.011,10930,31,55,20.951,20.902,0.109
53,Cpd 53: 20.993,168525,56.99,PDS_Sample_3_USE_03_3,21.049,24413,16,56.99,20.993,20.961,0.088
54,Cpd 54: 21.008,64073,87.75,PDS_Sample_3_USE_03_3,21.071,6464,15,87.75,21.008,20.961,0.11
55,Cpd 55: 21.122,745375,69,PDS_Sample_3_USE_03_3,21.17,61324,39,69,21.122,21.081,0.089
56,Cpd 56: 21.205,645989,69,PDS_Sample_3_USE_03_3,21.25,50492,35,69,21.205,21.167,0.084
57,Cpd 57: 21.291,737327,69,PDS_Sample_3_USE_03_3,21.361,56034,38,69,21.291,21.233,0.128
58,Cpd 58: 21.429,47896,71.03,PDS_Sample_3_USE_03_3,21.488,5361,7,71.03,21.429,21.368,0.12
59,Cpd 59: 21.748,75169,55,PDS_Sample_3_USE_03_3,21.81,8205,10,55,21.748,21.709,0.101
60,Cpd 60: 21.915,416732,55,PDS_Sample_3_USE_03_3,21.98,26098,28,55,21.915,21.877,0.103
61,Cpd 61: 21.951,345150,56.99,PDS_Sample_3_USE_03_3,22.018,52649,27,56.99,21.951,21.926,0.091
62,Cpd 62: 22.245,94646,87.75,PDS_Sample_3_USE_03_3,22.296,13267,16,87.75,22.245,22.208,0.088
63,Cpd 63: 22.435,50340,56.99,PDS_Sample_3_USE_03_3,22.501,3782,13,56.99,22.435,22.395,0.107
64,Cpd 64: 22.543,48649,71.03,PDS_Sample_3_USE_03_3,22.583,6170,9,71.03,22.543,22.501,0.082
65,Cpd 65: 22.820,168973,55,PDS_Sample_3_USE_03_3,22.893,12162,20,55,22.82,22.777,0.116
66,Cpd 66: 22.847,333332,56.99,PDS_Sample_3_USE_03_3,22.905,39168,23,56.99,22.847,22.794,0.11
67,Cpd 67: 22.994,50093,69,PDS_Sample_3_USE_03_3,23.049,2981,15,69,22.994,22.943,0.107
68,Cpd 68: 23.133,178877,69,PDS_Sample_3_USE_03_3,23.171,15947,25,69,23.133,23.099,0.072
69,Cpd 69: 23.216,351695,71.03,PDS_Sample_3_USE_03_3,23.249,25410,33,71.03,23.216,23.173,0.076
70,Cpd 70: 23.280,162465,69,PDS_Sample_3_USE_03_3,23.329,8414,18,69,23.28,23.232,0.097
71,Cpd 71: 23.362,290123,69,PDS_Sample_3_USE_03_3,23.423,17763,25,69,23.362,23.312,0.11
72,Cpd 72: 23.449,153020,69,PDS_Sample_3_USE_03_3,23.543,9864,21,69,23.449,23.413,0.129
73,Cpd 73: 23.567,2164033,191.1,PDS_Sample_3_USE_03_3,23.638,524048,31,191.1,23.567,23.533,0.105
74,Cpd 74: 23.670,462598,55,PDS_Sample_3_USE_03_3,23.752,27854,27,55,23.67,23.634,0.118
