Cpd,Label,Area,Base Peak,File,End,Height,Ions,m/z,RT,Start,Width
1,Cpd 1: 1.374,265964,44,Sgun_Sample_1_USE_16_1,1.539,66780,2,44,1.374,1.33,0.209
2,Cpd 2: 1.649,401268,64,Sgun_Sample_1_USE_16_1,1.868,70191,7,64,1.649,1.594,0.274
3,Cpd 3: 1.794,156883,41,Sgun_Sample_1_USE_16_1,1.857,30732,10,41,1.794,1.754,0.103
4,Cpd 4: 1.896,161965,44,Sgun_Sample_1_USE_16_1,1.984,53214,5,44,1.896,1.865,0.12
5,Cpd 5: 2.618,237083,44.93,Sgun_Sample_1_USE_16_1,2.74,64018,6,44.93,2.618,2.588,0.152
6,Cpd 6: 3.065,212479,42.99,Sgun_Sample_1_USE_16_1,3.164,60850,5,42.99,3.065,3.025,0.139
7,Cpd 7: 3.367,120369,42.99,Sgun_Sample_1_USE_16_1,3.461,12549,8,42.99,3.367,3.293,0.167
8,Cpd 8: 6.098,130825,131.85,Sgun_Sample_1_USE_16_1,6.204,22314,7,131.85,6.098,6.006,0.198
9,Cpd 9: 8.334,142418,77.85,Sgun_Sample_1_USE_16_1,8.443,17092,8,77.85,8.334,8.222,0.221
10,Cpd 10: 10.238,261248,42.99,Sgun_Sample_1_USE_16_1,10.562,10482,4,42.99,10.238,10.195,0.367
11,Cpd 11: 13.433,3764803,98.1,Sgun_Sample_1_USE_16_1,13.533,803381,11,98.1,13.433,13.381,0.152
12,Cpd 12: 15.780,176618,95.01,Sgun_Sample_1_USE_16_1,15.881,27840,14,95.01,15.78,15.74,0.141
13,Cpd 13: 16.303,103555,98.1,Sgun_Sample_1_USE_16_1,16.373,13550,14,98.1,16.303,16.271,0.103
14,Cpd 14: 16.340,198121,103.96,Sgun_Sample_1_USE_16_1,16.41,35293,16,103.96,16.34,16.299,0.11
15,Cpd 15: 17.689,177487,55.02,Sgun_Sample_1_USE_16_1,17.78,49121,9,55.02,17.689,17.654,0.126
16,Cpd 16: 18.457,185698,57.05,Sgun_Sample_1_USE_16_1,18.528,35435,17,57.05,18.457,18.421,0.107
17,Cpd 17: 19.331,138663,57.05,Sgun_Sample_1_USE_16_1,19.386,13209,25,57.05,19.331,19.297,0.09
18,Cpd 18: 19.910,103204,55.02,Sgun_Sample_1_USE_16_1,19.984,7390,21,55.02,19.91,19.856,0.128
19,Cpd 19: 21.914,241300,83,Sgun_Sample_1_USE_16_1,21.978,14191,29,83,21.914,21.877,0.101
20,Cpd 20: 22.422,218028,103.96,Sgun_Sample_1_USE_16_1,22.498,32449,22,103.96,22.422,22.38,0.118
21,Cpd 21: 22.538,154007,57.05,Sgun_Sample_1_USE_16_1,22.595,10667,15,57.05,22.538,22.464,0.132
22,Cpd 22: 22.847,106600,57.05,Sgun_Sample_1_USE_16_1,22.913,13354,14,57.05,22.847,22.788,0.126
23,Cpd 23: 22.992,137182,69.03,Sgun_Sample_1_USE_16_1,23.054,7968,23,69.03,22.992,22.931,0.124
24,Cpd 24: 23.143,682014,160.83,Sgun_Sample_1_USE_16_1,23.215,53151,78,160.83,23.143,23.106,0.109
25,Cpd 25: 23.565,2363045,190.92,Sgun_Sample_1_USE_16_1,23.636,705369,21,190.92,23.565,23.527,0.109
26,Cpd 26: 23.668,855052,83,Sgun_Sample_1_USE_16_1,23.733,49123,38,83,23.668,23.63,0.103
27,Cpd 27: 23.693,138432,71.04,Sgun_Sample_1_USE_16_1,23.729,24612,12,71.04,23.693,23.64,0.09
28,Cpd 28: 24.117,130286,71.04,Sgun_Sample_1_USE_16_1,24.16,39318,18,71.04,24.117,24.082,0.078
29,Cpd 29: 24.182,115580,91.06,Sgun_Sample_1_USE_16_1,24.225,7792,28,91.06,24.182,24.114,0.111
30,Cpd 30: 24.504,96521,91.06,Sgun_Sample_1_USE_16_1,24.593,5496,18,91.06,24.504,24.458,0.135
31,Cpd 31: 24.521,188045,57.05,Sgun_Sample_1_USE_16_1,24.584,16447,27,57.05,24.521,24.458,0.126
32,Cpd 32: 25.000,120993,148.94,Sgun_Sample_1_USE_16_1,25.009,15785,16,148.94,25,24.982,0.027
33,Cpd 33: 25.098,300939,82.04,Sgun_Sample_1_USE_16_1,25.166,13795,39,82.04,25.098,25.045,0.12
34,Cpd 34: 25.438,2489998,97.04,Sgun_Sample_1_USE_16_1,25.532,113208,45,97.04,25.438,25.387,0.145
35,Cpd 35: 26.178,111526,57.05,Sgun_Sample_1_USE_16_1,26.232,5184,20,57.05,26.178,26.123,0.109
36,Cpd 36: 26.310,128386,97.04,Sgun_Sample_1_USE_16_1,26.365,4614,23,97.04,26.31,26.257,0.109
37,Cpd 37: 27.513,271821,82.04,Sgun_Sample_1_USE_16_1,27.575,9099,34,82.04,27.513,27.453,0.122
38,Cpd 38: 27.692,117805,97.04,Sgun_Sample_1_USE_16_1,27.748,4152,22,97.04,27.692,27.643,0.105
39,Cpd 39: 27.967,4692019,97.04,Sgun_Sample_1_USE_16_1,28.095,152852,47,97.04,27.967,27.891,0.204
40,Cpd 40: 28.258,614786,57.05,Sgun_Sample_1_USE_16_1,28.504,23011,18,57.05,28.258,28.086,0.418
41,Cpd 41: 28.283,212496,85.04,Sgun_Sample_1_USE_16_1,28.405,15628,20,85.04,28.283,28.248,0.156
42,Cpd 42: 28.534,160181,148.94,Sgun_Sample_1_USE_16_1,28.605,14653,18,148.94,28.534,28.475,0.13
43,Cpd 43: 28.717,144080,207.92,Sgun_Sample_1_USE_16_1,28.754,28878,17,207.92,28.717,28.567,0.187
44,Cpd 44: 28.742,1016095,207,Sgun_Sample_1_USE_16_1,28.763,101090,20,207,28.742,28.704,0.059
45,Cpd 45: 28.759,499769,192.88,Sgun_Sample_1_USE_16_1,28.771,40521,27,192.88,28.759,28.71,0.061
46,Cpd 46: 28.771,1946887,207,Sgun_Sample_1_USE_16_1,28.788,117555,24,207,28.771,28.746,0.042
47,Cpd 47: 28.782,9526815,91.06,Sgun_Sample_1_USE_16_1,29.147,614772,16,91.06,28.782,28.529,0.618
48,Cpd 48: 28.793,2411565,117.1,Sgun_Sample_1_USE_16_1,29.021,193941,12,117.1,28.793,28.519,0.502
49,Cpd 49: 29.764,183634,57.05,Sgun_Sample_1_USE_16_1,29.86,10829,14,57.05,29.764,29.688,0.172
