Score (Bio),"Diff (Bio, mDa)","Diff (Bio, ppm)",Uncertainty,Fit Score,Enzyme,Hits (Bioconfirm),Links,Seq Loc,Rule,Missed,Mods,Significance,Pred Mods,Sequence,Seq Name,Seq Type,Tgt Seq Mass,AGILENTID,CAS,Compound ID,Name,Cpd,HMP,KEGG,Label,LMP,METLIN,MPPID,NCBI ID,Notes,Swiss-Prot,Hits (DB),Mass (DB),"Diff (DB, mDa)",Formula (DB),"Diff (DB, ppm)",RT (DB),RT Diff (DB),Score (DB),Shared (DB),Unique (DB),"Diff (MFG, mDa)",Mass (MFG),Formula (MFG),"Diff (MFG, ppm)",Score (MFG),Tgt Hit Pos,Score Diff,Abund,Algorithm,Area,Avg Mass,Base Peak,Z Count,CE,MS/MS Count,File,End,Formula,FV,Height,ID Source,ID Techniques Applied,Ions,Polarity,Max Z,Min Z,Modified,Mass,Score,m/z,m/z (prod.),Score (MFE),RT,Saturated,Start,Width,Library,Score (Lib),Cpds/Group,Group,Std Dev,Vol %,Vol,Primary Base,Primary Note,ADC% Area,ADC% Height,EIC/TIC% Area,EIC/TIC% Height,TIC% Area,TIC% Height,TWC% Area,TWC% Height,UVA% Area,UVA% Height,UVB% Area,UVB% Height,UVC% Area,UVC% Height,Purity Comments,Purity Result,Purity Value,Score (Frag),FIs Conf.,FIs Conf. %,FIs Eval.,Source,"Diff (Tgt, mDa)",Formula (Tgt),"Diff (Tgt, ppm)",RT (Tgt),RT Diff (Tgt),Score (Tgt),Flags (Tgt),Flag Severity (Tgt),Flag Severity Code (Tgt),Mass (Tgt),Sample Name,Sample Type,Instrument Name,Position,User Name,Acq Method,DA Method,IRM Calibration status
,,,,,,,,,,,,,,,,,,,,,,1,,,Cpd 1: 1.151,,,,,,,,,,,,,,,,,,,,,,,,,Find by Chromatogram Deconvolution,79444,,39.92,,,,D:\2022-08-03_DJ_029.D,1.328,,,18513,,,2,Positive,,,,,,39.92,,,1.151,,1.005,0.323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blank,,Demo Lab 8890 5977B,1,,Microplastics MMU (AN161) 28July.M,Deconvolution_2023-05-22.m,Success
,,,,,,,,,,,,,,,,,,,,,,2,,,Cpd 2: 1.382,,,,,,,,,,,,,,,,,,,,,,,,,Find by Chromatogram Deconvolution,144117,,44,,,,D:\2022-08-03_DJ_029.D,1.497,,,48482,,,1,Positive,,,,,,44,,,1.382,,1.328,0.169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blank,,Demo Lab 8890 5977B,1,,Microplastics MMU (AN161) 28July.M,Deconvolution_2023-05-22.m,Success
,,,,,,,,,,,,,,,,,,,,,,3,,,Cpd 3: 13.432,,,,,,,,,,,,,,,,,,,,,,,,,Find by Chromatogram Deconvolution,3823900,,98.1,,,,D:\2022-08-03_DJ_029.D,13.546,,,788550,,,11,Positive,,,,,,98.1,,,13.432,,13.379,0.167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blank,,Demo Lab 8890 5977B,1,,Microplastics MMU (AN161) 28July.M,Deconvolution_2023-05-22.m,Success
,,,,,,,,,,,,,,,,,,,,,,4,,,Cpd 4: 23.821,,,,,,,,,,,,,,,,,,,,,,,,,Find by Chromatogram Deconvolution,67203,,90.98,,,,D:\2022-08-03_DJ_029.D,23.839,,,7854,,,9,Positive,,,,,,90.98,,,23.821,,23.795,0.044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blank,,Demo Lab 8890 5977B,1,,Microplastics MMU (AN161) 28July.M,Deconvolution_2023-05-22.m,Success
,,,,,,,,,,,,,,,,,,,,,,5,,,Cpd 5: 25.032,,,,,,,,,,,,,,,,,,,,,,,,,Find by Chromatogram Deconvolution,81013,,55,,,,D:\2022-08-03_DJ_029.D,25.093,,,3334,,,14,Positive,,,,,,55,,,25.032,,24.935,0.158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blank,,Demo Lab 8890 5977B,1,,Microplastics MMU (AN161) 28July.M,Deconvolution_2023-05-22.m,Success
,,,,,,,,,,,,,,,,,,,,,,6,,,Cpd 6: 25.062,,,,,,,,,,,,,,,,,,,,,,,,,Find by Chromatogram Deconvolution,83321,,69.01,,,,D:\2022-08-03_DJ_029.D,25.334,,,2729,,,11,Positive,,,,,,69.01,,,25.062,,24.893,0.441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blank,,Demo Lab 8890 5977B,1,,Microplastics MMU (AN161) 28July.M,Deconvolution_2023-05-22.m,Success
,,,,,,,,,,,,,,,,,,,,,,7,,,Cpd 7: 25.084,,,,,,,,,,,,,,,,,,,,,,,,,Find by Chromatogram Deconvolution,44218,,135.94,,,,D:\2022-08-03_DJ_029.D,25.139,,,2383,,,7,Positive,,,,,,135.94,,,25.084,,25.048,0.092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blank,,Demo Lab 8890 5977B,1,,Microplastics MMU (AN161) 28July.M,Deconvolution_2023-05-22.m,Success
,,,,,,,,,,,,,,,,,,,,,,8,,,Cpd 8: 27.238,,,,,,,,,,,,,,,,,,,,,,,,,Find by Chromatogram Deconvolution,70382,,57.03,,,,D:\2022-08-03_DJ_029.D,27.271,,,9607,,,7,Positive,,,,,,57.03,,,27.238,,27.138,0.134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blank,,Demo Lab 8890 5977B,1,,Microplastics MMU (AN161) 28July.M,Deconvolution_2023-05-22.m,Success
,,,,,,,,,,,,,,,,,,,,,,9,,,Cpd 9: 27.296,,,,,,,,,,,,,,,,,,,,,,,,,Find by Chromatogram Deconvolution,96402,,57.03,,,,D:\2022-08-03_DJ_029.D,27.367,,,10591,,,9,Positive,,,,,,57.03,,,27.296,,27.246,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blank,,Demo Lab 8890 5977B,1,,Microplastics MMU (AN161) 28July.M,Deconvolution_2023-05-22.m,Success
,,,,,,,,,,,,,,,,,,,,,,10,,,Cpd 10: 27.314,,,,,,,,,,,,,,,,,,,,,,,,,Find by Chromatogram Deconvolution,56931,,70.99,,,,D:\2022-08-03_DJ_029.D,27.353,,,6413,,,5,Positive,,,,,,70.99,,,27.314,,27.298,0.055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blank,,Demo Lab 8890 5977B,1,,Microplastics MMU (AN161) 28July.M,Deconvolution_2023-05-22.m,Success
