Cpd,Label,Area,Base Peak,File,End,Height,Ions,m/z,RT,Start,Width
1,Cpd 1: 1.370,282399,44,Balloons_Sample_14_USSB_13_2,1.49,75115,1,44,1.37,1.339,0.15
2,Cpd 2: 1.796,363525,42.99,Balloons_Sample_14_USSB_13_2,1.874,46462,15,42.99,1.796,1.754,0.12
3,Cpd 3: 1.894,913731,44,Balloons_Sample_14_USSB_13_2,1.988,272891,5,44,1.894,1.857,0.131
4,Cpd 4: 2.625,546309,42.99,Balloons_Sample_14_USSB_13_2,2.726,65885,13,42.99,2.625,2.574,0.152
5,Cpd 5: 3.064,280737,42.99,Balloons_Sample_14_USSB_13_2,3.151,76227,5,42.99,3.064,3.025,0.126
6,Cpd 6: 4.519,596803,56.02,Balloons_Sample_14_USSB_13_2,4.595,39825,16,56.02,4.519,4.443,0.152
7,Cpd 7: 4.694,393990,57.06,Balloons_Sample_14_USSB_13_2,4.844,31805,11,57.06,4.694,4.618,0.226
8,Cpd 8: 10.245,297967,42.99,Balloons_Sample_14_USSB_13_2,10.543,12989,4,42.99,10.245,10.199,0.344
9,Cpd 9: 13.435,3860367,98.1,Balloons_Sample_14_USSB_13_2,13.54,830235,11,98.1,13.435,13.382,0.158
10,Cpd 10: 13.681,321828,73.85,Balloons_Sample_14_USSB_13_2,13.806,40603,10,73.85,13.681,13.646,0.16
11,Cpd 11: 14.721,223593,44,Balloons_Sample_14_USSB_13_2,14.822,17451,17,44,14.721,14.673,0.148
12,Cpd 12: 18.457,335005,57.06,Balloons_Sample_14_USSB_13_2,18.592,39407,14,57.06,18.457,18.402,0.19
13,Cpd 13: 19.332,242181,57.06,Balloons_Sample_14_USSB_13_2,19.382,20171,29,57.06,19.332,19.3,0.082
14,Cpd 14: 21.916,209463,68.99,Balloons_Sample_14_USSB_13_2,21.977,11868,27,68.99,21.916,21.876,0.101
15,Cpd 15: 23.670,252702,83.04,Balloons_Sample_14_USSB_13_2,23.724,15768,26,83.04,23.67,23.637,0.088
16,Cpd 16: 23.694,278107,57.06,Balloons_Sample_14_USSB_13_2,23.734,26312,21,57.06,23.694,23.638,0.095
17,Cpd 17: 24.708,322705,55.01,Balloons_Sample_14_USSB_13_2,24.793,12200,35,55.01,24.708,24.598,0.195
18,Cpd 18: 24.722,373208,85.07,Balloons_Sample_14_USSB_13_2,24.894,23190,23,85.07,24.722,24.652,0.242
19,Cpd 19: 24.818,238193,85.07,Balloons_Sample_14_USSB_13_2,24.873,24418,17,85.07,24.818,24.786,0.088
20,Cpd 20: 24.912,256695,85.07,Balloons_Sample_14_USSB_13_2,24.952,22211,15,85.07,24.912,24.883,0.069
21,Cpd 21: 24.930,290813,71.1,Balloons_Sample_14_USSB_13_2,24.986,21694,16,71.1,24.93,24.906,0.08
22,Cpd 22: 25.098,304533,82.01,Balloons_Sample_14_USSB_13_2,25.209,11627,36,82.01,25.098,25.049,0.16
23,Cpd 23: 25.461,198145,57.06,Balloons_Sample_14_USSB_13_2,25.541,16268,21,57.06,25.461,25.394,0.147
24,Cpd 24: 25.772,415896,86.92,Balloons_Sample_14_USSB_13_2,25.868,50821,18,86.92,25.772,25.723,0.145
25,Cpd 25: 26.317,396158,97.06,Balloons_Sample_14_USSB_13_2,26.383,14446,42,97.06,26.317,26.265,0.118
26,Cpd 26: 26.697,221642,58.95,Balloons_Sample_14_USSB_13_2,26.878,10159,13,58.95,26.697,26.515,0.363
27,Cpd 27: 28.286,275375,57.06,Balloons_Sample_14_USSB_13_2,28.397,11895,20,57.06,28.286,28.179,0.218
28,Cpd 28: 28.450,216241,85.07,Balloons_Sample_14_USSB_13_2,28.638,8913,21,85.07,28.45,28.342,0.296
29,Cpd 29: 28.466,223935,42.99,Balloons_Sample_14_USSB_13_2,28.506,10752,20,42.99,28.466,28.397,0.109
30,Cpd 30: 28.708,211019,207.95,Balloons_Sample_14_USSB_13_2,28.725,46577,15,207.95,28.708,28.599,0.126
31,Cpd 31: 28.746,862215,194.1,Balloons_Sample_14_USSB_13_2,28.754,124841,15,194.1,28.746,28.563,0.191
32,Cpd 32: 28.770,4243332,194.1,Balloons_Sample_14_USSB_13_2,29.037,152222,26,194.1,28.77,28.75,0.286
33,Cpd 33: 28.781,19244813,91.1,Balloons_Sample_14_USSB_13_2,29.054,1120563,15,91.1,28.781,28.529,0.525
34,Cpd 34: 28.812,224484,220.94,Balloons_Sample_14_USSB_13_2,28.97,14380,27,220.94,28.812,28.798,0.172
35,Cpd 35: 28.830,506067,207.03,Balloons_Sample_14_USSB_13_2,28.983,143325,9,207.03,28.83,28.813,0.17
36,Cpd 36: 29.413,562217,91.1,Balloons_Sample_14_USSB_13_2,29.449,30109,18,91.1,29.413,29.371,0.078
37,Cpd 37: 29.442,464486,57.06,Balloons_Sample_14_USSB_13_2,29.529,9670,45,57.06,29.442,29.384,0.145
38,Cpd 38: 29.766,253281,57.06,Balloons_Sample_14_USSB_13_2,29.79,16118,19,57.06,29.766,29.747,0.044
39,Cpd 39: 29.787,217707,71.1,Balloons_Sample_14_USSB_13_2,29.886,13852,15,71.1,29.787,29.733,0.153
