Cpd,Label,Area,Base Peak,File,End,Height,Ions,m/z,RT,Start,Width
1,Cpd 1: 1.374,186993,44,FPW_Sample_2_USE_07_1,1.484,56223,2,44,1.374,1.332,0.152
2,Cpd 2: 1.505,280017,41.03,FPW_Sample_2_USE_07_1,1.573,60153,7,41.03,1.505,1.473,0.101
3,Cpd 3: 1.795,190449,41.03,FPW_Sample_2_USE_07_1,1.855,37585,10,41.03,1.795,1.743,0.112
4,Cpd 4: 1.896,235759,44,FPW_Sample_2_USE_07_1,1.954,76797,5,44,1.896,1.868,0.086
5,Cpd 5: 2.629,1773531,43.07,FPW_Sample_2_USE_07_1,2.736,251379,12,43.07,2.629,2.572,0.164
6,Cpd 6: 3.063,637460,43.07,FPW_Sample_2_USE_07_1,3.191,177691,6,43.07,3.063,3.02,0.171
7,Cpd 7: 3.360,154558,43.07,FPW_Sample_2_USE_07_1,3.429,19922,8,43.07,3.36,3.317,0.112
8,Cpd 8: 4.494,1903707,56.08,FPW_Sample_2_USE_07_1,4.597,146958,14,56.08,4.494,4.412,0.185
9,Cpd 9: 10.224,469325,43.07,FPW_Sample_2_USE_07_1,10.571,16570,4,43.07,10.224,10.168,0.403
10,Cpd 10: 11.341,284063,43.07,FPW_Sample_2_USE_07_1,11.486,52535,6,43.07,11.341,11.261,0.224
11,Cpd 11: 13.062,1302821,43.07,FPW_Sample_2_USE_07_1,13.147,135617,16,43.07,13.062,13.002,0.145
12,Cpd 12: 13.436,3803640,98.08,FPW_Sample_2_USE_07_1,13.546,809007,11,98.08,13.436,13.383,0.164
13,Cpd 13: 14.433,117771,207,FPW_Sample_2_USE_07_1,14.484,26055,11,207,14.433,14.383,0.101
14,Cpd 14: 14.701,186930,83.09,FPW_Sample_2_USE_07_1,14.753,17171,14,83.09,14.701,14.471,0.282
15,Cpd 15: 15.005,5472152,70.1,FPW_Sample_2_USE_07_1,15.091,566826,19,70.1,15.005,14.958,0.133
16,Cpd 16: 15.783,151434,95.06,FPW_Sample_2_USE_07_1,15.858,25220,12,95.06,15.783,15.74,0.118
17,Cpd 17: 15.995,129895,43.07,FPW_Sample_2_USE_07_1,16.119,14398,7,43.07,15.995,15.957,0.162
18,Cpd 18: 17.202,427216,43.07,FPW_Sample_2_USE_07_1,17.284,77283,17,43.07,17.202,17.164,0.12
19,Cpd 19: 17.695,807134,71.1,FPW_Sample_2_USE_07_1,17.727,95963,21,71.1,17.695,17.636,0.091
20,Cpd 20: 17.752,699323,71.1,FPW_Sample_2_USE_07_1,17.8,106842,19,71.1,17.752,17.723,0.076
21,Cpd 21: 18.458,218108,57.1,FPW_Sample_2_USE_07_1,18.531,40673,18,57.1,18.458,18.414,0.116
22,Cpd 22: 18.633,120742,94.01,FPW_Sample_2_USE_07_1,18.727,26828,11,94.01,18.633,18.601,0.126
23,Cpd 23: 18.653,1584502,69.08,FPW_Sample_2_USE_07_1,18.679,141409,30,69.08,18.653,18.612,0.067
24,Cpd 24: 18.702,1704061,69.08,FPW_Sample_2_USE_07_1,18.795,142745,32,69.08,18.702,18.677,0.118
25,Cpd 25: 19.334,230136,57.1,FPW_Sample_2_USE_07_1,19.384,17182,25,57.1,19.334,19.304,0.08
26,Cpd 26: 20.446,262650,71.1,FPW_Sample_2_USE_07_1,20.498,32891,24,71.1,20.446,20.344,0.154
27,Cpd 27: 20.559,140664,71.1,FPW_Sample_2_USE_07_1,20.589,20130,18,71.1,20.559,20.498,0.091
28,Cpd 28: 21.122,2442126,69.08,FPW_Sample_2_USE_07_1,21.167,208157,34,69.08,21.122,21.083,0.084
29,Cpd 29: 21.205,2334742,69.08,FPW_Sample_2_USE_07_1,21.254,188246,34,69.08,21.205,21.165,0.09
30,Cpd 30: 21.291,2478141,69.08,FPW_Sample_2_USE_07_1,21.357,195362,34,69.08,21.291,21.252,0.105
31,Cpd 31: 21.914,149455,57.1,FPW_Sample_2_USE_07_1,21.973,9896,23,57.1,21.914,21.849,0.124
32,Cpd 32: 22.375,173804,85.1,FPW_Sample_2_USE_07_1,22.431,21634,20,85.1,22.375,22.331,0.099
33,Cpd 33: 22.464,419824,85.1,FPW_Sample_2_USE_07_1,22.509,30075,28,85.1,22.464,22.41,0.099
34,Cpd 34: 22.548,443017,71.1,FPW_Sample_2_USE_07_1,22.591,31723,28,71.1,22.548,22.495,0.095
35,Cpd 35: 22.705,131747,71.1,FPW_Sample_2_USE_07_1,22.755,23768,12,71.1,22.705,22.633,0.122
36,Cpd 36: 22.992,199651,69.08,FPW_Sample_2_USE_07_1,23.079,10750,28,69.08,22.992,22.946,0.134
37,Cpd 37: 23.133,665276,69.08,FPW_Sample_2_USE_07_1,23.18,54731,41,69.08,23.133,23.094,0.086
38,Cpd 38: 23.211,791090,69.08,FPW_Sample_2_USE_07_1,23.243,67044,40,69.08,23.211,23.173,0.071
39,Cpd 39: 23.280,760156,69.08,FPW_Sample_2_USE_07_1,23.323,38281,39,69.08,23.28,23.23,0.094
