Cpd,Label,Area,Base Peak,File,End,Height,Ions,m/z,RT,Start,Width
1,Cpd 1: 1.153,40373,39.92,MPW_Sample_2_USE_18_1,1.231,12107,2,39.92,1.153,1.105,0.126
2,Cpd 2: 1.372,239126,44,MPW_Sample_2_USE_18_1,1.486,67433,2,44,1.372,1.334,0.152
3,Cpd 3: 1.504,128986,41,MPW_Sample_2_USE_18_1,1.558,24273,8,41,1.504,1.472,0.086
4,Cpd 4: 1.645,67470,63.75,MPW_Sample_2_USE_18_1,2.038,8167,5,63.75,1.645,1.602,0.436
5,Cpd 5: 1.795,277258,41,MPW_Sample_2_USE_18_1,1.868,46922,13,41,1.795,1.758,0.11
6,Cpd 6: 1.893,256974,44,MPW_Sample_2_USE_18_1,1.969,83578,6,44,1.893,1.862,0.107
7,Cpd 7: 2.618,385883,44.86,MPW_Sample_2_USE_18_1,2.728,60228,13,44.86,2.618,2.587,0.141
8,Cpd 8: 3.062,441591,43,MPW_Sample_2_USE_18_1,3.171,123504,6,43,3.062,3.025,0.146
9,Cpd 9: 3.362,81857,43,MPW_Sample_2_USE_18_1,3.449,9810,6,43,3.362,3.324,0.126
10,Cpd 10: 4.519,72780,55.97,MPW_Sample_2_USE_18_1,4.652,5630,9,55.97,4.519,4.376,0.276
11,Cpd 11: 4.851,127569,69.01,MPW_Sample_2_USE_18_1,4.939,9610,8,69.01,4.851,4.773,0.166
12,Cpd 12: 5.555,249105,55,MPW_Sample_2_USE_18_1,5.709,15855,9,55,5.555,5.481,0.228
13,Cpd 13: 5.920,292852,43,MPW_Sample_2_USE_18_1,6.033,49670,6,43,5.92,5.84,0.192
14,Cpd 14: 6.099,278635,131.84,MPW_Sample_2_USE_18_1,6.211,37193,16,131.84,6.099,6.01,0.202
15,Cpd 15: 8.333,133832,77.95,MPW_Sample_2_USE_18_1,8.443,15996,5,77.95,8.333,8.231,0.211
16,Cpd 16: 9.494,55046,41,MPW_Sample_2_USE_18_1,9.506,2497,9,41,9.494,9.468,0.038
17,Cpd 17: 10.040,765010,43,MPW_Sample_2_USE_18_1,10.678,37403,8,43,10.04,10.004,0.673
18,Cpd 18: 10.857,253808,55.97,MPW_Sample_2_USE_18_1,11.001,22971,8,55.97,10.857,10.78,0.221
19,Cpd 19: 11.314,213923,43,MPW_Sample_2_USE_18_1,11.524,33227,11,43,11.314,11.134,0.39
20,Cpd 20: 11.629,133394,57.05,MPW_Sample_2_USE_18_1,11.853,14370,8,57.05,11.629,11.57,0.283
21,Cpd 21: 13.433,3897121,98.1,MPW_Sample_2_USE_18_1,13.55,842268,11,98.1,13.433,13.384,0.166
22,Cpd 22: 13.543,39866,90.94,MPW_Sample_2_USE_18_1,13.605,9638,5,90.94,13.543,13.495,0.11
