Cpd,Label,Area,Base Peak,File,End,Height,Ions,m/z,RT,Start,Width
1,Cpd 1: 1.376,274415,44,PBBC_Sample_6_USE_21_2,1.486,73154,2,44,1.376,1.337,0.148
2,Cpd 2: 1.897,614447,44,PBBC_Sample_6_USE_21_2,1.994,187234,5,44,1.897,1.863,0.131
3,Cpd 3: 3.358,432392,43.01,PBBC_Sample_6_USE_21_2,4.085,23935,8,43.01,3.358,3.162,0.923
4,Cpd 4: 10.199,321328,43.01,PBBC_Sample_6_USE_21_2,10.524,16250,3,43.01,10.199,10.162,0.361
5,Cpd 5: 13.430,4081115,98.1,PBBC_Sample_6_USE_21_2,13.541,885175,11,98.1,13.43,13.379,0.162
6,Cpd 6: 14.430,248112,207.03,PBBC_Sample_6_USE_21_2,14.503,51104,19,207.03,14.43,14.374,0.129
7,Cpd 7: 26.317,568713,96.99,PBBC_Sample_6_USE_21_2,26.416,20437,43,96.99,26.317,26.267,0.149
8,Cpd 8: 27.274,288599,57.86,PBBC_Sample_6_USE_21_2,27.345,18648,30,57.86,27.274,27.209,0.135
9,Cpd 9: 28.465,1776046,72.99,PBBC_Sample_6_USE_21_2,28.656,43016,64,72.99,28.465,28.396,0.259
10,Cpd 10: 28.760,2089998,207.03,PBBC_Sample_6_USE_21_2,28.789,240531,18,207.03,28.76,28.549,0.24
11,Cpd 11: 28.766,10830150,117.1,PBBC_Sample_6_USE_21_2,29.029,395360,24,117.1,28.766,28.532,0.498
12,Cpd 12: 28.775,19828973,91.09,PBBC_Sample_6_USE_21_2,29.106,1207607,13,91.09,28.775,28.52,0.586
13,Cpd 13: 29.445,549467,96.99,PBBC_Sample_6_USE_21_2,29.543,14175,38,96.99,29.445,29.375,0.168
