Cpd,Label,Area,Base Peak,File,End,Height,Ions,m/z,RT,Start,Width
1,Cpd 1: 1.795,365869,41.01,PC_Sample_9_USSB_31_3,1.868,38483,10,41.01,1.795,1.754,0.114
2,Cpd 2: 1.855,452574,53.96,PC_Sample_9_USSB_31_3,1.933,74606,11,53.96,1.855,1.817,0.116
3,Cpd 3: 1.895,258099,44,PC_Sample_9_USSB_31_3,1.971,82937,6,44,1.895,1.865,0.107
4,Cpd 4: 2.622,154965,44.87,PC_Sample_9_USSB_31_3,2.736,38542,5,44.87,2.622,2.59,0.147
5,Cpd 5: 3.066,141375,43.02,PC_Sample_9_USSB_31_3,3.151,38070,4,43.02,3.066,3.031,0.12
6,Cpd 6: 3.364,290305,43.02,PC_Sample_9_USSB_31_3,3.539,27497,9,43.02,3.364,3.296,0.244
7,Cpd 7: 8.340,269854,78.1,PC_Sample_9_USSB_31_3,8.52,19670,9,78.1,8.34,8.227,0.293
8,Cpd 8: 13.435,3830363,98.07,PC_Sample_9_USSB_31_3,13.549,798537,11,98.07,13.435,13.38,0.169
9,Cpd 9: 13.543,536782,91.1,PC_Sample_9_USSB_31_3,13.646,119430,11,91.1,13.543,13.49,0.156
10,Cpd 10: 13.823,134458,55.02,PC_Sample_9_USSB_31_3,13.873,10463,14,55.02,13.823,13.77,0.103
11,Cpd 11: 13.974,170450,43.02,PC_Sample_9_USSB_31_3,14.052,18007,14,43.02,13.974,13.92,0.131
12,Cpd 12: 14.434,1341696,207,PC_Sample_9_USSB_31_3,14.533,305838,14,207,14.434,14.377,0.156
13,Cpd 13: 14.757,220347,55.02,PC_Sample_9_USSB_31_3,14.824,42518,9,55.02,14.757,14.683,0.141
14,Cpd 14: 14.989,1442892,78.97,PC_Sample_9_USSB_31_3,15.083,125727,30,78.97,14.989,14.942,0.141
15,Cpd 15: 15.781,161237,95.99,PC_Sample_9_USSB_31_3,15.855,27621,13,95.99,15.781,15.741,0.114
16,Cpd 16: 16.342,12473032,104.1,PC_Sample_9_USSB_31_3,16.422,2813712,15,104.1,16.342,16.302,0.12
17,Cpd 17: 16.772,129124,105.1,PC_Sample_9_USSB_31_3,16.83,28579,20,105.1,16.772,16.734,0.095
18,Cpd 18: 17.231,319602,281,PC_Sample_9_USSB_31_3,17.292,54849,29,281,17.231,17.186,0.107
19,Cpd 19: 17.484,134911,56,PC_Sample_9_USSB_31_3,17.538,9878,21,56,17.484,17.448,0.089
20,Cpd 20: 17.688,243829,55.02,PC_Sample_9_USSB_31_3,17.774,35559,25,55.02,17.688,17.646,0.128
21,Cpd 21: 17.790,130139,105.1,PC_Sample_9_USSB_31_3,17.84,21938,11,105.1,17.79,17.757,0.084
22,Cpd 22: 18.081,126965,41.01,PC_Sample_9_USSB_31_3,18.137,7299,24,41.01,18.081,18.017,0.12
23,Cpd 23: 18.456,229056,57.07,PC_Sample_9_USSB_31_3,18.514,45295,22,57.07,18.456,18.421,0.093
24,Cpd 24: 18.632,159129,94.02,PC_Sample_9_USSB_31_3,18.718,35603,20,94.02,18.632,18.602,0.116
25,Cpd 25: 18.771,152083,70.05,PC_Sample_9_USSB_31_3,18.807,9960,22,70.05,18.771,18.707,0.101
26,Cpd 26: 19.189,138519,72.99,PC_Sample_9_USSB_31_3,19.276,18551,15,72.99,19.189,19.137,0.139
27,Cpd 27: 19.324,917489,106,PC_Sample_9_USSB_31_3,19.407,179953,16,106,19.324,19.287,0.12
28,Cpd 28: 19.331,1106807,57.07,PC_Sample_9_USSB_31_3,19.424,50433,54,57.07,19.331,19.282,0.143
29,Cpd 29: 19.841,158462,91.1,PC_Sample_9_USSB_31_3,19.92,8597,20,91.1,19.841,19.777,0.143
30,Cpd 30: 19.911,215814,55.02,PC_Sample_9_USSB_31_3,19.969,11470,35,55.02,19.911,19.866,0.103
