Cpd,Label,Area,Base Peak,File,End,Height,Ions,m/z,RT,Start,Width
1,Cpd 1: 1.521,144618,41.01,Pbag_Sample_1_USE_12_1,1.633,19280,11,41.01,1.521,1.486,0.146
2,Cpd 2: 1.659,499975,63.84,Pbag_Sample_1_USE_12_1,2.071,55596,7,63.84,1.659,1.608,0.463
3,Cpd 3: 1.717,200681,49.84,Pbag_Sample_1_USE_12_1,1.778,67454,5,49.84,1.717,1.673,0.105
4,Cpd 4: 1.809,317219,41.01,Pbag_Sample_1_USE_12_1,1.871,57776,11,41.01,1.809,1.768,0.103
5,Cpd 5: 1.867,122476,53.96,Pbag_Sample_1_USE_12_1,1.936,21123,7,53.96,1.867,1.831,0.105
6,Cpd 6: 1.913,529667,44,Pbag_Sample_1_USE_12_1,2.01,148122,5,44,1.913,1.879,0.131
7,Cpd 7: 2.052,221349,46.85,Pbag_Sample_1_USE_12_1,2.168,40181,7,46.85,2.052,2.014,0.154
8,Cpd 8: 2.636,303786,44.93,Pbag_Sample_1_USE_12_1,2.748,43917,11,44.93,2.636,2.596,0.152
9,Cpd 9: 2.927,142095,56,Pbag_Sample_1_USE_12_1,3.053,29224,5,56,2.927,2.849,0.204
10,Cpd 10: 3.080,325080,43.03,Pbag_Sample_1_USE_12_1,3.196,90448,4,43.03,3.08,3.04,0.156
11,Cpd 11: 3.330,403475,43.03,Pbag_Sample_1_USE_12_1,3.491,63135,7,43.03,3.33,3.277,0.213
12,Cpd 12: 4.531,102415,56,Pbag_Sample_1_USE_12_1,4.598,5664,10,56,4.531,4.343,0.255
13,Cpd 13: 4.706,83464,41.01,Pbag_Sample_1_USE_12_1,4.906,6194,10,41.01,4.706,4.646,0.261
14,Cpd 14: 5.574,205638,43.03,Pbag_Sample_1_USE_12_1,5.772,16845,11,43.03,5.574,5.508,0.264
15,Cpd 15: 5.947,124738,43.03,Pbag_Sample_1_USE_12_1,6.056,18597,5,43.03,5.947,5.871,0.185
16,Cpd 16: 6.112,85427,131.96,Pbag_Sample_1_USE_12_1,6.259,10735,7,131.96,6.112,6.037,0.223
17,Cpd 17: 6.642,76559,43.03,Pbag_Sample_1_USE_12_1,6.75,5425,11,43.03,6.642,6.061,0.689
18,Cpd 18: 6.845,72784,79,Pbag_Sample_1_USE_12_1,6.969,12376,3,79,6.845,6.767,0.202
19,Cpd 19: 8.346,331814,77.94,Pbag_Sample_1_USE_12_1,8.563,36793,9,77.94,8.346,8.24,0.324
20,Cpd 20: 9.099,93480,42.01,Pbag_Sample_1_USE_12_1,9.233,9905,5,42.01,9.099,8.984,0.249
21,Cpd 21: 9.977,118684,71.1,Pbag_Sample_1_USE_12_1,9.981,5062,9,71.1,9.977,9.935,0.046
22,Cpd 22: 10.240,569626,43.03,Pbag_Sample_1_USE_12_1,10.645,20635,4,43.03,10.24,10.196,0.449
23,Cpd 23: 10.874,116248,56,Pbag_Sample_1_USE_12_1,10.974,8173,9,56,10.874,10.571,0.403
24,Cpd 24: 11.313,257815,43.03,Pbag_Sample_1_USE_12_1,11.53,49120,6,43.03,11.313,11.265,0.264
25,Cpd 25: 11.638,108452,44,Pbag_Sample_1_USE_12_1,11.79,11302,10,44,11.638,11.585,0.205
26,Cpd 26: 11.835,3745068,69.06,Pbag_Sample_1_USE_12_1,11.963,323524,20,69.06,11.835,11.762,0.202
27,Cpd 27: 13.261,117105,55.03,Pbag_Sample_1_USE_12_1,13.408,6231,13,55.03,13.261,13.164,0.244
28,Cpd 28: 13.439,4201287,98.1,Pbag_Sample_1_USE_12_1,13.543,907324,11,98.1,13.439,13.385,0.158
29,Cpd 29: 13.546,149560,91,Pbag_Sample_1_USE_12_1,13.602,25215,10,91,13.546,13.495,0.107
30,Cpd 30: 13.772,282948,69.98,Pbag_Sample_1_USE_12_1,13.811,41322,15,69.98,13.772,13.72,0.091
31,Cpd 31: 13.975,159125,43.03,Pbag_Sample_1_USE_12_1,14.045,18754,12,43.03,13.975,13.927,0.118
32,Cpd 32: 14.164,66912,72.01,Pbag_Sample_1_USE_12_1,14.292,10794,5,72.01,14.164,14.133,0.16
33,Cpd 33: 14.435,95214,207,Pbag_Sample_1_USE_12_1,14.496,21468,9,207,14.435,14.39,0.107
34,Cpd 34: 14.566,104277,43.03,Pbag_Sample_1_USE_12_1,14.635,17237,11,43.03,14.566,14.466,0.169
35,Cpd 35: 14.723,156410,55.03,Pbag_Sample_1_USE_12_1,14.833,11647,14,55.03,14.723,14.675,0.158
36,Cpd 36: 15.141,120549,43.03,Pbag_Sample_1_USE_12_1,15.187,27128,11,43.03,15.141,14.96,0.226
37,Cpd 37: 15.337,85596,95.07,Pbag_Sample_1_USE_12_1,15.501,14367,9,95.07,15.337,15.301,0.2
38,Cpd 38: 15.531,220010,58.87,Pbag_Sample_1_USE_12_1,15.682,17092,17,58.87,15.531,15.501,0.181
