Cpd,Label,Area,Base Peak,File,End,Height,Ions,m/z,RT,Start,Width
1,Cpd 1: 1.173,79551,39.94,Balloons_Sample_3_USE_08_3,1.309,20329,2,39.94,1.173,1.127,0.183
2,Cpd 2: 1.390,282117,44,Balloons_Sample_3_USE_08_3,1.511,69264,2,44,1.39,1.353,0.158
3,Cpd 3: 1.523,77347,41,Balloons_Sample_3_USE_08_3,1.572,13556,8,41,1.523,1.492,0.08
4,Cpd 4: 1.665,123061,63.76,Balloons_Sample_3_USE_08_3,1.924,19591,2,63.76,1.665,1.617,0.306
5,Cpd 5: 1.722,54809,49.84,Balloons_Sample_3_USE_08_3,1.783,17202,5,49.84,1.722,1.678,0.105
6,Cpd 6: 1.814,140194,41,Balloons_Sample_3_USE_08_3,1.878,26594,9,41,1.814,1.775,0.103
7,Cpd 7: 1.914,209667,44,Balloons_Sample_3_USE_08_3,1.979,69227,6,44,1.914,1.878,0.101
8,Cpd 8: 2.056,67735,46.76,Balloons_Sample_3_USE_08_3,2.169,13547,5,46.76,2.056,2.025,0.145
9,Cpd 9: 2.644,99549,44.86,Balloons_Sample_3_USE_08_3,2.748,21195,7,44.86,2.644,2.609,0.139
10,Cpd 10: 2.936,73593,55.96,Balloons_Sample_3_USE_08_3,3.048,9996,6,55.96,2.936,2.818,0.23
11,Cpd 11: 3.086,126009,43.01,Balloons_Sample_3_USE_08_3,3.2,35476,5,43.01,3.086,3.048,0.152
12,Cpd 12: 3.384,218454,43.01,Balloons_Sample_3_USE_08_3,3.649,23545,7,43.01,3.384,3.296,0.354
13,Cpd 13: 4.537,48085,55.96,Balloons_Sample_3_USE_08_3,4.601,4349,7,55.96,4.537,4.475,0.126
14,Cpd 14: 4.707,55948,41,Balloons_Sample_3_USE_08_3,4.789,5408,5,41,4.707,4.639,0.15
15,Cpd 15: 5.577,83342,43.01,Balloons_Sample_3_USE_08_3,5.775,7900,8,43.01,5.577,5.52,0.255
16,Cpd 16: 6.119,90077,131.84,Balloons_Sample_3_USE_08_3,6.243,16571,4,131.84,6.119,6.026,0.217
17,Cpd 17: 8.348,135525,77.95,Balloons_Sample_3_USE_08_3,8.503,16638,7,77.95,8.348,8.246,0.257
18,Cpd 18: 10.329,255102,43.01,Balloons_Sample_3_USE_08_3,10.53,11902,5,43.01,10.329,10.235,0.295
