Cpd,Label,Area,Base Peak,File,End,Height,Ions,m/z,RT,Start,Width
1,Cpd 1: 2.877,39973528,67.08,Balloons_Sample_5_USSB_10_2,3.026,4415429,16,67.08,2.877,2.814,0.211
2,Cpd 2: 3.374,6131374,75.97,Balloons_Sample_5_USSB_10_2,3.488,2144853,5,75.97,3.374,3.32,0.167
3,Cpd 3: 12.709,1248642,81.09,Balloons_Sample_5_USSB_10_2,12.806,182987,19,81.09,12.709,12.643,0.164
4,Cpd 4: 13.331,3527736,79.07,Balloons_Sample_5_USSB_10_2,13.427,479488,18,79.07,13.331,13.269,0.158
5,Cpd 5: 13.437,4078958,98.1,Balloons_Sample_5_USSB_10_2,13.552,842964,11,98.1,13.437,13.385,0.167
6,Cpd 6: 15.863,2087761,91.06,Balloons_Sample_5_USSB_10_2,15.952,420056,20,91.06,15.863,15.823,0.129
7,Cpd 7: 17.180,5936561,68.12,Balloons_Sample_5_USSB_10_2,17.264,420272,34,68.12,17.18,17.136,0.128
8,Cpd 8: 17.868,5767208,107.1,Balloons_Sample_5_USSB_10_2,17.94,465352,34,107.1,17.868,17.829,0.11
9,Cpd 9: 18.075,2604923,107.1,Balloons_Sample_5_USSB_10_2,18.117,230605,28,107.1,18.075,18.035,0.082
10,Cpd 10: 18.201,111096378,67.08,Balloons_Sample_5_USSB_10_2,18.271,7148495,33,67.08,18.201,18.141,0.129
11,Cpd 11: 21.630,2156660,107.1,Balloons_Sample_5_USSB_10_2,21.654,224721,43,107.1,21.63,21.591,0.063
12,Cpd 12: 21.671,1527972,107.1,Balloons_Sample_5_USSB_10_2,21.722,155026,42,107.1,21.671,21.65,0.072
13,Cpd 13: 21.822,5492229,107.1,Balloons_Sample_5_USSB_10_2,21.881,413244,48,107.1,21.822,21.785,0.095
14,Cpd 14: 22.139,1422678,107.1,Balloons_Sample_5_USSB_10_2,22.205,116611,38,107.1,22.139,22.086,0.118
15,Cpd 15: 22.245,5472550,107.1,Balloons_Sample_5_USSB_10_2,22.336,399275,35,107.1,22.245,22.193,0.143
16,Cpd 16: 22.388,1220577,69.1,Balloons_Sample_5_USSB_10_2,22.441,98619,32,69.1,22.388,22.34,0.101
17,Cpd 17: 22.550,1556739,93.09,Balloons_Sample_5_USSB_10_2,22.579,105817,50,93.09,22.55,22.497,0.082
18,Cpd 18: 22.675,5138945,121.1,Balloons_Sample_5_USSB_10_2,22.748,232223,56,121.1,22.675,22.613,0.135
19,Cpd 19: 22.769,1218530,107.1,Balloons_Sample_5_USSB_10_2,22.834,141944,27,107.1,22.769,22.701,0.134
20,Cpd 20: 22.803,3098646,119.1,Balloons_Sample_5_USSB_10_2,22.868,220100,46,119.1,22.803,22.743,0.126
21,Cpd 21: 22.922,9527616,119.1,Balloons_Sample_5_USSB_10_2,22.962,422081,53,119.1,22.922,22.859,0.103
22,Cpd 22: 23.003,2096504,119.1,Balloons_Sample_5_USSB_10_2,23.029,143650,48,119.1,23.003,22.96,0.069
23,Cpd 23: 23.051,1886130,119.1,Balloons_Sample_5_USSB_10_2,23.116,96857,62,119.1,23.051,23.025,0.092
24,Cpd 24: 23.333,29811985,205.2,Balloons_Sample_5_USSB_10_2,23.425,6570264,26,205.2,23.333,23.294,0.132
25,Cpd 25: 23.501,4089569,81.09,Balloons_Sample_5_USSB_10_2,23.582,209919,52,81.09,23.501,23.446,0.135
26,Cpd 26: 23.834,1505383,109.1,Balloons_Sample_5_USSB_10_2,23.863,104723,42,109.1,23.834,23.779,0.084
27,Cpd 27: 23.902,1272420,73,Balloons_Sample_5_USSB_10_2,23.985,90268,42,73,23.902,23.866,0.118
28,Cpd 28: 26.311,1470357,69.1,Balloons_Sample_5_USSB_10_2,26.406,61800,65,69.1,26.311,26.259,0.147
29,Cpd 29: 26.544,1512122,134.1,Balloons_Sample_5_USSB_10_2,26.601,50529,49,134.1,26.544,26.467,0.134
30,Cpd 30: 26.632,1901041,134.1,Balloons_Sample_5_USSB_10_2,26.681,66281,61,134.1,26.632,26.583,0.097
31,Cpd 31: 27.379,20153258,121.1,Balloons_Sample_5_USSB_10_2,27.469,815477,48,121.1,27.379,27.307,0.162
32,Cpd 32: 27.743,7945836,121.1,Balloons_Sample_5_USSB_10_2,27.8,245693,54,121.1,27.743,27.666,0.134
33,Cpd 33: 27.836,1551139,119.1,Balloons_Sample_5_USSB_10_2,27.927,39700,60,119.1,27.836,27.782,0.145
34,Cpd 34: 28.085,1660712,81.09,Balloons_Sample_5_USSB_10_2,28.13,36577,64,81.09,28.085,27.998,0.132
35,Cpd 35: 28.261,17457787,93.09,Balloons_Sample_5_USSB_10_2,28.443,330603,72,93.09,28.261,28.137,0.305
36,Cpd 36: 28.850,3018544,93.09,Balloons_Sample_5_USSB_10_2,28.979,66932,60,93.09,28.85,28.756,0.223
37,Cpd 37: 29.792,2295258,121.1,Balloons_Sample_5_USSB_10_2,29.903,64574,53,121.1,29.792,29.697,0.206
