Cpd,Label,Area,Base Peak,File,End,Height,Ions,m/z,RT,Start,Width
1,Cpd 1: 1.155,101992,39.97,Blank_27,1.201,37345,3,39.97,1.155,1.106,0.095
2,Cpd 2: 1.375,221656,44,Blank_27,1.496,73356,2,44,1.375,1.332,0.164
3,Cpd 3: 1.896,293516,44,Blank_27,1.964,98764,5,44,1.896,1.869,0.095
4,Cpd 4: 2.869,137993,67,Blank_27,2.965,16135,11,67,2.869,2.803,0.162
5,Cpd 5: 3.064,118103,43.01,Blank_27,3.191,31796,4,43.01,3.064,3.03,0.162
6,Cpd 6: 4.681,59907,69.96,Blank_27,4.775,6448,4,69.96,4.681,4.62,0.154
7,Cpd 7: 5.554,78102,55.01,Blank_27,5.726,9534,6,55.01,5.554,5.49,0.236
8,Cpd 8: 6.093,111784,131.96,Blank_27,6.209,20099,6,131.96,6.093,6.002,0.207
9,Cpd 9: 10.285,152492,43.01,Blank_27,10.695,11151,4,43.01,10.285,10.174,0.521
10,Cpd 10: 13.427,3924513,98.1,Blank_27,13.532,835136,11,98.1,13.427,13.374,0.158
11,Cpd 11: 16.431,55710,43.01,Blank_27,16.518,12469,7,43.01,16.431,16.397,0.122
12,Cpd 12: 18.187,73177,67.97,Blank_27,18.26,7265,18,67.97,18.187,18.148,0.112
13,Cpd 13: 19.196,53988,105,Blank_27,19.322,5133,13,105,19.196,19.09,0.232
14,Cpd 14: 20.228,94242,200.1,Blank_27,20.24,18299,5,200.1,20.228,20.218,0.023
15,Cpd 15: 20.278,583867,127.99,Blank_27,20.301,40450,11,127.99,20.278,20.14,0.162
16,Cpd 16: 20.307,170155,127.99,Blank_27,20.319,30566,8,127.99,20.307,20.296,0.023
17,Cpd 17: 20.346,137281,127.99,Blank_27,20.359,29610,6,127.99,20.346,20.336,0.023
18,Cpd 18: 20.415,696069,56,Blank_27,20.496,161121,9,56,20.415,20.357,0.139
19,Cpd 19: 20.586,58821,118.99,Blank_27,20.679,11366,10,118.99,20.586,20.541,0.137
20,Cpd 20: 20.942,616057,56,Blank_27,21.006,208072,7,56,20.942,20.902,0.105
21,Cpd 21: 21.047,83196,56,Blank_27,21.132,25305,9,56,21.047,21.006,0.126
22,Cpd 22: 23.499,63498,92.99,Blank_27,23.623,3043,14,92.99,23.499,23.425,0.199
23,Cpd 23: 23.784,193108,85.03,Blank_27,23.885,17820,14,85.03,23.784,23.662,0.223
24,Cpd 24: 23.803,500566,57.03,Blank_27,23.914,24733,21,57.03,23.803,23.663,0.25
25,Cpd 25: 24.609,93440,55.01,Blank_27,24.662,6819,13,55.01,24.609,24.549,0.113
26,Cpd 26: 24.654,83842,126.97,Blank_27,24.712,9643,7,126.97,24.654,24.62,0.092
27,Cpd 27: 25.002,56602,55.01,Blank_27,25.052,2683,13,55.01,25.002,24.943,0.109
28,Cpd 28: 26.984,114324,71.03,Blank_27,27.099,4422,10,71.03,26.984,26.849,0.25
29,Cpd 29: 27.269,199025,57.03,Blank_27,27.542,11445,11,57.03,27.269,27.099,0.443
30,Cpd 30: 27.294,113217,85.03,Blank_27,27.372,8267,10,85.03,27.294,27.259,0.113
31,Cpd 31: 27.347,74095,71.03,Blank_27,27.559,9180,8,71.03,27.347,27.314,0.244
32,Cpd 32: 27.367,84395,95.1,Blank_27,27.393,6880,6,95.1,27.367,27.343,0.05
33,Cpd 33: 28.998,52444,127.99,Blank_27,29.064,5710,5,127.99,28.998,28.949,0.115
34,Cpd 34: 29.414,506834,200.1,Blank_27,29.421,29300,11,200.1,29.414,29.4,0.021
35,Cpd 35: 29.436,438048,200.1,Blank_27,29.468,29228,11,200.1,29.436,29.421,0.048
36,Cpd 36: 29.435,118872,200.1,Blank_27,29.468,29228,11,200.1,29.435,29.424,0.044
37,Cpd 37: 29.474,83013,200.1,Blank_27,29.485,23736,8,200.1,29.474,29.464,0.021
38,Cpd 38: 29.607,119531,272.97,Blank_27,29.61,11592,11,272.97,29.607,29.531,0.078
39,Cpd 39: 29.632,3301742,127.99,Blank_27,29.886,169329,12,127.99,29.632,29.485,0.401
40,Cpd 40: 29.644,4953630,200.1,Blank_27,29.886,195273,14,200.1,29.644,29.484,0.403
41,Cpd 41: 29.663,684461,200.1,Blank_27,29.816,181388,4,200.1,29.663,29.648,0.168
42,Cpd 42: 29.808,55777,125,Blank_27,29.877,9050,7,125,29.808,29.726,0.151
