Cpd,Label,Area,Base Peak,File,End,Height,Ions,m/z,RT,Start,Width
1,Cpd 1: 1.151,85812,40,Cigs_Sample_1_USE_05_1,1.233,18397,3,40,1.151,1.1,0.133
2,Cpd 2: 1.382,176812,44,Cigs_Sample_1_USE_05_1,1.484,48591,2,44,1.382,1.34,0.145
3,Cpd 3: 1.514,153766,41,Cigs_Sample_1_USE_05_1,1.581,25174,8,41,1.514,1.484,0.097
4,Cpd 4: 1.661,105697,63.76,Cigs_Sample_1_USE_05_1,2.076,13994,3,63.76,1.661,1.612,0.464
5,Cpd 5: 1.806,430004,41,Cigs_Sample_1_USE_05_1,1.884,78911,13,41,1.806,1.766,0.118
6,Cpd 6: 1.903,253029,44,Cigs_Sample_1_USE_05_1,1.979,81836,6,44,1.903,1.871,0.108
7,Cpd 7: 2.561,136961,41.95,Cigs_Sample_1_USE_05_1,2.615,17741,6,41.95,2.561,2.506,0.108
8,Cpd 8: 2.627,561115,44.88,Cigs_Sample_1_USE_05_1,2.742,120979,8,44.88,2.627,2.594,0.148
9,Cpd 9: 2.927,105128,55.99,Cigs_Sample_1_USE_05_1,3.016,10730,7,55.99,2.927,2.814,0.202
10,Cpd 10: 3.001,42317,57.96,Cigs_Sample_1_USE_05_1,3.039,14641,2,57.96,3.001,2.944,0.095
11,Cpd 11: 3.079,148626,43.03,Cigs_Sample_1_USE_05_1,3.149,41908,3,43.03,3.079,3.035,0.114
12,Cpd 12: 3.371,198092,43.03,Cigs_Sample_1_USE_05_1,3.442,18935,7,43.03,3.371,3.326,0.116
13,Cpd 13: 4.530,135007,55.99,Cigs_Sample_1_USE_05_1,4.597,9888,9,55.99,4.53,4.451,0.147
14,Cpd 14: 4.704,103851,57.08,Cigs_Sample_1_USE_05_1,4.77,8959,8,57.08,4.704,4.639,0.131
15,Cpd 15: 4.852,256635,69.05,Cigs_Sample_1_USE_05_1,4.934,17436,11,69.05,4.852,4.778,0.156
16,Cpd 16: 5.578,174479,43.03,Cigs_Sample_1_USE_05_1,5.771,15305,10,43.03,5.578,5.501,0.27
17,Cpd 17: 5.942,124754,43.03,Cigs_Sample_1_USE_05_1,5.95,18026,6,43.03,5.942,5.845,0.105
18,Cpd 18: 8.345,127454,77.94,Cigs_Sample_1_USE_05_1,8.459,15209,7,77.94,8.345,8.231,0.228
19,Cpd 19: 9.521,133834,41,Cigs_Sample_1_USE_05_1,9.662,4485,7,41,9.521,9.384,0.278
20,Cpd 20: 9.967,280667,43.03,Cigs_Sample_1_USE_05_1,10.078,12738,9,43.03,9.967,9.841,0.238
21,Cpd 21: 10.209,384151,43.03,Cigs_Sample_1_USE_05_1,10.577,17175,5,43.03,10.209,10.177,0.4
22,Cpd 22: 10.879,88058,55.99,Cigs_Sample_1_USE_05_1,10.98,6930,6,55.99,10.879,10.567,0.413
23,Cpd 23: 11.638,61285,57.08,Cigs_Sample_1_USE_05_1,11.735,5892,8,57.08,11.638,11.568,0.167
