Cpd,Label,Area,Base Peak,File,End,Height,Ions,m/z,RT,Start,Width
1,Cpd 1: 1.150,125087,39.93,Fishing_Items_Sample_1_USE_15_1,1.239,19078,3,39.93,1.15,1.105,0.133
2,Cpd 2: 1.382,335382,44,Fishing_Items_Sample_1_USE_15_1,1.647,67277,2,44,1.382,1.339,0.308
3,Cpd 3: 1.516,333013,41,Fishing_Items_Sample_1_USE_15_1,1.585,63467,8,41,1.516,1.484,0.101
4,Cpd 4: 1.651,216247,63.97,Fishing_Items_Sample_1_USE_15_1,1.779,54398,5,63.97,1.651,1.611,0.167
5,Cpd 5: 1.715,328899,49.96,Fishing_Items_Sample_1_USE_15_1,1.777,103764,6,49.96,1.715,1.67,0.107
6,Cpd 6: 1.804,196703,41,Fishing_Items_Sample_1_USE_15_1,1.853,39611,9,41,1.804,1.764,0.089
7,Cpd 7: 1.905,376277,44,Fishing_Items_Sample_1_USE_15_1,1.963,123187,5,44,1.905,1.874,0.089
8,Cpd 8: 2.049,156367,46.97,Fishing_Items_Sample_1_USE_15_1,2.148,29333,5,46.97,2.049,2.011,0.137
9,Cpd 9: 2.638,1662280,43.03,Fishing_Items_Sample_1_USE_15_1,2.749,238692,12,43.03,2.638,2.586,0.164
10,Cpd 10: 2.927,81955,56.05,Fishing_Items_Sample_1_USE_15_1,3.038,11473,5,56.05,2.927,2.877,0.162
11,Cpd 11: 3.076,284363,43.03,Fishing_Items_Sample_1_USE_15_1,3.166,79922,5,43.03,3.076,3.037,0.129
12,Cpd 12: 3.202,91159,61.84,Fishing_Items_Sample_1_USE_15_1,3.29,11840,9,61.84,3.202,3.155,0.135
13,Cpd 13: 3.374,173086,43.03,Fishing_Items_Sample_1_USE_15_1,3.501,19740,6,43.03,3.374,3.324,0.177
14,Cpd 14: 4.503,2075770,56.05,Fishing_Items_Sample_1_USE_15_1,4.599,155890,19,56.05,4.503,4.422,0.177
15,Cpd 15: 5.321,59992,82.02,Fishing_Items_Sample_1_USE_15_1,5.704,4305,7,82.02,5.321,5.253,0.451
16,Cpd 16: 6.115,152090,131.95,Fishing_Items_Sample_1_USE_15_1,6.252,19261,12,131.95,6.115,6.018,0.234
17,Cpd 17: 6.813,77240,78.95,Fishing_Items_Sample_1_USE_15_1,7.068,5800,6,78.95,6.813,6.716,0.352
18,Cpd 18: 8.347,117765,77.94,Fishing_Items_Sample_1_USE_15_1,8.447,14272,6,77.94,8.347,8.24,0.207
19,Cpd 19: 10.203,499624,43.03,Fishing_Items_Sample_1_USE_15_1,10.543,17366,4,43.03,10.203,10.159,0.384
20,Cpd 20: 10.622,80696,44.94,Fishing_Items_Sample_1_USE_15_1,10.802,13294,2,44.94,10.622,10.547,0.255
21,Cpd 21: 11.345,309775,43.03,Fishing_Items_Sample_1_USE_15_1,11.456,54975,7,43.03,11.345,11.264,0.192
22,Cpd 22: 13.065,1083810,43.03,Fishing_Items_Sample_1_USE_15_1,13.138,119514,17,43.03,13.065,13.005,0.133
23,Cpd 23: 13.437,3818448,98.1,Fishing_Items_Sample_1_USE_15_1,13.53,816992,11,98.1,13.437,13.386,0.145
24,Cpd 24: 14.435,166103,207,Fishing_Items_Sample_1_USE_15_1,14.51,30304,17,207,14.435,14.381,0.129
