Cpd,Label,Area,Base Peak,File,End,Height,Ions,m/z,RT,Start,Width
1,Cpd 1: 13.438,3731706,98.1,MPW_Sample_1_USE_02_1,13.543,787272,11,98.1,13.438,13.387,0.156
2,Cpd 2: 22.873,718652,134.89,MPW_Sample_1_USE_02_1,22.952,180817,19,134.89,22.873,22.836,0.116
3,Cpd 3: 23.567,2155646,190.92,MPW_Sample_1_USE_02_1,23.633,666708,21,190.92,23.567,23.53,0.103
4,Cpd 4: 23.694,714457,57.07,MPW_Sample_1_USE_02_1,23.732,89933,28,57.07,23.694,23.635,0.097
5,Cpd 5: 25.462,2200047,57.07,MPW_Sample_1_USE_02_1,25.525,197424,40,57.07,25.462,25.403,0.122
6,Cpd 6: 27.997,4519624,57.07,MPW_Sample_1_USE_02_1,28.094,251082,41,57.07,27.997,27.922,0.172
7,Cpd 7: 28.740,421953,116.09,MPW_Sample_1_USE_02_1,28.756,68553,18,116.09,28.74,28.552,0.204
8,Cpd 8: 28.753,738865,178.08,MPW_Sample_1_USE_02_1,28.785,45936,36,178.08,28.753,28.599,0.185
9,Cpd 9: 28.762,4253026,117.09,MPW_Sample_1_USE_02_1,28.775,713970,10,117.09,28.762,28.563,0.212
10,Cpd 10: 28.778,7791506,207.1,MPW_Sample_1_USE_02_1,28.804,459737,19,207.1,28.778,28.548,0.256
11,Cpd 11: 28.792,37640339,91.1,MPW_Sample_1_USE_02_1,29.193,2249204,19,91.1,28.792,28.529,0.664
12,Cpd 12: 28.806,6347383,207.1,MPW_Sample_1_USE_02_1,28.813,443499,21,207.1,28.806,28.802,0.011
13,Cpd 13: 28.814,559724,312.19,MPW_Sample_1_USE_02_1,28.998,51315,36,312.19,28.814,28.773,0.225
