Cpd,Label,Area,Base Peak,File,End,Height,Ions,m/z,RT,Start,Width
1,Cpd 1: 1.149,85450,39.95,PBBC_Sample_1_USE_14_1,1.233,19146,2,39.95,1.149,1.117,0.116
2,Cpd 2: 1.385,357421,44,PBBC_Sample_1_USE_14_1,1.576,76691,2,44,1.385,1.345,0.23
3,Cpd 3: 1.516,50065,41,PBBC_Sample_1_USE_14_1,1.568,10178,7,41,1.516,1.486,0.082
4,Cpd 4: 1.805,87986,41,PBBC_Sample_1_USE_14_1,1.859,12858,10,41,1.805,1.764,0.095
5,Cpd 5: 1.907,194942,44,PBBC_Sample_1_USE_14_1,1.981,57027,5,44,1.907,1.871,0.11
6,Cpd 6: 2.630,125337,44.87,PBBC_Sample_1_USE_14_1,2.75,29857,5,44.87,2.63,2.592,0.158
7,Cpd 7: 3.075,195666,43.03,PBBC_Sample_1_USE_14_1,3.178,53780,6,43.03,3.075,3.037,0.141
8,Cpd 8: 3.374,119902,43.03,PBBC_Sample_1_USE_14_1,3.503,10909,7,43.03,3.374,3.313,0.19
9,Cpd 9: 3.455,62132,66,PBBC_Sample_1_USE_14_1,3.53,10274,5,66,3.455,3.395,0.135
10,Cpd 10: 4.527,68713,56.03,PBBC_Sample_1_USE_14_1,4.631,5165,9,56.03,4.527,4.458,0.173
11,Cpd 11: 5.659,51379,43.03,PBBC_Sample_1_USE_14_1,5.938,5285,8,43.03,5.659,5.257,0.681
12,Cpd 12: 6.107,144510,131.96,PBBC_Sample_1_USE_14_1,6.214,25473,8,131.96,6.107,6.01,0.204
13,Cpd 13: 8.338,178073,77.95,PBBC_Sample_1_USE_14_1,8.451,19418,9,77.95,8.338,8.238,0.213
14,Cpd 14: 10.279,170383,43.03,PBBC_Sample_1_USE_14_1,10.555,9829,4,43.03,10.279,10.197,0.358
15,Cpd 15: 11.630,48246,44,PBBC_Sample_1_USE_14_1,11.743,5850,6,44,11.63,11.559,0.185
16,Cpd 16: 13.431,3810892,98.08,PBBC_Sample_1_USE_14_1,13.545,836851,11,98.08,13.431,13.38,0.166
17,Cpd 17: 13.817,61256,55.01,PBBC_Sample_1_USE_14_1,13.863,4700,10,55.01,13.817,13.733,0.129
18,Cpd 18: 13.969,59754,43.03,PBBC_Sample_1_USE_14_1,14.049,7148,10,43.03,13.969,13.927,0.122
19,Cpd 19: 14.432,206623,207,PBBC_Sample_1_USE_14_1,14.496,41852,16,207,14.432,14.374,0.122
20,Cpd 20: 14.755,136559,55.01,PBBC_Sample_1_USE_14_1,14.835,17417,13,55.01,14.755,14.675,0.16
21,Cpd 21: 14.899,40220,43.03,PBBC_Sample_1_USE_14_1,14.993,7339,6,43.03,14.899,14.844,0.148
22,Cpd 22: 15.530,50084,112.02,PBBC_Sample_1_USE_14_1,15.569,7614,9,112.02,15.53,15.497,0.072
23,Cpd 23: 15.783,115565,95.99,PBBC_Sample_1_USE_14_1,15.864,19431,9,95.99,15.783,15.744,0.12
24,Cpd 24: 15.846,146246,56.03,PBBC_Sample_1_USE_14_1,15.894,21060,16,56.03,15.846,15.742,0.152
25,Cpd 25: 15.936,67593,56.03,PBBC_Sample_1_USE_14_1,15.974,6590,13,56.03,15.936,15.894,0.08
26,Cpd 26: 16.031,65325,57.07,PBBC_Sample_1_USE_14_1,16.09,7934,12,57.07,16.031,15.965,0.126
27,Cpd 27: 16.306,101258,98.08,PBBC_Sample_1_USE_14_1,16.376,13363,15,98.08,16.306,16.271,0.105
28,Cpd 28: 16.614,50671,69.97,PBBC_Sample_1_USE_14_1,16.663,4683,12,69.97,16.614,16.534,0.129
29,Cpd 29: 17.233,41026,281,PBBC_Sample_1_USE_14_1,17.289,10906,8,281,17.233,17.188,0.101
30,Cpd 30: 17.484,83440,56.03,PBBC_Sample_1_USE_14_1,17.523,7167,18,56.03,17.484,17.445,0.078
31,Cpd 31: 17.558,51935,57.07,PBBC_Sample_1_USE_14_1,17.599,9325,10,57.07,17.558,17.516,0.084
32,Cpd 32: 17.692,112360,55.01,PBBC_Sample_1_USE_14_1,17.78,30285,10,55.01,17.692,17.651,0.129
33,Cpd 33: 17.792,47012,76.86,PBBC_Sample_1_USE_14_1,17.837,8409,6,76.86,17.792,17.761,0.076
34,Cpd 34: 18.082,66753,43.03,PBBC_Sample_1_USE_14_1,18.145,4613,16,43.03,18.082,18.033,0.112
35,Cpd 35: 18.458,86911,57.07,PBBC_Sample_1_USE_14_1,18.511,15953,14,57.07,18.458,18.397,0.114
36,Cpd 36: 18.633,81499,93.88,PBBC_Sample_1_USE_14_1,18.732,20531,9,93.88,18.633,18.598,0.133
37,Cpd 37: 18.773,97148,55.01,PBBC_Sample_1_USE_14_1,18.893,6853,18,55.01,18.773,18.72,0.173
38,Cpd 38: 18.832,48331,57.07,PBBC_Sample_1_USE_14_1,18.893,9790,8,57.07,18.832,18.798,0.095
39,Cpd 39: 19.201,50528,104.87,PBBC_Sample_1_USE_14_1,19.274,5670,9,104.87,19.201,19.143,0.131
40,Cpd 40: 19.334,167445,57.07,PBBC_Sample_1_USE_14_1,19.379,14770,26,57.07,19.334,19.297,0.082
41,Cpd 41: 19.912,101473,55.01,PBBC_Sample_1_USE_14_1,19.946,7315,21,55.01,19.912,19.876,0.07
42,Cpd 42: 19.961,147935,57.07,PBBC_Sample_1_USE_14_1,20.022,25298,18,57.07,19.961,19.933,0.09
43,Cpd 43: 20.059,53397,44,PBBC_Sample_1_USE_14_1,20.131,9329,11,44,20.059,20.005,0.126
44,Cpd 44: 20.209,65120,146.91,PBBC_Sample_1_USE_14_1,20.3,8490,8,146.91,20.209,20.157,0.143
45,Cpd 45: 20.371,87886,120.93,PBBC_Sample_1_USE_14_1,20.449,11511,10,120.93,20.371,20.323,0.126
46,Cpd 46: 20.454,91081,57.07,PBBC_Sample_1_USE_14_1,20.515,6085,23,57.07,20.454,20.399,0.116
47,Cpd 47: 20.952,114229,56.03,PBBC_Sample_1_USE_14_1,21.016,7478,24,56.03,20.952,20.902,0.114
48,Cpd 48: 20.995,126709,57.07,PBBC_Sample_1_USE_14_1,21.071,14427,24,57.07,20.995,20.934,0.137
49,Cpd 49: 21.135,130441,132.92,PBBC_Sample_1_USE_14_1,21.228,19509,18,132.92,21.135,21.073,0.154
50,Cpd 50: 21.486,81346,57.07,PBBC_Sample_1_USE_14_1,21.572,4590,21,57.07,21.486,21.429,0.143
51,Cpd 51: 21.750,147920,112.97,PBBC_Sample_1_USE_14_1,21.793,15521,15,112.97,21.75,21.711,0.082
52,Cpd 52: 21.788,431312,39.95,PBBC_Sample_1_USE_14_1,21.841,277356,3,39.95,21.788,21.763,0.078
53,Cpd 53: 21.919,233995,69.02,PBBC_Sample_1_USE_14_1,21.982,15160,28,69.02,21.919,21.871,0.111
54,Cpd 54: 21.955,871520,57.07,PBBC_Sample_1_USE_14_1,22.02,124523,29,57.07,21.955,21.919,0.101
55,Cpd 55: 22.250,67580,87.77,PBBC_Sample_1_USE_14_1,22.296,10827,12,87.77,22.25,22.214,0.082
56,Cpd 56: 22.442,160723,57.07,PBBC_Sample_1_USE_14_1,22.481,7137,31,57.07,22.442,22.355,0.126
57,Cpd 57: 22.484,49514,134.89,PBBC_Sample_1_USE_14_1,22.536,9242,14,134.89,22.484,22.441,0.095
58,Cpd 58: 22.823,155757,83.04,PBBC_Sample_1_USE_14_1,22.898,10189,21,83.04,22.823,22.786,0.112
59,Cpd 59: 22.853,205026,57.07,PBBC_Sample_1_USE_14_1,22.896,27247,19,57.07,22.853,22.803,0.093
60,Cpd 60: 22.960,42068,58.03,PBBC_Sample_1_USE_14_1,23.036,24012,2,58.03,22.96,22.931,0.105
61,Cpd 61: 22.998,83165,69.02,PBBC_Sample_1_USE_14_1,23.045,6146,18,69.02,22.998,22.963,0.082
62,Cpd 62: 23.341,93707,57.07,PBBC_Sample_1_USE_14_1,23.371,5914,27,57.07,23.341,23.304,0.067
63,Cpd 63: 23.570,120836,190.89,PBBC_Sample_1_USE_14_1,23.621,31866,23,190.89,23.57,23.533,0.088
64,Cpd 64: 23.697,2233303,57.07,PBBC_Sample_1_USE_14_1,23.758,274777,33,57.07,23.697,23.655,0.103
65,Cpd 65: 24.121,268244,71.1,PBBC_Sample_1_USE_14_1,24.197,82747,17,71.1,24.121,24.082,0.114
66,Cpd 66: 24.187,157363,82.02,PBBC_Sample_1_USE_14_1,24.227,8327,34,82.02,24.187,24.145,0.082
67,Cpd 67: 24.356,551863,156.97,PBBC_Sample_1_USE_14_1,24.569,24723,18,156.97,24.356,24.25,0.319
68,Cpd 68: 24.376,224385,112.02,PBBC_Sample_1_USE_14_1,24.481,29335,12,112.02,24.376,24.271,0.21
69,Cpd 69: 24.503,133871,83.04,PBBC_Sample_1_USE_14_1,24.546,8139,21,83.04,24.503,24.46,0.086
70,Cpd 70: 24.522,165445,57.07,PBBC_Sample_1_USE_14_1,24.553,21298,16,57.07,24.522,24.471,0.082
71,Cpd 71: 24.727,55578,55.01,PBBC_Sample_1_USE_14_1,24.756,5048,13,55.01,24.727,24.691,0.065
72,Cpd 72: 24.916,47015,71.1,PBBC_Sample_1_USE_14_1,24.962,4652,3,71.1,24.916,24.893,0.069
73,Cpd 73: 24.941,71726,71.1,PBBC_Sample_1_USE_14_1,24.986,4652,9,71.1,24.941,24.807,0.179
74,Cpd 74: 25.100,421107,82.02,PBBC_Sample_1_USE_14_1,25.164,19821,46,82.02,25.1,25.057,0.107
75,Cpd 75: 25.200,94804,57.07,PBBC_Sample_1_USE_14_1,25.242,5936,21,57.07,25.2,25.16,0.082
76,Cpd 76: 25.463,3226336,57.07,PBBC_Sample_1_USE_14_1,25.536,288144,39,57.07,25.463,25.414,0.122
77,Cpd 77: 25.742,55517,99.1,PBBC_Sample_1_USE_14_1,25.814,4256,16,99.1,25.742,25.7,0.114
78,Cpd 78: 25.924,45242,69.97,PBBC_Sample_1_USE_14_1,25.954,2789,14,69.97,25.924,25.879,0.074
79,Cpd 79: 26.182,322353,82.02,PBBC_Sample_1_USE_14_1,26.24,12918,35,82.02,26.182,26.135,0.105
80,Cpd 80: 26.318,899331,97.05,PBBC_Sample_1_USE_14_1,26.402,33751,59,97.05,26.318,26.261,0.141
