Cpd,Label,Area,Base Peak,File,End,Height,Ions,m/z,RT,Start,Width
1,Cpd 1: 1.171,51700,39.94,PBBC_Sample_7_USE_21_3,1.212,17299,2,39.94,1.171,1.134,0.078
2,Cpd 2: 1.388,192520,44,PBBC_Sample_7_USE_21_3,1.427,71662,1,44,1.388,1.349,0.078
3,Cpd 3: 1.813,57758,41,PBBC_Sample_7_USE_21_3,1.869,11751,7,41,1.813,1.762,0.107
4,Cpd 4: 1.911,611004,44,PBBC_Sample_7_USE_21_3,2.008,186125,5,44,1.911,1.876,0.131
5,Cpd 5: 2.017,76552,64.78,PBBC_Sample_7_USE_21_3,2.141,10964,7,64.78,2.017,1.973,0.167
6,Cpd 6: 2.639,159016,44.87,PBBC_Sample_7_USE_21_3,2.744,43616,5,44.87,2.639,2.597,0.147
7,Cpd 7: 2.940,57704,56,PBBC_Sample_7_USE_21_3,3.046,7132,6,56,2.94,2.812,0.234
8,Cpd 8: 3.082,221846,42.99,PBBC_Sample_7_USE_21_3,3.168,61425,5,42.99,3.082,3.046,0.122
9,Cpd 9: 3.380,133411,42.99,PBBC_Sample_7_USE_21_3,3.652,13378,6,42.99,3.38,3.303,0.348
10,Cpd 10: 3.844,46786,58.9,PBBC_Sample_7_USE_21_3,3.952,10943,3,58.9,3.844,3.771,0.181
11,Cpd 11: 5.685,47252,42.99,PBBC_Sample_7_USE_21_3,5.752,7090,5,42.99,5.685,5.516,0.236
12,Cpd 12: 6.112,85618,131.95,PBBC_Sample_7_USE_21_3,6.22,16341,4,131.95,6.112,6.022,0.198
13,Cpd 13: 8.359,170304,77.85,PBBC_Sample_7_USE_21_3,8.476,21278,9,77.85,8.359,8.249,0.226
14,Cpd 14: 10.283,291667,42.99,PBBC_Sample_7_USE_21_3,10.747,12120,5,42.99,10.283,10.239,0.508
15,Cpd 15: 10.875,46110,56,PBBC_Sample_7_USE_21_3,11.044,4635,5,56,10.875,10.806,0.238
16,Cpd 16: 12.349,52790,44,PBBC_Sample_7_USE_21_3,12.436,4371,2,44,12.349,12.324,0.112
17,Cpd 17: 13.438,4070183,98.1,PBBC_Sample_7_USE_21_3,13.541,858741,11,98.1,13.438,13.385,0.156
18,Cpd 18: 14.435,205570,207,PBBC_Sample_7_USE_21_3,14.538,41258,18,207,14.435,14.38,0.158
19,Cpd 19: 14.760,79437,55,PBBC_Sample_7_USE_21_3,14.843,10997,11,55,14.76,14.69,0.152
20,Cpd 20: 15.783,91236,95.99,PBBC_Sample_7_USE_21_3,15.864,15648,9,95.99,15.783,15.746,0.118
21,Cpd 21: 15.935,43332,56,PBBC_Sample_7_USE_21_3,15.975,4624,11,56,15.935,15.904,0.07
22,Cpd 22: 16.307,55436,98.1,PBBC_Sample_7_USE_21_3,16.376,6147,13,98.1,16.307,16.269,0.107
23,Cpd 23: 16.342,55261,103.96,PBBC_Sample_7_USE_21_3,16.384,10113,11,103.96,16.342,16.304,0.08
24,Cpd 24: 17.484,49637,56,PBBC_Sample_7_USE_21_3,17.562,4698,13,56,17.484,17.432,0.129
25,Cpd 25: 17.693,72946,55,PBBC_Sample_7_USE_21_3,17.767,20177,7,55,17.693,17.66,0.107
26,Cpd 26: 17.791,43373,104.87,PBBC_Sample_7_USE_21_3,17.883,8200,6,104.87,17.791,17.758,0.126
27,Cpd 27: 18.081,45130,59.86,PBBC_Sample_7_USE_21_3,18.18,3036,14,59.86,18.081,18.03,0.15
28,Cpd 28: 18.457,77181,56.99,PBBC_Sample_7_USE_21_3,18.511,15609,11,56.99,18.457,18.422,0.089
29,Cpd 29: 18.634,58968,93.87,PBBC_Sample_7_USE_21_3,18.73,16836,5,93.87,18.634,18.603,0.128
30,Cpd 30: 18.769,52073,55,PBBC_Sample_7_USE_21_3,18.852,4160,13,55,18.769,18.719,0.133
31,Cpd 31: 19.333,82216,56.99,PBBC_Sample_7_USE_21_3,19.379,7389,21,56.99,19.333,19.299,0.08
32,Cpd 32: 19.912,67159,55,PBBC_Sample_7_USE_21_3,19.985,4550,17,55,19.912,19.868,0.116
33,Cpd 33: 20.569,44755,104.87,PBBC_Sample_7_USE_21_3,20.681,5760,6,104.87,20.569,20.521,0.16
34,Cpd 34: 20.949,72842,56,PBBC_Sample_7_USE_21_3,21.001,5738,20,56,20.949,20.902,0.099
35,Cpd 35: 20.997,57068,87.77,PBBC_Sample_7_USE_21_3,21.074,4417,16,87.77,20.997,20.946,0.128
36,Cpd 36: 21.746,82686,113.01,PBBC_Sample_7_USE_21_3,21.811,8943,11,113.01,21.746,21.706,0.105
37,Cpd 37: 21.915,173487,83,PBBC_Sample_7_USE_21_3,21.984,9123,27,83,21.915,21.877,0.107
38,Cpd 38: 22.245,64455,87.77,PBBC_Sample_7_USE_21_3,22.289,9913,13,87.77,22.245,22.203,0.086
39,Cpd 39: 22.427,70654,103.96,PBBC_Sample_7_USE_21_3,22.473,5068,23,103.96,22.427,22.386,0.088
40,Cpd 40: 22.819,89135,83,PBBC_Sample_7_USE_21_3,22.908,6215,19,83,22.819,22.782,0.126
41,Cpd 41: 22.872,88523,134.89,PBBC_Sample_7_USE_21_3,22.919,6507,15,134.89,22.872,22.826,0.093
42,Cpd 42: 22.956,44057,57.94,PBBC_Sample_7_USE_21_3,23.034,27485,1,57.94,22.956,22.921,0.112
