Cpd,Label,Area,Base Peak,File,End,Height,Ions,m/z,RT,Start,Width
1,Cpd 1: 1.374,230036,44,PC_Sample_2_USE_04_2,1.475,65170,1,44,1.374,1.287,0.188
2,Cpd 2: 1.506,777154,40.99,PC_Sample_2_USE_04_2,1.599,153870,7,40.99,1.506,1.472,0.127
3,Cpd 3: 1.795,397393,40.99,PC_Sample_2_USE_04_2,1.858,76151,13,40.99,1.795,1.755,0.103
4,Cpd 4: 1.897,325279,44,PC_Sample_2_USE_04_2,1.978,103499,5,44,1.897,1.863,0.114
5,Cpd 5: 2.629,3632703,43.02,PC_Sample_2_USE_04_2,2.704,546594,10,43.02,2.629,2.573,0.131
6,Cpd 6: 3.062,2066825,43.02,PC_Sample_2_USE_04_2,3.183,589875,5,43.02,3.062,3.018,0.165
7,Cpd 7: 3.364,200773,40.99,PC_Sample_2_USE_04_2,3.495,19153,7,40.99,3.364,3.303,0.192
8,Cpd 8: 3.845,264681,43.02,PC_Sample_2_USE_04_2,3.959,21088,10,43.02,3.845,3.733,0.226
9,Cpd 9: 4.494,3940973,55.98,PC_Sample_2_USE_04_2,4.598,284072,18,55.98,4.494,4.415,0.183
10,Cpd 10: 4.692,311410,40.99,PC_Sample_2_USE_04_2,4.798,26898,10,40.99,4.692,4.619,0.179
11,Cpd 11: 5.943,181243,43.02,PC_Sample_2_USE_04_2,6.035,22608,7,43.02,5.943,5.849,0.186
12,Cpd 12: 6.097,124219,131.84,PC_Sample_2_USE_04_2,6.203,19436,8,131.84,6.097,6.012,0.19
13,Cpd 13: 6.798,155774,55.98,PC_Sample_2_USE_04_2,6.976,9867,9,55.98,6.798,6.68,0.297
14,Cpd 14: 8.324,155997,77.78,PC_Sample_2_USE_04_2,8.537,17633,8,77.78,8.324,8.225,0.312
15,Cpd 15: 10.204,408540,43.02,PC_Sample_2_USE_04_2,10.556,25263,8,43.02,10.204,10.111,0.445
16,Cpd 16: 11.337,355926,43.02,PC_Sample_2_USE_04_2,11.513,61481,9,43.02,11.337,11.273,0.24
17,Cpd 17: 11.617,366502,96.03,PC_Sample_2_USE_04_2,11.729,30747,18,96.03,11.617,11.543,0.186
18,Cpd 18: 13.063,2499240,43.02,PC_Sample_2_USE_04_2,13.154,292207,15,43.02,13.063,13.005,0.148
19,Cpd 19: 13.277,119143,43.02,PC_Sample_2_USE_04_2,13.384,19102,12,43.02,13.277,13.218,0.165
20,Cpd 20: 13.436,3597850,98.1,PC_Sample_2_USE_04_2,13.547,731617,14,98.1,13.436,13.386,0.162
21,Cpd 21: 13.662,189865,43.02,PC_Sample_2_USE_04_2,13.73,59724,10,43.02,13.662,13.61,0.12
22,Cpd 22: 14.376,160261,85.06,PC_Sample_2_USE_04_2,14.411,17894,13,85.06,14.376,14.249,0.162
23,Cpd 23: 14.435,803270,207,PC_Sample_2_USE_04_2,14.494,118696,31,207,14.435,14.382,0.112
24,Cpd 24: 14.514,381435,43.02,PC_Sample_2_USE_04_2,14.664,47951,17,43.02,14.514,14.474,0.19
25,Cpd 25: 14.701,258007,83.1,PC_Sample_2_USE_04_2,14.744,39013,13,83.1,14.701,14.656,0.087
26,Cpd 26: 14.758,136985,54.99,PC_Sample_2_USE_04_2,14.797,30780,9,54.99,14.758,14.725,0.072
27,Cpd 27: 15.006,11563030,70.1,PC_Sample_2_USE_04_2,15.099,1155237,18,70.1,15.006,14.96,0.139
28,Cpd 28: 15.352,196371,69.05,PC_Sample_2_USE_04_2,15.442,20148,16,69.05,15.352,15.307,0.135
29,Cpd 29: 15.785,148111,96.03,PC_Sample_2_USE_04_2,15.864,17495,16,96.03,15.785,15.74,0.124
30,Cpd 30: 15.935,126327,55.98,PC_Sample_2_USE_04_2,15.969,11603,15,55.98,15.935,15.883,0.086
31,Cpd 31: 15.995,317955,43.02,PC_Sample_2_USE_04_2,16.064,32814,17,43.02,15.995,15.959,0.105
32,Cpd 32: 16.065,178344,43.02,PC_Sample_2_USE_04_2,16.13,40991,13,43.02,16.065,16.024,0.107
33,Cpd 33: 16.341,380209,103.97,PC_Sample_2_USE_04_2,16.427,60691,21,103.97,16.341,16.302,0.126
34,Cpd 34: 16.584,128507,43.02,PC_Sample_2_USE_04_2,16.654,19883,16,43.02,16.584,16.534,0.12
35,Cpd 35: 17.202,463631,43.02,PC_Sample_2_USE_04_2,17.268,88771,20,43.02,17.202,17.164,0.105
36,Cpd 36: 17.234,129779,280.91,PC_Sample_2_USE_04_2,17.301,21689,19,280.91,17.234,17.188,0.112
37,Cpd 37: 17.458,209837,104.86,PC_Sample_2_USE_04_2,17.519,48080,21,104.86,17.458,17.422,0.097
38,Cpd 38: 17.483,212008,54.99,PC_Sample_2_USE_04_2,17.533,14551,22,54.99,17.483,17.428,0.105
39,Cpd 39: 17.561,154933,43.02,PC_Sample_2_USE_04_2,17.63,11694,17,43.02,17.561,17.519,0.11
40,Cpd 40: 17.695,1410563,71.1,PC_Sample_2_USE_04_2,17.725,176172,21,71.1,17.695,17.657,0.069
41,Cpd 41: 17.752,1347868,71.1,PC_Sample_2_USE_04_2,17.803,191138,18,71.1,17.752,17.723,0.08
42,Cpd 42: 17.791,155277,76.87,PC_Sample_2_USE_04_2,17.843,22795,14,76.87,17.791,17.754,0.089
43,Cpd 43: 17.921,132026,43.02,PC_Sample_2_USE_04_2,17.999,15488,17,43.02,17.921,17.87,0.129
44,Cpd 44: 18.109,121683,43.02,PC_Sample_2_USE_04_2,18.168,15887,15,43.02,18.109,18.062,0.107
45,Cpd 45: 18.187,291665,68.05,PC_Sample_2_USE_04_2,18.25,26765,32,68.05,18.187,18.148,0.103
46,Cpd 46: 18.328,227749,57.1,PC_Sample_2_USE_04_2,18.38,20334,21,57.1,18.328,18.29,0.089
47,Cpd 47: 18.458,145708,57.1,PC_Sample_2_USE_04_2,18.534,19757,22,57.1,18.458,18.42,0.114
48,Cpd 48: 18.634,144906,93.86,PC_Sample_2_USE_04_2,18.686,29221,18,93.86,18.634,18.601,0.086
49,Cpd 49: 18.653,2978777,69.05,PC_Sample_2_USE_04_2,18.679,264024,29,69.05,18.653,18.606,0.072
50,Cpd 50: 18.703,3223922,69.05,PC_Sample_2_USE_04_2,18.757,270942,34,69.05,18.703,18.675,0.082
51,Cpd 51: 18.772,155341,54.99,PC_Sample_2_USE_04_2,18.818,12238,24,54.99,18.772,18.74,0.078
52,Cpd 52: 18.868,189791,43.02,PC_Sample_2_USE_04_2,18.913,19473,21,43.02,18.868,18.84,0.072
53,Cpd 53: 19.236,335917,43.02,PC_Sample_2_USE_04_2,19.286,53280,33,43.02,19.236,19.187,0.099
54,Cpd 54: 19.285,184502,122.95,PC_Sample_2_USE_04_2,19.318,59323,11,122.95,19.285,19.257,0.061
55,Cpd 55: 19.331,246139,43.02,PC_Sample_2_USE_04_2,19.372,17704,27,43.02,19.331,19.261,0.11
56,Cpd 56: 19.427,125556,43.02,PC_Sample_2_USE_04_2,19.473,33945,16,43.02,19.427,19.381,0.091
57,Cpd 57: 19.893,163302,43.02,PC_Sample_2_USE_04_2,19.933,39285,16,43.02,19.893,19.857,0.076
58,Cpd 58: 19.911,165673,54.99,PC_Sample_2_USE_04_2,19.964,11786,20,54.99,19.911,19.857,0.107
59,Cpd 59: 19.962,131352,57.1,PC_Sample_2_USE_04_2,20.017,18714,20,57.1,19.962,19.931,0.086
60,Cpd 60: 20.143,129886,43.02,PC_Sample_2_USE_04_2,20.177,13598,22,43.02,20.143,20.086,0.091
61,Cpd 61: 20.355,266879,71.1,PC_Sample_2_USE_04_2,20.411,34501,22,71.1,20.355,20.32,0.091
62,Cpd 62: 20.445,496304,71.1,PC_Sample_2_USE_04_2,20.495,62446,29,71.1,20.445,20.409,0.086
63,Cpd 63: 20.525,289096,71.1,PC_Sample_2_USE_04_2,20.588,35939,26,71.1,20.525,20.493,0.095
64,Cpd 64: 20.614,155820,106.9,PC_Sample_2_USE_04_2,20.67,23098,23,106.9,20.614,20.577,0.093
65,Cpd 65: 20.811,197566,71.1,PC_Sample_2_USE_04_2,20.872,18751,24,71.1,20.811,20.771,0.101
66,Cpd 66: 20.951,392509,54.99,PC_Sample_2_USE_04_2,21.032,16646,38,54.99,20.951,20.88,0.152
67,Cpd 67: 20.992,219973,57.1,PC_Sample_2_USE_04_2,21.086,25729,21,57.1,20.992,20.956,0.13
68,Cpd 68: 21.008,137591,87.83,PC_Sample_2_USE_04_2,21.086,13836,23,87.83,21.008,20.967,0.118
69,Cpd 69: 21.121,4779707,69.05,PC_Sample_2_USE_04_2,21.167,422191,36,69.05,21.121,21.084,0.084
70,Cpd 70: 21.205,4715348,69.05,PC_Sample_2_USE_04_2,21.255,383001,34,69.05,21.205,21.164,0.091
71,Cpd 71: 21.291,4921444,69.05,PC_Sample_2_USE_04_2,21.368,401694,35,69.05,21.291,21.249,0.118
72,Cpd 72: 21.434,151464,71.1,PC_Sample_2_USE_04_2,21.507,11052,16,71.1,21.434,21.375,0.131
73,Cpd 73: 21.559,150056,43.02,PC_Sample_2_USE_04_2,21.615,13610,20,43.02,21.559,21.505,0.111
74,Cpd 74: 21.747,219942,54.99,PC_Sample_2_USE_04_2,21.813,22099,13,54.99,21.747,21.716,0.097
75,Cpd 75: 21.915,605605,54.99,PC_Sample_2_USE_04_2,21.994,38321,35,54.99,21.915,21.882,0.112
76,Cpd 76: 21.950,336780,57.1,PC_Sample_2_USE_04_2,22.012,53275,24,57.1,21.95,21.924,0.088
77,Cpd 77: 22.130,308297,111.07,PC_Sample_2_USE_04_2,22.206,58109,25,111.07,22.13,22.095,0.111
78,Cpd 78: 22.245,253201,87.83,PC_Sample_2_USE_04_2,22.299,30543,32,87.83,22.245,22.206,0.093
79,Cpd 79: 22.377,131978,85.06,PC_Sample_2_USE_04_2,22.427,15062,27,85.06,22.377,22.345,0.082
80,Cpd 80: 22.456,417368,43.02,PC_Sample_2_USE_04_2,22.501,32766,27,43.02,22.456,22.41,0.091
81,Cpd 81: 22.541,402962,71.1,PC_Sample_2_USE_04_2,22.583,39754,26,71.1,22.541,22.507,0.076
82,Cpd 82: 22.616,277751,71.1,PC_Sample_2_USE_04_2,22.673,36496,24,71.1,22.616,22.577,0.095
83,Cpd 83: 22.704,309430,71.1,PC_Sample_2_USE_04_2,22.747,42876,25,71.1,22.704,22.667,0.08
84,Cpd 84: 22.785,218770,71.1,PC_Sample_2_USE_04_2,22.814,26371,24,71.1,22.785,22.738,0.076
85,Cpd 85: 22.820,250084,54.99,PC_Sample_2_USE_04_2,22.901,19304,21,54.99,22.82,22.751,0.151
86,Cpd 86: 22.847,645727,57.1,PC_Sample_2_USE_04_2,22.905,74269,27,57.1,22.847,22.804,0.101
87,Cpd 87: 23.133,1255298,69.05,PC_Sample_2_USE_04_2,23.18,104044,37,69.05,23.133,23.096,0.084
88,Cpd 88: 23.212,1852023,69.05,PC_Sample_2_USE_04_2,23.246,133272,38,69.05,23.212,23.176,0.071
89,Cpd 89: 23.279,1312108,69.05,PC_Sample_2_USE_04_2,23.327,75160,37,69.05,23.279,23.243,0.084
90,Cpd 90: 23.363,1917232,69.05,PC_Sample_2_USE_04_2,23.416,143759,38,69.05,23.363,23.321,0.095
91,Cpd 91: 23.450,1045122,69.05,PC_Sample_2_USE_04_2,23.49,78148,40,69.05,23.45,23.412,0.078
92,Cpd 92: 23.568,2483133,191.1,PC_Sample_2_USE_04_2,23.639,667354,27,191.1,23.568,23.532,0.107
93,Cpd 93: 23.670,550510,54.99,PC_Sample_2_USE_04_2,23.752,33678,28,54.99,23.67,23.633,0.118
94,Cpd 94: 23.695,350068,57.1,PC_Sample_2_USE_04_2,23.761,49845,16,57.1,23.695,23.645,0.116
95,Cpd 95: 24.122,252913,71.1,PC_Sample_2_USE_04_2,24.154,73966,19,71.1,24.122,24.083,0.071
96,Cpd 96: 24.519,445080,57.1,PC_Sample_2_USE_04_2,24.552,47895,22,57.1,24.519,24.465,0.088
97,Cpd 97: 24.660,183661,71.1,PC_Sample_2_USE_04_2,24.69,17495,21,71.1,24.66,24.619,0.071
98,Cpd 98: 24.709,371786,54.99,PC_Sample_2_USE_04_2,24.764,27957,31,54.99,24.709,24.667,0.097
99,Cpd 99: 24.974,2017631,69.05,PC_Sample_2_USE_04_2,25.019,139581,36,69.05,24.974,24.924,0.095
100,Cpd 100: 25.055,1388910,69.05,PC_Sample_2_USE_04_2,25.09,71807,39,69.05,25.055,25.012,0.078
101,Cpd 101: 25.131,1474670,69.05,PC_Sample_2_USE_04_2,25.176,75108,31,69.05,25.131,25.082,0.093
102,Cpd 102: 25.235,4624897,69.05,PC_Sample_2_USE_04_2,25.284,243315,36,69.05,25.235,25.168,0.116
103,Cpd 103: 25.321,1483194,69.05,PC_Sample_2_USE_04_2,25.391,85139,38,69.05,25.321,25.279,0.112
104,Cpd 104: 25.445,1153533,69.05,PC_Sample_2_USE_04_2,25.515,57017,36,69.05,25.445,25.374,0.141
105,Cpd 105: 25.560,1694584,69.05,PC_Sample_2_USE_04_2,25.622,102957,37,69.05,25.56,25.511,0.111
106,Cpd 106: 25.753,331185,98.97,PC_Sample_2_USE_04_2,25.822,21919,31,98.97,25.753,25.708,0.114
107,Cpd 107: 26.184,584998,57.1,PC_Sample_2_USE_04_2,26.255,22796,40,57.1,26.184,26.137,0.118
108,Cpd 108: 26.320,4071028,97.1,PC_Sample_2_USE_04_2,26.44,142594,63,97.1,26.32,26.266,0.173
109,Cpd 109: 26.511,288344,43.02,PC_Sample_2_USE_04_2,26.575,11078,43,43.02,26.511,26.436,0.139
110,Cpd 110: 26.980,246652,71.1,PC_Sample_2_USE_04_2,27.072,13746,18,71.1,26.98,26.91,0.162
111,Cpd 111: 27.273,1247762,58,PC_Sample_2_USE_04_2,27.408,89449,38,58,27.273,27.212,0.196
112,Cpd 112: 27.469,610396,69.05,PC_Sample_2_USE_04_2,27.532,31244,32,69.05,27.469,27.402,0.13
113,Cpd 113: 27.575,479020,69.05,PC_Sample_2_USE_04_2,27.631,22302,25,69.05,27.575,27.497,0.133
114,Cpd 114: 27.582,357076,69.05,PC_Sample_2_USE_04_2,27.635,22302,22,69.05,27.582,27.522,0.112
115,Cpd 115: 27.684,133195,69.05,PC_Sample_2_USE_04_2,27.747,25076,5,69.05,27.684,27.631,0.116
116,Cpd 116: 27.696,698713,97.1,PC_Sample_2_USE_04_2,27.779,20297,40,97.1,27.696,27.625,0.154
117,Cpd 117: 27.843,669595,69.05,PC_Sample_2_USE_04_2,27.903,36710,32,69.05,27.843,27.745,0.158
118,Cpd 118: 27.974,749084,69.05,PC_Sample_2_USE_04_2,28.05,26811,31,69.05,27.974,27.903,0.147
119,Cpd 119: 27.979,405544,69.05,PC_Sample_2_USE_04_2,28.05,26811,19,69.05,27.979,27.903,0.147
120,Cpd 120: 28.191,226170,71.1,PC_Sample_2_USE_04_2,28.235,9186,21,71.1,28.191,28.143,0.091
121,Cpd 121: 28.345,191042,69.05,PC_Sample_2_USE_04_2,28.403,11269,20,69.05,28.345,28.29,0.112
122,Cpd 122: 28.464,689833,73,PC_Sample_2_USE_04_2,28.689,22472,36,73,28.464,28.403,0.286
123,Cpd 123: 28.521,118662,98.97,PC_Sample_2_USE_04_2,28.527,10116,6,98.97,28.521,28.515,0.011
124,Cpd 124: 28.530,127273,98.97,PC_Sample_2_USE_04_2,28.54,10116,9,98.97,28.53,28.517,0.023
125,Cpd 125: 28.546,126260,71.1,PC_Sample_2_USE_04_2,28.555,13847,7,71.1,28.546,28.502,0.053
126,Cpd 126: 28.558,359769,69.05,PC_Sample_2_USE_04_2,28.576,17895,17,69.05,28.558,28.551,0.025
127,Cpd 127: 28.770,238324,69.05,PC_Sample_2_USE_04_2,28.841,11299,18,69.05,28.77,28.683,0.158
128,Cpd 128: 29.198,270003,82.03,PC_Sample_2_USE_04_2,29.273,7470,26,82.03,29.198,29.11,0.164
129,Cpd 129: 29.447,4051339,57.1,PC_Sample_2_USE_04_2,29.594,85327,69,57.1,29.447,29.367,0.227
130,Cpd 130: 29.771,306510,57.1,PC_Sample_2_USE_04_2,29.853,8905,32,57.1,29.771,29.708,0.145
