Cpd,Label,Area,Base Peak,File,End,Height,Ions,m/z,RT,Start,Width
1,Cpd 1: 1.392,441737,44,PC_Sample_7_USSB_31_1,1.672,85707,2,44,1.392,1.351,0.321
2,Cpd 2: 1.809,132949,40.97,PC_Sample_7_USSB_31_1,1.88,27332,9,40.97,1.809,1.771,0.108
3,Cpd 3: 1.870,380067,53.94,PC_Sample_7_USSB_31_1,1.94,66650,10,53.94,1.87,1.832,0.108
4,Cpd 4: 1.910,199451,44,PC_Sample_7_USSB_31_1,1.967,63118,6,44,1.91,1.88,0.088
5,Cpd 5: 2.638,109909,44.87,PC_Sample_7_USSB_31_1,2.745,27631,5,44.87,2.638,2.604,0.141
6,Cpd 6: 3.083,117159,42.99,PC_Sample_7_USSB_31_1,3.211,34163,4,42.99,3.083,3.046,0.166
7,Cpd 7: 3.375,257960,42.99,PC_Sample_7_USSB_31_1,3.632,28252,8,42.99,3.375,3.293,0.339
8,Cpd 8: 6.112,139627,131.84,PC_Sample_7_USSB_31_1,6.247,22735,6,131.84,6.112,6.024,0.223
9,Cpd 9: 8.351,193352,77.98,PC_Sample_7_USSB_31_1,8.55,16169,7,77.98,8.351,8.238,0.312
10,Cpd 10: 10.229,273718,42.99,PC_Sample_7_USSB_31_1,10.721,15116,4,42.99,10.229,10.102,0.618
11,Cpd 11: 13.431,3755033,98.1,PC_Sample_7_USSB_31_1,13.54,810885,11,98.1,13.431,13.38,0.16
12,Cpd 12: 13.538,421035,91.05,PC_Sample_7_USSB_31_1,13.618,92126,11,91.05,13.538,13.488,0.129
13,Cpd 13: 13.972,114674,42.99,PC_Sample_7_USSB_31_1,14.059,12530,12,42.99,13.972,13.926,0.133
14,Cpd 14: 14.433,585253,207,PC_Sample_7_USSB_31_1,14.502,128560,17,207,14.433,14.379,0.124
15,Cpd 15: 14.757,133819,55.01,PC_Sample_7_USSB_31_1,14.83,17060,14,55.01,14.757,14.67,0.16
16,Cpd 16: 14.989,1257608,78.88,PC_Sample_7_USSB_31_1,15.079,107150,30,78.88,14.989,14.942,0.137
17,Cpd 17: 15.570,445633,39.9,PC_Sample_7_USSB_31_1,15.619,300532,2,39.9,15.57,15.533,0.086
18,Cpd 18: 15.785,158481,94.98,PC_Sample_7_USSB_31_1,15.878,25479,13,94.98,15.785,15.747,0.131
19,Cpd 19: 16.311,120705,98.1,PC_Sample_7_USSB_31_1,16.376,16312,14,98.1,16.311,16.275,0.101
20,Cpd 20: 16.347,10803240,104.1,PC_Sample_7_USSB_31_1,16.437,2476947,15,104.1,16.347,16.308,0.129
21,Cpd 21: 17.235,167882,280.99,PC_Sample_7_USSB_31_1,17.315,33232,21,280.99,17.235,17.191,0.124
22,Cpd 22: 17.692,241048,55.01,PC_Sample_7_USSB_31_1,17.777,41702,22,55.01,17.692,17.648,0.129
23,Cpd 23: 17.794,124816,105.94,PC_Sample_7_USSB_31_1,17.853,20722,11,105.94,17.794,17.762,0.091
24,Cpd 24: 18.459,174681,57.04,PC_Sample_7_USSB_31_1,18.517,33155,16,57.04,18.459,18.424,0.093
25,Cpd 25: 18.635,127104,93.87,PC_Sample_7_USSB_31_1,18.727,31440,15,93.87,18.635,18.599,0.128
26,Cpd 26: 19.328,905462,105.94,PC_Sample_7_USSB_31_1,19.424,98955,36,105.94,19.328,19.29,0.133
27,Cpd 27: 19.842,130856,58.85,PC_Sample_7_USSB_31_1,19.886,8846,24,58.85,19.842,19.774,0.112
28,Cpd 28: 19.913,121754,55.01,PC_Sample_7_USSB_31_1,19.972,6418,28,55.01,19.913,19.869,0.103
29,Cpd 29: 20.950,165677,56,PC_Sample_7_USSB_31_1,21.023,8501,37,56,20.95,20.898,0.126
30,Cpd 30: 21.001,397250,78.88,PC_Sample_7_USSB_31_1,21.077,16389,39,78.88,21.001,20.917,0.16
31,Cpd 31: 21.037,115593,93.87,PC_Sample_7_USSB_31_1,21.101,8363,23,93.87,21.037,20.936,0.166
32,Cpd 32: 21.746,153824,113.02,PC_Sample_7_USSB_31_1,21.812,14513,22,113.02,21.746,21.713,0.099
33,Cpd 33: 21.915,285303,57.04,PC_Sample_7_USSB_31_1,21.979,15270,32,57.04,21.915,21.861,0.118
34,Cpd 34: 21.950,130152,57.04,PC_Sample_7_USSB_31_1,22.002,20944,20,57.04,21.95,21.899,0.103
35,Cpd 35: 22.244,114238,87.85,PC_Sample_7_USSB_31_1,22.319,16130,18,87.85,22.244,22.199,0.12
36,Cpd 36: 22.819,112984,83.02,PC_Sample_7_USSB_31_1,22.858,7642,24,83.02,22.819,22.783,0.074
37,Cpd 37: 22.874,195958,134.92,PC_Sample_7_USSB_31_1,22.94,18896,23,134.92,22.874,22.841,0.099
38,Cpd 38: 22.994,221182,69.01,PC_Sample_7_USSB_31_1,23.065,11980,25,69.01,22.994,22.924,0.141
39,Cpd 39: 23.567,691476,190.89,PC_Sample_7_USSB_31_1,23.614,197304,23,190.89,23.567,23.532,0.082
40,Cpd 40: 23.669,249601,83.02,PC_Sample_7_USSB_31_1,23.733,15588,24,83.02,23.669,23.624,0.109
41,Cpd 41: 23.693,150245,57.04,PC_Sample_7_USSB_31_1,23.744,18714,17,57.04,23.693,23.637,0.107
42,Cpd 42: 24.120,109125,71.04,PC_Sample_7_USSB_31_1,24.162,34888,15,71.04,24.12,24.08,0.082
43,Cpd 43: 24.181,210891,169,PC_Sample_7_USSB_31_1,24.242,41064,27,169,24.181,24.143,0.099
44,Cpd 44: 24.386,858808,144.02,PC_Sample_7_USSB_31_1,24.467,212918,16,144.02,24.386,24.347,0.12
45,Cpd 45: 24.710,177620,55.01,PC_Sample_7_USSB_31_1,24.77,13451,31,55.01,24.71,24.667,0.103
46,Cpd 46: 24.835,1057734,92.06,PC_Sample_7_USSB_31_1,24.928,167223,20,92.06,24.835,24.791,0.137
47,Cpd 47: 25.200,148803,96.99,PC_Sample_7_USSB_31_1,25.274,5592,22,96.99,25.2,25.161,0.113
48,Cpd 48: 25.326,305692,104.1,PC_Sample_7_USSB_31_1,25.384,103119,11,104.1,25.326,25.283,0.101
49,Cpd 49: 25.487,1293725,91.05,PC_Sample_7_USSB_31_1,25.571,217485,28,91.05,25.487,25.44,0.132
50,Cpd 50: 25.861,5562836,104.1,PC_Sample_7_USSB_31_1,25.966,1597376,15,104.1,25.861,25.812,0.155
51,Cpd 51: 26.149,180947,129.95,PC_Sample_7_USSB_31_1,26.201,10074,21,129.95,26.149,26.086,0.114
52,Cpd 52: 26.317,1128823,96.99,PC_Sample_7_USSB_31_1,26.433,39410,58,96.99,26.317,26.262,0.172
53,Cpd 53: 26.475,134255,206.13,PC_Sample_7_USSB_31_1,26.542,10625,24,206.13,26.475,26.428,0.114
54,Cpd 54: 26.764,612787,91.05,PC_Sample_7_USSB_31_1,26.874,118607,14,91.05,26.764,26.71,0.164
55,Cpd 55: 27.269,423153,57.86,PC_Sample_7_USSB_31_1,27.349,30026,32,57.86,27.269,27.208,0.141
56,Cpd 56: 27.276,286480,42.99,PC_Sample_7_USSB_31_1,27.358,19220,29,42.99,27.276,27.208,0.151
57,Cpd 57: 27.695,492882,96.99,PC_Sample_7_USSB_31_1,27.786,14983,43,96.99,27.695,27.635,0.151
58,Cpd 58: 28.461,2663674,72.98,PC_Sample_7_USSB_31_1,28.692,61976,64,72.98,28.461,28.386,0.305
59,Cpd 59: 29.448,1068841,96.99,PC_Sample_7_USSB_31_1,29.59,23574,50,96.99,29.448,29.355,0.235
