Cpd,Label,Area,Base Peak,File,End,Height,Ions,m/z,RT,Start,Width
1,Cpd 1: 1.796,1383636,41.02,PDS_Sample_8_USSB_09_1,1.851,265625,14,41.02,1.796,1.756,0.095
2,Cpd 2: 1.904,28949021,44.04,PDS_Sample_8_USSB_09_1,2.032,6688381,5,44.04,1.904,1.861,0.171
3,Cpd 3: 2.623,527218,45.1,PDS_Sample_8_USSB_09_1,2.738,131645,8,45.1,2.623,2.584,0.154
4,Cpd 4: 3.069,537560,43.04,PDS_Sample_8_USSB_09_1,3.189,143922,5,43.04,3.069,3.033,0.156
5,Cpd 5: 5.664,484526,43.04,PDS_Sample_8_USSB_09_1,5.795,49955,8,43.04,5.664,5.474,0.321
6,Cpd 6: 5.930,637820,43.04,PDS_Sample_8_USSB_09_1,6.067,110978,6,43.04,5.93,5.852,0.215
7,Cpd 7: 6.593,2904923,41.99,PDS_Sample_8_USSB_09_1,6.735,212531,10,41.99,6.593,6.501,0.234
8,Cpd 8: 9.810,8170774,43.04,PDS_Sample_8_USSB_09_1,10.58,223452,7,43.04,9.81,9.775,0.805
9,Cpd 9: 11.303,605718,43.04,PDS_Sample_8_USSB_09_1,11.518,116930,7,43.04,11.303,11.253,0.264
10,Cpd 10: 11.756,9107431,43.04,PDS_Sample_8_USSB_09_1,11.917,1405425,6,43.04,11.756,11.685,0.232
11,Cpd 11: 13.430,4266868,98.07,PDS_Sample_8_USSB_09_1,13.534,909076,11,98.07,13.43,13.376,0.158
12,Cpd 12: 13.682,1171380,74,PDS_Sample_8_USSB_09_1,13.804,146310,12,74,13.682,13.646,0.158
13,Cpd 13: 14.062,7512889,71.99,PDS_Sample_8_USSB_09_1,14.179,1457936,7,71.99,14.062,14.023,0.156
14,Cpd 14: 14.760,4789489,55.03,PDS_Sample_8_USSB_09_1,14.853,995267,10,55.03,14.76,14.714,0.139
15,Cpd 15: 14.815,1364544,99.99,PDS_Sample_8_USSB_09_1,14.904,232168,16,99.99,14.815,14.775,0.129
16,Cpd 16: 17.062,876895,43.04,PDS_Sample_8_USSB_09_1,17.114,165359,16,43.04,17.062,17.024,0.089
